# ANCHORAGE_MERRILL_FIELD
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14,5.00,1.50,14.00,44.00,0.00,13.00,7.50,46.00,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,7.50,23.00,15.00,0.00,2.00,24.00,0.00,0.00,14.50
15,9.50,1.50,19.50,48.00,0.00,17.00,7.50,48.00,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,7.50,23.00,15.50,0.00,6.50,30.50,0.00,0.00,14.50
16,13.00,1.50,23.50,49.00,0.00,18.00,7.50,48.00,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,7.50,27.50,15.50,0.00,7.50,35.00,0.00,0.00,14.50
17,21.50,1.50,24.00,49.00,0.00,18.00,7.50,48.00,0.00,0.00,44.50,0.50,4.00,0.00,0.00,10.50,7.50,30.50,15.50,0.00,12.50,41.50,0.00,0.00,14.50
18,28.50,1.50,24.00,49.00,0.00,18.50,7.50,48.00,0.00,0.00,44.50,0.50,6.00,0.00,0.00,10.50,7.50,32.50,15.50,0.00,14.00,46.50,0.00,0.00,17.50
19,37.50,1.50,28.50,49.00,0.00,18.50,7.50,48.00,0.00,0.00,44.50,0.50,9.00,0.00,0.00,10.50,7.50,37.00,15.50,0.00,14.00,53.00,4.50,0.00,19.50
20,43.00,1.50,33.50,49.00,0.00,18.50,7.50,48.00,4.00,0.00,47.00,0.50,9.00,0.50,0.00,10.50,7.50,38.50,23.00,0.00,14.00,57.00,4.50,0.00,19.50
21,45.50,1.50,37.50,49.00,0.00,18.50,7.50,48.00,4.00,0.00,49.00,0.50,9.00,2.00,0.00,10.50,7.50,45.50,32.00,0.00,14.00,66.50,4.50,0.00,19.50
22,53.00,3.00,42.00,49.00,0.00,18.50,7.50,48.50,4.00,0.00,49.00,0.50,9.00,6.00,0.00,10.50,7.50,49.50,40.00,0.00,14.00,75.00,4.50,0.00,19.50
23,58.50,6.00,43.50,49.00,0.00,18.50,10.50,48.50,6.50,0.00,49.50,2.00,11.00,8.00,0.00,10.50,7.50,53.50,52.50,0.00,14.00,82.00,6.00,0.00,23.50
24,63.50,8.00,43.50,50.00,0.00,21.00,10.50,52.00,8.50,0.00,52.00,4.00,12.50,12.00,0.00,10.50,7.50,57.50,61.00,0.00,14.00,88.50,10.50,0.00,31.50
25,65.50,9.50,43.50,53.00,0.50,21.50,10.50,55.50,8.50,0.00,52.00,6.50,12.50,15.50,0.00,10.50,7.50,64.00,65.00,0.00,14.00,92.00,12.00,0.00,33.00
26,67.50,11.50,43.50,60.00,0.50,21.50,10.50,55.50,8.50,0.00,52.00,6.50,15.00,15.50,0.00,10.50,7.50,73.50,69.50,0.00,14.00,100.50,12.00,0.00,33.00
27,68.00,14.00,43.50,66.50,0.50,21.50,10.50,55.50,8.50,0.00,52.00,6.50,18.50,15.50,4.00,10.50,7.50,80.50,74.50,0.00,16.00,106.00,12.00,0.00,37.00
28,70.50,14.00,46.00,67.00,0.50,21.50,10.50,55.50,8.50,0.00,52.00,6.50,24.50,22.00,8.50,10.50,7.50,84.50,82.50,0.00,18.00,114.00,12.00,1.50,43.50
29,70.50,14.00,53.00,67.00,0.50,21.50,10.50,55.50,8.50,0.00,56.00,6.50,30.50,31.00,9.50,11.00,7.50,94.00,94.50,0.00,19.00,120.00,12.00,1.50,48.00
30,70.50,15.00,53.00,67.00,0.50,21.50,10.50,60.00,10.00,0.00,62.50,6.50,34.00,34.50,14.00,13.50,7.50,99.00,105.00,1.00,19.00,126.00,12.00,1.50,53.00
31,72.00,15.00,53.00,67.00,0.50,21.50,10.50,60.00,16.00,0.00,67.50,6.50,39.00,34.50,19.50,15.50,7.50,105.50,122.00,5.00,21.50,132.50,12.00,1.50,58.50
32,73.50,15.00,60.00,70.50,0.50,21.50,10.50,60.00,17.00,0.00,77.50,6.50,47.00,39.50,19.50,15.50,7.50,113.00,133.50,6.00,25.50,137.00,12.00,1.50,62.50
33,80.50,15.00,65.50,78.00,0.50,21.50,10.50,60.00,18.00,1.00,85.00,6.50,50.00,47.00,19.50,20.00,7.50,119.00,142.50,6.00,25.50,141.50,12.50,3.50,65.00
34,87.50,15.00,70.00,82.00,0.50,21.50,10.50,60.00,24.50,4.00,92.50,7.00,55.50,56.00,19.50,20.00,11.50,121.50,148.50,12.50,25.50,145.00,18.50,10.50,69.00
35,93.00,18.50,72.00,82.00,0.50,21.50,14.00,66.00,29.50,10.00,92.50,7.00,59.00,62.50,28.00,20.00,15.50,126.50,159.50,19.00,26.00,150.00,21.50,10.50,72.50
36,97.50,18.50,72.00,82.50,0.50,21.50,23.00,74.50,32.50,16.00,92.50,7.00,59.00,65.00,34.50,20.00,24.50,137.50,170.00,25.00,26.00,156.00,21.50,10.50,78.50
37,102.50,18.50,74.00,89.50,0.50,24.00,30.00,81.50,36.50,25.00,92.50,8.00,61.70,72.50,34.50,20.00,26.50,149.00,182.50,28.50,31.50,163.00,21.50,10.50,82.50
38,107.50,18.50,77.50,95.50,0.50,28.50,35.50,87.50,40.50,32.50,92.50,10.00,61.70,83.50,34.50,20.00,26.50,155.50,195.00,31.00,38.50,174.50,21.50,10.50,82.50
39,114.00,18.50,78.50,100.50,0.50,32.00,43.00,95.50,47.00,41.50,92.50,10.50,64.69,91.50,34.50,20.00,26.50,163.50,205.50,35.50,50.00,185.50,21.50,10.50,82.50
40,122.50,19.50,80.50,109.00,0.50,36.50,49.00,103.00,51.00,50.50,92.50,15.00,65.19,99.50,36.00,20.00,26.50,172.00,219.00,39.00,60.00,195.00,21.50,10.50,82.50
41,127.00,23.50,81.50,119.50,0.50,50.00,54.00,110.50,51.50,55.50,92.50,19.00,72.19,106.50,40.50,20.00,26.50,178.00,229.00,45.50,71.50,204.00,21.50,10.50,84.50
42,131.50,26.00,91.00,126.00,0.50,60.50,58.00,115.50,54.50,62.00,92.50,22.00,81.19,115.00,44.50,20.00,29.00,184.00,243.00,51.00,81.50,212.00,24.50,14.00,88.50
43,136.00,26.00,101.00,135.00,0.50,70.00,65.50,120.00,60.50,65.50,92.50,25.50,88.69,120.50,51.00,20.00,37.50,187.00,256.00,57.00,94.50,218.50,31.50,22.00,92.50
44,143.50,30.50,109.50,141.00,0.50,77.50,73.50,127.00,65.50,71.00,95.50,32.00,90.69,129.00,57.50,20.00,44.00,189.00,269.50,63.00,106.50,226.00,40.00,28.50,96.00
45,150.50,35.00,120.00,148.50,0.50,82.00,81.00,135.00,65.50,79.00,96.50,37.50,92.19,138.50,67.50,20.00,51.50,198.00,281.50,69.00,114.00,233.50,50.00,36.00,100.50
46,161.00,44.00,130.50,155.50,0.50,88.00,86.00,139.50,65.50,88.50,96.50,44.00,94.69,150.00,77.00,20.00,62.50,207.00,295.50,75.50,122.50,243.50,60.00,43.00,108.00
47,173.00,57.00,140.00,162.50,5.50,97.00,91.00,145.50,73.00,98.00,96.50,53.00,100.19,161.00,88.00,20.00,71.50,218.00,307.00,83.50,129.00,248.00,69.50,52.50,114.50
48,180.00,70.50,148.50,173.00,13.50,105.50,98.50,145.50,78.00,107.50,100.50,62.50,109.69,172.00,99.50,20.00,84.50,232.50,317.50,88.50,137.00,251.50,82.50,68.50,119.00
49,190.50,82.50,160.00,183.50,20.00,114.00,107.50,150.50,84.00,118.50,105.00,68.50,115.19,180.50,111.00,20.00,96.00,247.50,331.00,94.00,146.50,255.00,97.00,84.00,123.50
50,202.50,94.00,172.00,195.00,27.50,126.50,115.50,165.00,88.50,124.50,112.50,76.50,120.19,190.00,122.00,22.50,108.50,252.50,346.00,102.00,157.50,258.00,109.00,96.50,128.00
51,210.00,102.50,183.00,206.00,31.00,136.00,123.50,178.50,95.00,134.00,122.00,84.00,128.69,202.50,133.00,24.50,124.00,261.00,358.50,111.50,168.00,266.00,119.50,108.00,134.00
52,219.00,108.00,191.00,221.00,31.00,145.50,134.00,194.00,103.00,145.50,131.28,90.50,132.19,214.50,142.50,31.00,136.50,270.00,377.50,122.50,177.00,266.00,131.50,120.50,144.50
53,227.00,118.50,198.50,231.50,31.00,158.50,143.00,199.00,111.50,160.00,142.78,100.00,137.69,224.50,150.50,36.50,146.50,277.50,394.50,139.00,190.00,268.50,144.50,129.89,158.00
54,238.00,128.50,206.50,244.00,33.00,172.50,154.50,209.15,119.00,172.00,153.78,110.00,143.69,236.50,159.00,43.00,156.50,286.50,413.50,151.50,200.50,273.00,159.50,140.89,171.00
55,251.00,136.50,214.00,258.50,34.50,186.00,167.50,225.15,126.50,183.50,159.78,118.50,152.19,252.00,171.00,49.50,168.50,300.00,428.50,163.00,215.00,281.50,170.00,152.89,184.00
56,262.50,140.50,224.50,274.00,44.00,201.50,177.50,243.15,133.50,195.00,160.28,132.50,167.19,268.50,184.50,51.50,178.50,315.50,444.50,176.00,225.50,289.00,179.50,166.39,198.50
57,278.50,147.50,237.50,289.00,55.50,217.00,190.00,263.65,143.50,209.50,168.78,147.00,186.19,279.00,199.00,55.00,192.50,332.50,457.00,190.00,233.50,298.50,188.00,181.89,210.50
58,286.50,157.00,248.50,304.50,67.50,233.00,203.00,283.15,153.50,218.00,173.78,158.50,203.19,289.50,213.50,59.00,209.50,349.50,468.00,203.00,243.00,309.50,199.50,198.89,224.00
59,290.50,166.00,264.50,319.50,81.00,248.00,216.50,309.15,160.00,228.50,182.78,175.50,218.69,307.00,229.50,61.50,225.00,365.50,483.00,215.00,256.00,325.00,212.00,208.89,236.50
60,296.50,174.50,277.00,335.50,94.50,264.50,234.50,330.15,168.50,239.50,192.78,192.00,229.19,319.50,246.50,67.00,242.00,378.50,497.00,229.00,272.00,343.50,221.00,217.89,246.50
61,308.00,182.50,290.50,344.50,105.50,278.00,256.00,349.15,177.00,252.00,201.78,207.50,239.19,330.50,254.00,73.50,259.50,391.50,512.00,240.00,284.50,361.50,232.50,226.89,262.50
62,322.00,188.00,304.00,348.50,112.50,295.00,271.50,364.15,188.00,265.00,216.78,229.00,249.69,341.50,256.50,80.50,281.50,406.50,527.00,252.50,295.00,377.50,243.50,239.89,274.00
63,330.50,195.50,317.00,349.00,121.00,310.50,287.00,380.65,198.50,279.00,228.28,251.50,266.19,353.50,263.00,88.50,304.00,421.50,543.50,268.50,305.00,392.50,261.50,253.89,287.00
64,342.00,206.50,329.00,352.50,130.00,327.50,307.00,394.15,213.50,293.50,241.28,266.50,283.19,365.50,272.00,93.00,324.50,436.00,561.00,283.50,317.50,408.00,277.00,268.89,302.00
65,351.50,217.00,342.50,358.00,139.50,339.50,328.50,406.65,228.00,306.50,257.28,281.00,299.19,381.00,282.50,102.00,340.00,450.50,572.00,294.50,331.00,418.50,293.50,279.39,317.00
66,363.50,228.00,357.50,368.50,150.50,349.50,353.00,426.15,242.00,319.50,272.78,294.00,314.69,398.50,297.00,111.00,354.00,464.00,588.00,309.50,342.00,436.00,312.00,293.39,334.00
67,377.00,240.00,375.00,380.00,162.00,362.50,375.00,444.65,252.00,331.50,285.28,309.50,329.19,417.50,312.00,122.00,372.50,483.00,602.00,324.50,354.50,457.00,331.00,310.39,352.50
68,388.50,246.00,387.50,394.18,175.50,381.50,388.50,463.15,259.50,343.50,298.28,325.50,344.19,434.50,327.50,135.50,392.00,497.50,616.00,338.00,370.00,473.00,348.50,327.89,370.00
69,399.00,256.00,403.00,406.18,189.00,395.50,405.00,483.65,272.00,355.00,314.28,340.50,360.19,452.50,344.50,150.00,412.50,515.50,632.50,355.00,387.00,487.50,373.50,345.89,385.00
70,408.00,269.00,416.50,419.18,198.00,407.50,419.00,501.15,286.50,369.00,329.78,357.00,378.69,468.00,358.00,165.50,433.50,533.00,649.50,373.50,406.50,504.50,396.00,362.89,399.00
71,418.50,287.00,429.00,433.18,211.00,419.00,434.50,523.15,301.00,383.50,348.78,375.50,395.19,484.50,371.00,185.00,457.00,549.50,672.00,394.00,423.50,520.00,412.50,380.39,409.50
72,429.00,305.50,445.00,447.18,225.00,431.00,453.00,548.15,319.50,395.50,366.28,398.50,410.69,502.50,382.00,202.00,473.00,571.00,696.00,413.00,440.00,534.50,431.00,396.89,422.50
73,442.50,322.00,460.00,465.18,243.50,442.50,472.50,568.65,336.50,411.00,380.28,418.00,425.69,520.00,394.50,219.00,493.00,590.50,722.00,425.00,453.50,547.00,451.50,417.39,435.50
74,458.00,343.00,474.50,486.18,260.50,454.50,487.00,592.65,353.00,425.50,391.78,438.00,438.69,538.00,408.50,229.50,517.50,611.50,750.00,440.50,469.00,567.00,470.50,438.39,451.00
75,474.00,368.00,490.00,510.18,273.00,472.00,502.00,607.65,367.50,443.50,406.78,451.50,452.19,556.50,424.00,242.00,540.00,635.50,780.00,460.00,482.00,586.50,495.50,454.89,465.00
76,488.00,391.50,505.50,526.18,288.00,488.50,523.00,625.15,381.50,466.00,422.78,468.50,468.69,578.50,438.00,250.50,565.00,655.00,806.00,482.50,497.50,604.50,516.00,471.89,483.00
77,504.50,413.50,525.00,542.68,313.00,504.50,543.50,645.65,394.50,485.00,438.28,487.50,482.69,599.00,455.50,254.00,592.50,672.50,829.00,500.50,516.00,622.00,539.00,489.39,501.00
78,521.00,436.00,546.00,564.18,338.50,518.50,563.00,664.65,409.00,499.50,453.28,506.50,501.69,623.50,472.50,255.50,616.00,690.00,850.00,516.00,534.00,638.50,562.00,508.39,520.50
79,536.50,454.50,560.50,586.18,366.00,532.00,583.00,687.15,425.50,517.50,470.28,523.50,521.69,643.00,491.00,260.00,636.50,707.50,873.50,531.00,552.50,659.00,585.00,525.89,545.00
80,551.00,472.50,576.00,606.18,395.00,549.00,605.00,712.15,439.50,538.00,491.28,538.00,542.19,665.00,509.50,270.00,656.50,725.00,896.00,549.50,570.00,679.00,609.50,541.89,570.00
81,566.00,492.00,590.00,625.68,426.50,568.00,628.50,731.65,458.50,555.50,508.28,558.00,564.69,687.00,532.00,281.00,677.00,745.00,913.50,564.50,590.00,699.00,630.50,559.89,594.00
82,582.00,513.00,607.00,645.18,453.50,588.50,652.00,752.15,480.50,577.00,524.28,577.50,579.19,712.00,553.50,297.00,701.50,768.50,933.00,584.00,611.00,720.00,649.50,577.89,623.50
83,598.00,532.00,622.50,666.68,478.50,610.50,672.00,773.65,509.00,594.00,545.78,594.00,593.69,737.00,578.00,316.00,723.00,787.00,953.50,600.00,630.00,740.50,668.00,597.39,644.50
84,614.00,553.50,637.00,684.18,501.00,629.50,691.00,793.15,538.00,616.00,560.28,614.50,612.19,761.00,599.50,338.50,744.50,809.00,976.50,615.50,648.00,764.00,688.00,618.89,662.00
85,634.00,570.00,652.00,702.68,522.00,652.50,710.50,811.65,570.00,641.50,575.28,638.00,631.69,786.00,621.00,363.50,763.00,832.50,1000.50,630.50,668.00,783.50,704.50,645.39,682.00
86,653.50,587.50,671.00,721.68,540.50,673.50,730.50,834.15,602.00,663.00,588.78,666.50,653.19,815.00,639.00,384.00,782.00,852.50,1027.50,642.50,688.00,801.50,722.50,670.39,706.50
87,675.00,603.00,689.00,745.18,564.00,696.50,752.50,854.65,634.50,683.50,608.78,688.00,683.19,842.50,655.50,414.00,802.00,873.00,1055.50,656.00,712.00,824.00,741.00,689.89,735.50
88,698.00,619.00,708.00,774.18,587.50,715.00,774.00,875.15,665.50,703.00,628.28,703.50,711.19,869.50,676.00,441.00,825.50,894.50,1085.00,668.00,734.50,847.50,766.00,705.89,764.00
89,725.00,633.50,729.00,802.18,613.50,741.00,793.00,897.65,690.00,719.50,648.28,719.00,744.69,895.00,697.50,473.50,847.00,919.50,1117.00,682.00,755.00,872.00,796.50,719.89,793.50
90,748.00,648.00,746.50,822.68,639.00,766.00,818.00,921.15,709.50,739.00,669.78,737.00,776.69,923.50,715.50,499.50,868.50,947.50,1145.50,698.00,773.50,891.50,821.00,741.89,823.00
91,768.50,669.00,766.00,844.18,661.00,788.00,838.50,942.15,726.50,758.50,693.78,759.00,806.69,948.50,735.00,520.00,883.50,977.50,1172.50,720.00,794.50,916.00,840.00,767.39,853.50
92,785.50,686.00,788.00,872.18,678.50,809.50,858.00,961.15,747.00,779.00,716.28,777.00,833.19,973.50,756.00,540.00,899.00,1005.50,1202.00,746.00,817.00,938.50,861.50,790.39,883.50
93,805.50,701.00,808.50,903.18,698.00,832.00,879.50,981.15,769.68,798.50,735.28,800.50,861.69,1001.00,780.00,560.50,918.00,1028.50,1229.50,770.00,844.00,960.50,885.00,809.39,914.50
94,829.50,717.00,828.00,931.68,722.00,853.50,905.00,1000.65,795.68,820.50,754.28,825.00,885.69,1024.50,800.00,580.50,941.00,1052.00,1255.50,793.00,866.50,983.50,909.00,833.89,947.00
95,848.00,738.50,854.50,957.18,744.00,880.00,933.50,1025.15,817.18,848.00,773.28,853.00,907.19,1048.50,818.50,603.00,967.50,1072.00,1278.50,815.00,886.50,1011.00,933.00,856.89,980.50
96,871.00,765.00,881.50,981.18,761.50,904.50,964.50,1052.65,834.68,872.50,792.78,876.00,927.69,1071.00,841.00,623.50,993.00,1093.50,1303.50,835.50,909.00,1036.50,960.00,883.89,1016.00
97,893.00,789.00,907.00,1002.68,777.50,925.50,995.50,1079.65,856.68,896.50,814.78,898.50,952.19,1097.00,862.00,646.50,1016.00,1115.50,1323.00,856.50,930.00,1064.50,985.00,911.89,1043.00
98,916.00,812.00,933.00,1025.68,800.00,945.50,1022.00,1104.15,880.68,917.00,838.28,925.00,978.19,1120.00,885.00,677.00,1042.50,1138.50,1346.00,881.00,952.50,1094.50,1009.00,937.89,1069.50
99,940.00,836.50,958.50,1047.18,819.50,966.00,1040.50,1125.65,903.68,935.00,857.78,950.50,996.69,1144.50,910.00,707.00,1066.00,1162.00,1371.00,907.50,978.50,1123.00,1028.50,961.39,1100.00
100,957.50,866.00,982.00,1073.68,838.50,992.50,1062.50,1149.65,926.68,957.50,878.78,975.50,1018.19,1170.50,935.00,739.00,1088.50,1182.50,1399.00,934.50,1004.50,1148.50,1049.50,983.39,1127.50
101,977.00,895.00,1003.50,1102.18,860.50,1020.00,1083.00,1176.15,952.18,982.00,898.28,1007.00,1039.69,1197.00,957.00,773.00,1105.50,1205.00,1422.00,955.50,1031.00,1176.00,1078.00,1007.89,1154.50
102,995.50,920.50,1027.50,1126.68,882.00,1050.50,1104.50,1203.65,973.68,1007.00,915.28,1028.50,1060.69,1223.00,981.50,804.50,1124.00,1228.50,1445.50,977.00,1055.50,1205.00,1103.00,1032.89,1181.00
103,1012.50,948.00,1054.00,1150.18,905.50,1079.00,1130.50,1231.15,997.18,1027.00,934.78,1052.00,1081.69,1249.50,1000.00,838.50,1143.00,1253.00,1468.50,996.50,1079.50,1233.50,1128.00,1061.39,1206.00
104,1032.00,982.00,1077.00,1175.68,927.00,1113.50,1158.50,1256.15,1023.68,1048.00,955.78,1075.00,1106.69,1274.00,1019.50,867.50,1164.00,1283.50,1497.00,1016.50,1104.00,1262.50,1154.50,1087.89,1231.50
105,1055.50,1011.00,1100.50,1202.68,952.50,1138.50,1186.00,1283.65,1052.18,1069.50,975.28,1099.50,1131.69,1294.50,1042.50,896.00,1186.00,1317.00,1527.00,1037.50,1133.50,1291.50,1181.50,1114.89,1258.00
106,1082.50,1044.00,1123.50,1232.68,984.00,1163.50,1210.50,1311.65,1077.68,1095.50,996.78,1129.00,1150.69,1315.50,1065.50,925.00,1210.50,1356.00,1558.00,1058.50,1158.00,1318.50,1209.00,1142.89,1286.50
107,1112.50,1077.00,1147.50,1263.18,1016.50,1191.50,1232.00,1343.65,1102.68,1125.00,1021.28,1156.00,1170.19,1336.50,1090.50,958.00,1233.50,1397.50,1591.50,1084.00,1182.50,1346.00,1237.50,1166.39,1314.00
108,1140.00,1104.50,1171.00,1290.68,1039.00,1219.00,1262.00,1374.15,1131.68,1152.00,1047.28,1181.00,1193.69,1360.00,1119.00,995.00,1259.00,1434.50,1624.00,1107.50,1210.50,1373.50,1265.50,1193.89,1338.50
109,1168.50,1132.50,1193.50,1315.18,1061.00,1246.50,1295.00,1399.65,1157.68,1177.50,1070.28,1206.50,1216.19,1385.00,1152.00,1036.50,1284.50,1472.00,1655.50,1130.00,1236.50,1399.50,1296.00,1221.89,1365.50
110,1193.00,1159.00,1216.00,1342.68,1085.50,1271.00,1328.00,1425.15,1182.18,1204.00,1094.78,1232.00,1237.69,1408.00,1181.50,1072.00,1310.00,1504.50,1683.00,1154.00,1262.50,1428.50,1316.50,1250.39,1392.00
111,1212.50,1176.50,1240.00,1373.68,1108.50,1296.00,1360.00,1449.65,1204.68,1237.00,1120.28,1256.00,1261.69,1432.50,1208.00,1101.50,1336.00,1533.50,1710.00,1174.50,1293.00,1459.50,1341.00,1274.39,1417.50
112,1232.50,1200.00,1264.00,1404.68,1130.50,1319.00,1391.50,1477.15,1227.18,1274.50,1144.78,1278.00,1289.19,1456.50,1238.00,1124.00,1358.50,1561.00,1739.00,1197.00,1321.50,1488.00,1366.00,1303.39,1449.50
113,1255.00,1226.00,1290.00,1432.68,1156.00,1345.00,1420.00,1501.65,1247.68,1301.00,1167.28,1299.50,1317.19,1480.00,1271.50,1152.50,1384.50,1591.50,1772.00,1219.00,1345.00,1516.50,1392.00,1331.39,1486.50
114,1279.50,1252.50,1317.00,1464.18,1179.00,1371.50,1446.50,1529.65,1271.18,1325.00,1189.28,1318.50,1343.19,1507.50,1303.50,1183.00,1411.00,1620.00,1802.50,1240.00,1369.50,1550.50,1418.00,1355.89,1521.50
115,1307.00,1279.50,1350.00,1495.68,1207.50,1397.00,1476.50,1557.65,1296.18,1346.00,1214.28,1337.00,1370.19,1535.50,1327.50,1215.50,1438.50,1651.50,1830.50,1264.50,1394.00,1585.00,1444.00,1382.89,1551.50
116,1336.50,1304.00,1381.00,1527.18,1233.50,1421.50,1508.50,1587.15,1323.68,1369.50,1241.78,1358.00,1397.19,1560.50,1351.00,1248.50,1461.00,1686.50,1861.50,1291.00,1420.00,1616.00,1468.50,1410.41,1578.00
117,1366.00,1330.00,1413.50,1563.68,1257.50,1442.50,1546.00,1615.65,1344.68,1395.00,1263.78,1382.50,1421.19,1590.00,1377.00,1286.00,1480.50,1714.00,1892.00,1314.00,1447.00,1646.50,1495.00,1432.91,1605.50
118,1397.50,1355.00,1442.00,1599.18,1283.00,1468.50,1575.50,1649.15,1369.68,1420.50,1288.28,1408.00,1442.69,1619.00,1401.50,1317.00,1503.00,1743.00,1920.50,1337.50,1474.00,1682.50,1522.50,1460.41,1632.00
119,1428.00,1384.00,1472.50,1633.68,1307.50,1495.00,1601.50,1681.15,1396.18,1445.00,1308.78,1436.50,1466.19,1643.00,1423.50,1343.50,1530.50,1771.00,1953.00,1364.50,1502.00,1719.50,1545.50,1485.41,1662.00
120,1459.00,1412.50,1500.00,1665.18,1336.00,1524.50,1629.00,1713.15,1423.68,1470.50,1331.78,1468.00,1492.69,1669.00,1449.00,1373.00,1562.50,1799.00,1986.50,1387.00,1528.50,1759.00,1572.50,1515.91,1697.00
121,1491.50,1441.50,1528.50,1692.68,1369.50,1555.50,1655.00,1743.65,1448.18,1498.50,1354.78,1494.00,1518.19,1698.50,1475.00,1398.50,1590.50,1828.00,2017.50,1412.50,1554.50,1792.00,1600.50,1543.41,1730.50
