# MCGRATH_AP
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
23,0.00,23.50,19.50,0.00,9.00,0.00,0.00,13.50,19.00,0.00,0.00,5.50,11.50,3.50,0.00,0.00,2.00,0.00,46.00,0.00,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,3.50,0.00,0.00,2.00,14.00,5.00,0.00,1.50
24,0.00,23.50,19.50,0.00,9.00,0.00,0.00,16.50,19.00,0.00,0.00,6.00,11.50,3.50,0.00,0.00,5.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,3.50,3.00,0.00,2.00,22.50,9.50,0.00,1.50
25,0.00,23.50,19.50,0.00,9.00,0.00,0.00,16.50,19.00,0.00,2.00,6.00,11.50,3.50,0.00,0.00,6.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,3.50,4.00,0.00,2.00,24.00,9.50,0.00,1.50
26,0.00,26.00,19.50,0.00,9.00,0.00,0.00,20.50,19.00,0.00,3.50,6.00,11.50,3.50,0.00,0.00,6.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,9.50,4.00,0.00,2.00,24.00,9.50,0.00,1.50
27,0.00,29.50,19.50,0.00,10.50,0.00,0.00,20.50,19.00,0.00,4.50,6.00,11.50,3.50,2.50,0.00,6.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,9.50,4.00,0.00,2.00,25.00,9.50,0.00,1.50
28,0.00,31.00,19.50,0.00,11.00,0.00,0.00,21.00,19.00,0.00,9.50,6.00,11.50,6.00,6.50,0.00,6.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,3.50,3.00,9.50,4.00,0.00,2.00,27.50,9.50,3.00,1.50
29,5.50,31.00,19.50,0.00,11.00,0.00,0.00,23.50,19.00,0.00,12.50,6.00,11.50,7.00,12.50,0.00,6.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,0.00,0.00,1.50,0.00,0.00,2.00,0.00,5.00,3.00,13.50,4.00,0.00,2.00,29.00,9.50,3.00,1.50
30,8.50,31.00,19.50,0.00,11.00,0.00,0.00,23.50,19.00,0.00,13.00,6.00,11.50,14.50,18.00,0.00,6.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,3.00,0.00,8.50,0.00,0.00,2.00,0.00,6.50,3.00,17.50,5.50,0.00,2.00,32.00,9.50,3.00,1.50
31,13.50,31.00,19.50,0.00,11.00,0.00,0.00,23.50,19.00,0.00,13.00,6.00,11.50,22.50,28.50,3.50,6.50,0.00,46.00,6.50,5.50,0.00,1.00,13.50,0.00,4.50,3.00,0.00,14.50,0.00,0.00,2.00,0.00,6.50,3.00,22.50,7.00,4.00,3.50,33.00,9.50,3.00,1.50
32,18.00,31.00,19.50,0.00,12.00,0.00,0.00,23.50,19.00,0.00,13.00,6.00,11.50,25.00,40.00,3.50,6.50,0.00,46.50,6.50,5.50,0.00,1.00,13.50,0.00,4.50,3.00,0.00,18.00,0.00,0.00,2.00,0.00,6.50,3.00,22.50,7.50,4.00,3.50,36.00,9.50,3.00,1.50
