# YAKUTAT_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,90.50,213.00,35.50,99.00,156.00,54.00,83.50,53.50,86.00,21.00,82.00,29.50,104.50,58.00,87.00,31.00,61.00,36.00,111.50,52.00,77.50,84.00,13.50,63.50,56.00,150.50,40.50,8.00,60.50,8.50,80.50,57.00,17.00,13.50,33.50,118.50,183.00,23.50,90.50,195.00,39.00,15.00,99.50
28,99.00,219.00,35.50,105.50,162.50,56.50,85.50,61.50,90.50,23.50,88.50,34.00,104.50,61.50,99.00,39.00,63.50,37.00,116.00,52.00,83.00,84.00,13.50,68.50,59.00,152.50,41.50,8.00,60.50,8.50,86.00,62.00,24.00,13.50,33.50,127.00,194.50,28.00,91.50,201.00,39.00,15.00,105.00
29,105.50,227.00,35.50,111.00,172.50,60.50,85.50,67.00,96.50,30.00,95.50,34.00,104.50,67.50,107.00,48.00,63.50,38.50,122.00,52.00,87.00,85.50,13.50,73.50,59.00,156.50,41.50,8.00,60.50,8.50,90.50,70.50,25.00,18.00,33.50,137.00,203.50,31.50,91.50,208.00,39.00,18.50,110.00
30,114.00,234.00,35.50,119.00,178.50,65.50,85.50,70.50,102.00,34.50,97.50,34.00,110.00,72.50,115.00,52.50,63.50,39.50,127.50,52.00,93.00,85.50,13.50,73.50,59.00,158.00,42.00,8.00,60.50,8.50,96.50,77.00,26.50,22.00,33.50,142.00,215.50,37.50,93.00,219.00,39.00,21.00,114.50
31,124.00,237.00,35.50,129.00,181.50,65.50,85.50,75.50,106.00,36.50,101.00,34.00,115.50,80.00,124.00,57.50,63.50,42.00,132.00,57.00,97.50,85.50,13.50,73.50,59.00,159.50,43.50,8.00,64.00,8.50,105.00,84.00,26.50,24.00,35.00,148.50,225.00,43.50,93.00,231.00,39.00,21.00,120.00
32,132.00,244.50,35.50,136.50,186.00,65.50,85.50,89.00,108.50,39.00,103.00,37.00,117.50,83.50,133.50,63.00,63.50,45.00,133.50,59.00,103.50,86.50,13.50,73.50,64.50,160.50,48.00,8.00,67.50,8.50,109.50,90.50,27.00,26.50,37.00,156.50,235.00,48.00,93.00,237.50,39.00,21.00,126.00
33,142.00,251.00,35.50,145.50,195.50,70.50,90.50,97.50,112.50,39.00,105.50,42.50,121.00,87.50,141.50,73.50,64.00,49.00,138.00,59.00,110.00,89.50,13.50,73.50,71.00,161.50,52.50,8.00,72.00,8.50,113.50,99.50,28.50,28.00,37.00,163.50,244.00,53.00,93.00,246.50,39.50,21.00,129.00
34,151.50,255.00,35.50,155.00,202.50,71.50,95.50,103.50,116.00,42.00,111.50,48.00,123.00,93.50,147.00,80.00,71.00,51.50,144.00,59.00,113.50,93.50,13.50,73.50,76.50,162.00,55.00,8.00,76.50,11.00,116.50,106.50,32.50,28.00,37.50,172.00,251.00,64.50,93.00,254.50,40.00,21.50,133.50
35,163.00,258.50,35.50,158.50,208.00,72.50,102.00,108.50,119.00,44.50,115.50,56.00,123.00,99.00,150.00,86.00,76.50,56.50,149.50,59.00,119.00,96.00,13.50,73.50,84.50,174.50,59.50,11.00,82.00,14.50,122.50,112.00,35.50,28.00,41.50,179.50,262.00,75.50,94.50,261.50,40.00,25.00,139.00
36,171.50,262.50,35.50,160.00,213.00,76.50,103.00,113.50,124.50,44.50,116.50,60.50,123.00,105.00,157.00,93.00,80.50,65.00,157.00,59.00,123.50,96.00,13.50,77.50,95.50,179.50,65.50,16.00,82.00,16.50,127.00,116.50,40.00,28.00,48.00,187.50,271.50,81.00,103.50,275.00,40.00,25.00,145.00
