# KETCHIKAN_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1981, 1982, 1985, 1986, 1987, 1988
#
d_since_march1,1980,1983,1984,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,162.04,229.00,291.50,123.00,214.32,108.00,216.00,156.00,236.50,162.50,207.50,125.50,212.00,134.50,196.00,170.00,66.50,168.00,196.50,232.50,96.50,134.50,144.50,80.00,216.00,162.00,103.50,136.00,162.00,298.00,310.50,80.01,212.00,232.00,153.00,149.50,221.00
28,168.04,242.00,304.00,133.50,227.82,116.50,224.50,165.00,255.50,178.50,211.50,132.00,220.00,141.00,205.50,176.00,70.50,181.00,208.50,240.00,101.50,136.50,150.00,80.50,223.00,171.00,114.50,144.00,174.00,311.00,324.50,88.51,217.50,243.50,161.50,151.00,233.50
29,172.04,256.50,314.50,140.50,241.32,124.00,241.50,179.00,271.50,196.00,213.50,139.00,226.50,148.50,218.50,181.00,72.50,189.50,212.50,248.00,108.00,136.50,155.00,86.50,230.00,181.50,118.50,151.50,188.00,321.50,344.00,95.01,226.50,254.50,167.00,159.50,242.00
30,177.54,265.23,326.50,149.50,253.82,133.00,254.50,192.50,287.50,211.00,215.50,147.73,235.50,156.00,232.00,186.00,75.50,193.50,217.50,254.50,115.50,141.00,159.50,90.50,238.50,191.50,123.50,163.00,201.50,333.00,366.00,105.01,231.00,266.00,171.00,164.00,248.50
31,186.54,274.23,338.00,158.50,262.82,137.00,270.00,203.00,302.50,223.00,215.50,155.23,244.50,165.00,244.50,190.00,79.00,200.00,224.50,259.00,121.00,143.00,168.00,94.00,243.00,199.50,129.00,170.50,213.50,345.50,380.50,112.01,238.00,282.50,172.50,167.00,257.00
32,197.04,284.23,347.00,166.00,272.32,144.00,279.50,211.50,318.00,233.50,216.00,162.23,249.50,170.00,255.50,195.50,82.00,203.00,237.00,264.50,131.50,144.50,176.00,99.50,253.50,208.50,138.50,178.50,219.00,355.50,396.50,117.51,241.50,298.00,176.50,170.50,262.00
33,209.04,297.23,359.00,174.00,279.82,154.50,287.00,218.50,330.00,247.00,221.00,166.23,254.50,175.00,265.00,202.50,82.50,207.50,248.00,273.00,144.00,144.50,183.50,102.00,261.00,216.00,146.50,186.50,225.00,368.50,411.00,127.01,246.50,311.00,177.50,175.50,270.00
34,218.54,309.23,369.00,182.00,287.82,162.00,294.50,228.50,344.00,258.00,233.00,171.73,264.00,181.50,270.50,210.50,83.50,209.00,256.50,281.50,154.00,146.50,189.50,112.00,271.50,223.50,154.00,199.00,229.00,381.00,426.00,140.51,251.50,322.50,180.00,180.00,278.50
35,233.54,320.73,376.50,187.50,298.82,170.50,304.00,238.00,357.00,268.50,246.50,179.73,275.00,190.00,277.50,215.50,87.50,214.00,267.00,293.00,165.00,156.00,198.00,119.00,281.00,229.00,162.50,210.00,239.50,392.00,442.50,152.01,256.50,337.00,186.00,188.50,286.50
36,248.54,329.73,383.50,195.50,309.82,178.00,310.50,246.50,370.50,281.00,256.00,187.73,283.00,196.00,285.50,223.50,93.50,219.50,282.00,305.00,175.00,171.50,203.00,128.00,289.00,236.50,172.00,223.50,251.00,406.50,456.00,164.51,266.00,353.50,193.50,194.50,296.50
