# JUNEAU_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
27,88.00,200.50,57.50,86.00,204.50,106.00,119.00,104.50,155.50,54.50,122.00,54.00,141.50,110.50,127.50,33.00,77.00,52.50,116.50,77.50,125.50,108.00,47.50,77.50,85.50,161.00,53.00,27.00,101.50,18.00,118.50,37.50,54.00,33.00,55.50,139.00,203.00,28.50,67.00,190.00,50.00,57.00,134.00
28,94.00,208.00,57.50,93.00,214.00,109.50,123.00,116.50,160.00,60.00,132.00,59.50,144.50,116.00,135.50,40.00,78.00,57.00,123.50,80.00,130.50,112.50,50.50,85.50,89.50,165.50,58.00,28.00,102.00,18.00,129.00,44.50,59.50,36.50,56.50,150.00,216.00,35.00,73.50,198.00,50.00,57.00,140.50
29,97.50,219.00,57.50,100.50,225.00,114.00,123.00,125.50,167.00,66.50,138.50,67.00,151.50,128.50,145.50,50.00,78.00,61.50,130.50,83.00,138.50,116.50,54.00,93.00,91.50,171.00,61.50,28.00,102.00,21.50,136.50,51.50,64.50,41.00,60.00,161.50,229.00,42.00,73.50,206.50,50.00,62.00,146.00
30,105.00,227.50,57.50,109.00,235.50,121.50,123.00,132.50,172.50,74.00,148.50,72.00,164.00,137.50,154.50,59.50,78.00,64.50,137.50,90.50,145.50,120.50,54.00,93.00,93.50,177.00,64.50,28.00,105.00,23.00,144.50,57.50,67.00,47.00,66.00,170.50,244.50,50.00,73.50,218.00,50.00,66.00,152.00
31,114.00,230.50,57.50,119.00,242.00,125.50,123.00,140.00,178.00,82.50,155.00,76.50,172.00,142.50,164.50,67.50,78.00,68.50,141.50,95.50,152.00,122.50,54.00,93.00,96.50,179.00,69.00,28.00,110.00,24.00,153.50,62.50,69.00,54.50,69.00,180.00,257.50,58.00,73.50,229.00,50.00,70.50,158.00
32,127.50,236.50,57.50,130.00,253.50,128.00,123.50,152.00,186.50,93.50,162.50,80.00,176.50,150.00,175.00,76.00,78.00,73.00,146.50,99.50,161.50,122.50,54.00,93.00,104.50,184.00,78.00,28.00,116.00,24.00,163.00,67.50,75.00,60.50,75.50,188.00,269.00,64.50,74.50,240.50,50.00,73.50,167.00
33,135.50,243.50,57.50,138.50,266.00,132.00,134.00,166.00,192.00,102.50,170.00,87.50,182.50,155.50,186.00,87.00,78.00,78.00,152.50,102.00,169.00,126.00,54.00,93.00,115.00,188.50,84.00,28.00,123.50,24.00,168.50,74.00,81.50,63.00,80.50,196.00,281.50,73.00,74.50,252.00,50.00,76.50,173.00
34,145.50,250.00,57.50,149.00,275.00,140.50,141.50,175.50,197.50,109.50,176.50,96.50,187.50,163.50,196.50,94.50,89.00,81.00,162.00,106.00,175.50,134.00,54.00,93.00,123.50,193.50,89.00,28.00,131.50,27.00,173.00,78.00,87.50,63.00,83.50,205.00,291.50,85.00,74.50,260.00,50.00,82.00,180.50
35,156.00,257.00,57.50,157.00,282.00,146.00,148.50,182.00,203.00,116.00,183.00,104.50,188.00,170.00,205.50,101.00,101.50,86.00,173.50,106.00,181.50,137.50,54.50,94.00,131.50,204.00,98.50,30.50,139.50,32.50,177.00,81.50,93.50,63.00,88.50,213.50,304.50,97.00,76.00,267.50,50.00,88.00,186.00
36,163.50,262.00,60.00,162.50,289.50,152.50,153.00,189.50,210.50,123.00,189.00,110.50,188.50,177.50,215.00,109.50,108.50,92.00,181.50,111.00,187.50,143.00,55.00,97.00,139.00,212.00,104.00,40.00,142.50,38.50,182.50,87.00,98.50,64.50,97.00,221.50,316.00,104.50,83.00,280.00,56.00,91.50,196.50
