# Cumulative DD25 averaged for Kuskokwim River at Red Devil
# Sites: MCGRATH_AP, NORTHWAY_AP, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
63,352.83,328.33,163.83,257.50,229.00,58.25,144.33,265.50,293.83,305.17,377.50,328.50,213.89,415.33,349.50,421.08,303.67,323.67,419.83,225.62,254.62,218.50,181.29,347.00,412.75,291.88,136.63,398.88,229.38,278.62,283.06,225.62,274.25,66.00,374.00,409.50,556.62,361.50,284.00,511.38,359.50,289.42,276.62,150.71,
64,370.83,345.00,172.67,270.00,235.75,65.75,155.00,280.67,308.83,321.33,387.50,346.67,214.52,432.83,364.00,440.20,319.50,342.50,432.50,232.37,264.25,220.75,188.17,360.67,436.25,309.12,152.76,418.25,245.88,296.38,296.93,239.62,283.25,70.50,394.25,429.00,575.00,377.38,300.00,525.88,380.25,309.17,291.75,159.88,
65,390.50,363.83,183.17,282.00,245.37,75.50,167.00,295.50,326.33,335.83,401.83,367.50,216.64,451.17,382.83,460.58,337.83,361.33,449.00,239.87,274.00,227.75,200.04,375.00,460.62,326.11,169.51,434.25,263.25,310.88,309.31,255.38,297.38,73.50,411.00,449.62,594.25,396.25,314.50,542.00,400.50,328.05,308.12,171.38,
66,413.83,385.67,197.50,297.33,256.00,88.00,182.17,310.00,343.00,352.50,418.67,390.33,222.14,469.33,400.00,482.70,357.17,379.17,463.00,249.37,288.00,235.25,212.42,389.17,485.38,347.70,183.51,449.00,279.88,321.25,327.18,267.00,313.38,78.38,428.25,471.25,616.38,419.62,327.88,559.75,423.62,346.80,323.00,181.54,
67,435.00,410.50,215.83,312.50,268.00,97.75,197.33,328.00,361.67,368.17,436.00,409.83,233.64,483.00,415.83,505.58,373.00,396.50,477.17,257.99,303.50,245.62,225.29,405.17,508.00,372.32,195.63,463.62,297.50,336.88,346.56,277.00,329.38,85.50,445.25,493.38,638.12,443.62,342.00,582.38,448.12,368.30,336.62,194.54,
68,456.50,437.67,233.33,332.00,282.75,105.25,207.17,343.83,386.67,374.17,454.83,427.00,242.02,493.33,430.33,530.70,388.33,413.67,494.50,269.24,317.62,256.12,240.67,424.17,524.25,397.07,209.13,478.62,315.25,353.62,364.43,290.62,341.62,94.75,462.38,514.75,659.50,466.62,361.75,605.62,475.62,388.17,349.50,209.38,
69,477.67,462.17,249.00,351.33,297.00,111.00,217.33,358.33,410.83,384.67,476.33,447.17,248.14,505.33,449.17,558.58,406.17,432.17,512.83,283.12,327.88,266.00,255.54,444.17,538.62,425.57,223.51,496.38,334.00,368.38,380.93,306.25,358.38,107.75,483.50,538.12,680.25,489.12,385.00,628.88,503.88,411.67,362.00,226.71,
70,494.67,484.83,264.33,371.00,307.50,115.75,226.83,373.00,432.67,400.00,497.33,462.83,257.14,520.50,470.00,590.95,426.83,451.83,525.83,301.24,340.00,275.75,270.29,459.17,558.25,454.95,240.13,513.88,354.00,383.25,399.43,318.00,376.12,123.88,506.12,563.00,704.38,512.38,410.62,655.00,533.50,436.17,374.50,246.04,
71,511.00,508.33,279.33,391.83,316.87,122.25,240.33,386.50,454.50,413.17,518.17,475.67,265.52,538.67,494.50,625.08,450.00,472.00,538.00,318.87,353.00,285.88,284.79,471.50,578.00,483.82,256.13,531.50,377.00,400.75,422.43,329.38,392.00,141.38,531.38,583.62,730.50,535.50,433.62,675.75,562.62,459.17,389.94,265.71,
72,530.17,533.50,293.83,413.83,328.75,128.50,253.67,400.33,478.00,426.50,539.50,490.67,277.89,561.83,520.83,657.70,479.00,490.33,552.67,340.37,369.38,300.00,301.79,487.67,600.75,513.32,272.38,547.00,400.50,420.00,444.06,345.62,407.25,155.62,556.38,607.38,759.62,558.62,453.25,696.75,588.38,482.30,407.03,284.21,
