# Cumulative DD25 averaged for Gulkana River nr Gakona
# Sites: TALKEETNA_AP, NENANA_MUN_AP, NORTHWAY_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
26,36.75,82.25,39.00,37.50,116.25,49.00,36.25,52.00,52.25,28.75,42.50,25.75,69.00,24.25,43.75,3.25,39.75,16.50,68.00,33.50,46.17,37.50,15.33,45.67,28.38,53.38,13.62,0.00,32.88,12.12,23.12,11.38,3.38,7.38,25.50,56.50,51.75,0.33,16.75,141.50,28.50,2.38,41.25,15.50,57.62
27,38.25,86.50,39.00,41.50,121.50,49.00,36.25,56.00,52.75,28.75,50.75,30.50,69.00,28.00,48.75,8.50,43.50,17.25,69.67,35.00,46.17,39.25,15.33,46.17,29.38,54.12,13.62,0.00,32.88,12.12,25.00,11.50,6.88,7.38,25.50,62.25,61.25,2.00,17.88,153.75,28.50,2.38,45.38,17.50,63.62
28,40.00,91.00,39.00,43.75,127.50,49.00,36.25,62.75,53.00,28.75,60.25,30.75,69.00,34.50,55.50,14.75,47.00,17.25,72.67,35.83,49.50,40.00,15.33,47.00,29.38,54.38,14.75,0.00,32.88,13.50,28.12,16.12,9.38,8.75,25.50,67.12,72.62,3.33,18.75,166.25,28.50,3.62,48.50,18.33,67.12
29,47.75,95.50,39.00,46.00,133.25,49.00,36.25,72.50,56.25,28.75,67.50,30.75,69.00,39.75,67.25,20.00,50.75,19.00,72.67,36.00,52.67,41.88,15.33,47.00,29.38,54.88,14.75,0.00,34.00,14.38,30.75,19.50,10.88,11.88,25.50,73.25,84.62,4.50,19.88,176.12,28.75,5.50,51.50,20.50,72.38
30,54.75,99.75,39.00,50.00,142.25,49.00,36.25,77.00,63.25,30.50,72.25,30.75,72.00,47.00,78.50,32.75,53.75,19.00,72.67,37.50,55.50,42.00,15.33,47.00,29.38,58.50,17.38,0.00,39.88,14.38,35.50,21.62,15.38,14.88,25.62,76.25,98.62,9.83,21.00,187.25,28.75,5.50,54.12,21.67,77.25
31,67.75,102.50,39.00,53.00,151.00,49.00,36.25,80.25,68.50,33.00,74.75,30.75,76.50,53.75,92.75,45.75,53.75,22.25,77.33,41.17,60.17,42.00,15.33,47.00,29.38,59.38,20.62,0.00,49.12,14.38,39.38,22.00,19.75,17.38,26.62,81.62,110.75,17.50,23.12,198.25,29.00,5.50,57.00,22.50,79.88
32,81.00,102.75,39.00,58.50,155.75,49.00,37.00,82.25,71.00,35.75,76.75,34.00,79.25,63.00,108.00,57.50,53.75,25.25,79.33,43.50,63.67,42.00,15.33,47.00,30.00,59.38,21.62,0.12,59.12,14.38,43.50,23.88,21.12,17.50,26.62,87.12,120.38,25.17,24.62,206.62,31.75,5.50,58.88,23.50,79.88
33,93.50,102.75,39.00,62.00,161.25,49.00,37.00,86.50,72.75,37.00,82.25,36.50,79.75,67.25,119.00,65.75,53.75,26.25,85.33,43.50,68.67,48.25,15.83,47.50,34.00,60.25,22.25,0.12,68.38,14.75,47.75,27.75,21.75,19.50,26.75,92.00,130.50,28.00,24.62,209.12,35.88,5.50,60.75,23.50,80.12
34,104.00,102.75,39.00,71.00,170.25,49.00,37.00,91.75,75.00,40.00,92.50,43.25,79.75,70.25,130.75,81.25,59.25,29.25,89.83,43.50,72.33,51.38,18.50,48.50,38.12,62.12,26.50,2.88,77.62,15.75,50.93,30.12,22.50,20.25,28.38,95.38,140.75,35.00,24.62,211.62,39.75,9.62,61.50,25.33,82.88
35,113.00,102.75,41.75,74.75,179.75,49.00,37.00,100.00,77.25,43.25,96.00,46.50,79.75,74.50,139.25,90.25,65.75,35.25,97.33,45.17,75.17,53.25,23.00,48.50,45.50,65.75,30.38,8.00,81.12,15.75,57.06,34.12,30.50,20.50,31.62,99.38,150.25,44.33,26.75,215.38,45.50,9.62,63.00,28.33,88.25
