# Cumulative DD25 averaged for Susitna River at Sunshine
# Sites: TALKEETNA_AP, BIG_DELTA_AP, CHICKEN, NORTH_POLE
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
37,173.00,172.67,80.17,71.00,201.00,38.33,25.33,130.83,98.83,31.83,146.50,52.75,103.75,124.75,170.83,108.67,78.03,71.67,176.75,66.38,87.12,74.88,26.12,47.00,79.88,117.75,41.50,27.33,119.83,18.00,89.88,45.62,51.00,32.12,49.50,145.62,202.88,75.25,37.88,285.88,40.88,8.50,83.62,31.50,
38,185.33,173.00,83.33,74.33,205.33,38.83,25.33,137.33,101.33,38.67,161.00,57.75,106.50,137.50,178.17,116.33,78.70,87.67,187.12,66.38,88.38,80.75,26.12,49.88,93.12,124.12,46.12,40.83,119.83,18.50,90.25,53.75,59.38,32.12,50.25,155.62,212.62,81.00,42.75,298.75,41.38,8.50,84.75,31.50,
39,193.67,173.33,89.00,76.67,210.00,38.83,25.33,143.83,106.50,44.00,171.50,63.00,112.25,149.50,183.50,128.33,80.37,101.33,197.38,66.38,90.38,84.88,28.38,55.25,105.62,132.50,53.88,55.33,121.17,21.88,90.88,58.00,64.88,32.12,50.25,165.62,227.50,88.50,51.50,312.88,41.38,8.50,85.88,31.50,
40,197.17,174.67,90.50,77.33,212.00,38.83,25.33,148.83,109.17,57.67,181.00,67.00,113.50,164.75,187.83,139.67,88.03,113.83,209.00,71.00,92.00,93.62,28.62,62.62,116.12,141.62,61.38,67.67,121.17,28.75,91.88,60.62,72.00,32.12,50.25,174.50,245.25,96.88,62.38,326.00,41.38,8.50,88.38,31.50,
41,201.00,175.83,92.00,77.33,214.17,38.83,25.33,154.17,121.00,71.00,191.50,73.75,113.50,178.25,192.33,152.67,97.03,128.17,220.25,79.62,97.12,107.62,28.62,72.75,125.25,146.38,62.75,78.33,121.17,37.50,99.25,65.00,81.38,32.12,50.62,181.25,260.38,106.88,76.12,339.88,42.12,8.50,92.38,31.50,
42,206.50,178.33,94.83,80.50,217.17,38.83,26.83,161.67,137.83,85.67,202.25,79.50,113.50,191.50,196.17,164.67,104.37,139.83,230.75,85.12,107.00,119.75,28.75,85.50,136.50,151.50,64.12,87.67,121.17,44.50,107.00,66.50,92.88,32.12,51.75,188.12,274.50,118.12,88.88,354.38,49.75,17.75,98.88,32.88,
43,213.67,179.50,96.17,84.33,224.17,38.83,29.00,166.83,153.17,97.50,211.00,83.75,113.50,207.25,199.50,175.67,110.87,151.17,237.50,91.00,118.88,127.88,29.50,98.50,146.50,156.00,67.50,96.17,121.17,51.62,114.12,68.62,107.25,32.12,60.88,193.75,284.75,129.50,99.50,368.88,59.38,28.12,104.75,32.88,
44,222.00,182.36,96.17,93.67,229.17,38.83,35.83,177.83,167.50,108.00,220.75,96.75,118.75,222.00,203.00,187.67,119.53,157.00,251.50,100.25,128.25,135.62,31.00,108.75,154.75,160.88,69.38,104.00,125.67,58.75,118.50,73.25,123.00,32.12,72.00,198.25,297.00,139.75,106.50,380.62,69.12,39.38,110.00,34.75,
45,228.83,184.03,101.33,106.33,237.17,46.83,43.33,190.33,180.67,121.33,232.25,110.75,133.25,237.25,203.00,198.67,130.03,161.17,269.25,109.88,135.75,146.38,31.88,116.88,163.25,165.62,69.88,114.17,128.17,65.25,125.12,80.75,140.00,32.50,83.62,206.12,309.88,149.25,110.38,391.50,83.62,53.00,113.25,37.88,
46,238.83,184.70,104.67,117.67,240.67,54.50,49.17,198.50,196.33,136.00,243.25,123.50,149.75,257.50,203.00,212.67,140.53,163.50,285.88,120.62,141.12,155.38,33.00,129.25,173.00,170.25,70.25,124.83,128.17,74.25,130.25,87.25,156.75,32.50,98.00,215.12,324.12,154.88,117.00,402.75,97.75,64.25,116.75,40.00,
47,248.00,187.03,107.50,127.33,243.00,62.00,58.33,204.17,211.83,149.67,258.25,138.00,160.75,273.00,203.00,226.33,158.37,165.17,303.38,136.25,145.75,164.38,39.12,142.75,183.38,172.88,76.50,135.50,128.17,82.25,144.25,92.50,172.88,33.75,110.25,227.50,337.12,161.00,122.12,411.25,111.62,77.75,121.13,43.62,
48,258.67,195.20,108.83,139.50,244.00,65.00,66.17,210.67,224.83,162.17,272.50,151.25,172.25,290.75,214.17,242.50,174.70,166.67,322.62,155.38,151.96,174.38,49.12,154.25,195.00,173.88,80.88,149.33,132.67,91.50,158.88,100.75,190.38,34.88,125.12,242.50,351.00,166.88,129.88,418.88,128.38,96.88,125.63,47.12,
49,269.54,209.70,110.83,151.00,245.17,65.00,72.17,219.00,238.50,175.33,289.75,164.25,183.75,304.75,228.67,258.00,191.03,169.17,338.50,176.88,162.58,180.88,59.88,166.25,205.50,176.12,86.50,163.83,139.00,99.38,176.62,108.75,207.50,37.50,138.00,260.75,364.50,172.75,135.88,427.00,145.38,115.75,132.00,51.62,
50,281.37,223.20,116.33,163.00,255.50,66.00,76.17,228.33,251.67,190.33,305.75,178.00,197.75,317.50,247.00,273.83,210.70,172.33,353.75,197.75,178.46,191.25,70.75,179.50,217.38,185.00,91.00,179.67,151.33,107.50,194.62,115.00,225.12,39.38,153.38,275.00,379.50,179.75,139.88,433.88,162.00,131.62,136.25,59.38,
51,295.54,237.36,122.50,174.50,271.83,71.17,84.50,239.67,266.83,202.50,319.75,191.75,208.50,330.00,267.50,289.83,227.03,178.67,365.75,215.00,193.21,205.12,77.12,194.18,228.50,197.88,99.12,194.00,166.17,115.75,208.38,121.75,241.12,42.25,170.88,283.12,397.75,187.88,146.62,447.12,176.12,142.75,142.50,68.00,
52,311.87,252.36,127.83,188.50,281.17,75.50,93.00,254.00,278.50,214.50,332.00,206.50,223.50,344.75,287.67,311.83,243.70,190.33,378.50,228.62,204.46,218.00,79.38,210.67,242.00,217.75,109.62,211.67,182.83,123.38,221.12,133.62,257.38,46.75,187.25,291.38,419.62,199.12,157.00,460.75,188.75,156.38,153.88,72.88,
53,326.70,265.70,136.67,205.33,285.00,83.17,102.17,268.83,293.00,231.17,346.25,220.25,236.50,361.75,306.17,330.17,260.03,207.83,393.62,242.88,215.46,231.75,79.88,230.92,256.38,235.62,121.88,228.33,199.83,134.12,232.25,151.00,271.62,53.62,201.75,300.25,440.88,213.00,172.75,467.88,200.38,172.66,167.75,75.12,
54,340.04,280.03,148.00,225.83,290.67,90.67,109.50,279.50,309.00,249.33,361.50,237.75,248.50,376.75,326.50,347.33,272.03,227.17,408.12,253.62,224.71,243.12,81.12,250.67,269.62,252.75,136.62,247.33,213.00,144.00,241.25,167.12,287.00,61.25,215.62,313.62,462.75,230.38,186.38,474.75,209.75,190.16,180.63,77.25,
55,357.04,294.86,163.33,245.67,298.17,99.83,117.33,288.17,328.83,267.33,377.25,254.00,261.50,390.75,348.33,363.50,287.03,249.83,420.75,259.75,234.83,255.88,84.75,271.80,284.88,273.88,146.12,264.00,221.00,154.50,254.50,183.50,303.50,63.62,230.62,328.62,486.38,251.25,201.38,484.12,215.75,208.91,196.13,81.62,
56,378.54,309.86,176.00,264.00,307.17,109.33,125.50,301.50,350.00,285.50,390.00,269.75,274.00,406.75,370.00,382.50,303.20,272.67,431.38,265.25,246.46,269.25,98.00,297.67,301.62,295.50,153.62,280.33,230.17,170.38,274.12,198.88,320.00,65.50,246.75,344.50,506.12,269.25,213.12,494.12,224.62,228.91,210.75,88.12,
57,396.70,323.53,192.67,281.67,318.00,118.50,137.50,314.17,370.83,304.00,406.00,286.50,285.75,426.25,394.83,399.83,319.37,292.33,444.62,272.12,260.46,284.12,110.75,324.42,317.00,319.00,161.50,296.00,245.00,189.12,297.75,213.38,336.25,67.50,263.62,363.00,524.12,285.88,223.25,504.88,233.25,242.16,226.00,99.00,
58,415.70,338.03,208.00,296.33,335.83,127.83,150.50,329.33,390.33,326.33,418.50,302.50,294.75,447.50,412.33,414.33,335.37,311.17,457.00,284.50,274.83,297.50,125.12,344.86,332.00,344.38,170.38,309.67,259.17,209.50,320.88,229.25,354.38,68.88,281.38,379.62,541.12,302.25,232.38,518.38,243.25,255.16,239.63,111.00,
59,434.20,353.53,220.00,312.00,354.83,137.00,164.67,350.17,409.00,345.67,431.25,320.00,304.50,466.75,432.00,432.00,350.20,331.33,468.00,297.25,290.08,308.75,144.50,365.61,350.38,370.88,177.00,322.67,272.17,232.88,345.12,243.62,372.00,70.62,298.50,395.25,559.00,318.50,243.88,534.62,252.12,268.53,254.88,124.62,
60,451.70,374.36,228.17,328.83,374.50,150.00,180.17,371.83,424.33,365.33,446.00,342.25,312.75,485.25,451.67,455.83,365.20,350.83,479.50,309.38,304.33,318.25,165.88,381.86,373.51,396.25,185.75,339.67,284.67,257.00,363.12,260.00,388.62,75.00,318.12,409.88,575.12,333.62,256.25,557.12,260.00,278.78,270.50,140.75,
61,471.04,391.53,237.67,342.33,392.67,160.17,198.67,392.83,436.83,387.33,463.25,358.25,320.50,504.75,469.17,481.17,378.37,368.50,494.50,315.25,320.96,330.84,181.71,398.61,398.13,418.50,196.12,355.17,295.50,283.38,379.38,276.12,397.12,82.25,339.50,424.88,594.12,350.50,269.62,580.50,271.38,288.91,287.00,158.25,
62,489.87,407.83,246.33,358.50,407.50,171.00,217.00,413.50,450.17,410.50,480.50,372.50,323.75,525.00,490.00,509.33,390.03,387.83,508.00,320.88,336.96,337.09,188.09,415.61,416.51,438.12,209.50,371.67,315.00,310.62,393.62,289.75,401.38,89.12,365.12,440.88,610.88,367.62,279.00,601.25,284.12,302.41,304.63,174.00,
63,508.37,423.66,256.00,368.67,419.67,184.83,234.40,430.33,467.33,430.83,496.25,390.50,326.75,542.75,508.24,538.33,404.20,406.67,518.88,329.88,353.96,340.21,194.96,429.99,436.01,458.62,224.38,389.83,333.83,337.38,409.75,303.75,407.25,100.62,393.75,456.88,628.00,389.00,289.12,614.88,300.38,321.03,320.88,184.50,
64,527.20,446.49,267.33,381.83,434.00,199.83,249.74,444.67,485.50,448.83,514.50,410.50,330.50,562.25,524.07,561.17,421.87,426.50,532.62,338.00,366.08,346.84,200.09,444.99,458.01,477.88,243.16,410.00,352.83,359.12,424.62,317.88,419.75,106.38,419.00,475.25,644.75,407.88,302.62,628.50,320.62,342.91,337.13,198.25,
65,550.87,470.16,279.33,396.50,448.67,212.83,265.90,461.50,503.67,463.83,531.00,434.00,335.25,583.75,543.74,583.17,443.03,447.83,551.50,346.88,377.71,356.09,209.09,461.61,479.76,496.62,260.16,425.33,371.33,375.25,437.12,333.38,435.25,113.12,438.50,493.75,662.00,425.88,318.75,641.62,339.75,360.41,353.63,213.00,
66,576.37,495.16,298.17,412.33,463.33,226.67,282.07,482.00,522.50,481.50,548.50,455.50,345.00,603.25,563.57,606.33,464.70,466.83,569.75,359.38,392.83,367.59,220.46,478.61,502.88,519.25,275.66,442.33,388.83,389.75,454.88,348.12,450.00,119.75,457.88,512.12,684.75,445.12,333.25,658.88,360.25,380.28,370.50,229.25,
67,601.87,521.16,317.67,431.00,479.50,241.67,299.24,504.67,543.17,502.83,567.00,475.00,358.25,621.75,582.40,630.50,488.20,485.17,588.50,373.38,411.58,381.71,236.34,496.61,524.01,543.62,291.28,457.83,406.33,406.00,473.00,360.25,469.00,128.75,479.12,533.00,706.00,468.12,346.75,679.88,381.75,401.53,386.38,244.88,
68,622.04,551.99,337.83,451.00,499.50,257.83,315.07,525.17,567.33,520.00,588.25,494.75,375.50,641.25,598.90,658.67,507.20,505.50,602.75,389.50,429.96,395.46,254.46,515.99,541.88,571.00,306.66,474.67,421.67,423.00,491.75,374.00,485.38,139.38,500.12,556.00,726.25,492.88,365.25,702.88,407.38,421.66,400.25,262.12,
69,641.87,581.16,359.00,470.83,518.50,268.83,329.90,545.83,594.00,531.83,612.25,517.00,386.50,659.50,620.57,690.50,527.20,526.33,623.12,406.75,441.71,409.09,272.59,538.24,558.96,600.75,324.03,492.33,439.83,441.75,509.62,389.62,499.75,154.75,520.00,580.75,746.38,516.12,388.25,725.38,435.00,446.66,413.88,279.38,
70,662.04,609.99,379.67,491.00,536.33,277.33,342.74,566.17,621.33,545.17,637.50,535.00,396.75,679.00,645.40,724.50,550.87,547.33,641.00,426.00,455.08,421.84,288.46,559.11,576.21,630.12,340.03,509.50,460.17,458.25,529.38,402.25,516.00,176.75,542.50,602.50,768.50,538.75,417.62,752.25,466.62,470.53,423.88,299.12,
71,680.37,634.83,397.17,512.17,546.83,286.67,361.24,587.00,650.33,556.33,663.00,550.75,407.75,698.75,669.40,760.67,577.03,571.00,655.88,446.88,469.58,434.59,304.71,577.61,598.33,660.00,358.78,526.50,480.83,474.25,549.50,415.00,536.38,197.00,565.00,624.00,795.50,561.00,441.38,773.00,495.50,493.41,437.25,321.25,
72,700.21,659.84,412.50,534.67,558.67,299.00,377.40,608.67,677.17,568.33,687.25,568.25,420.00,720.25,695.74,795.67,607.20,594.33,668.50,469.38,484.58,448.84,322.75,596.27,623.71,690.38,376.66,544.17,504.83,490.38,572.12,428.62,555.12,214.88,589.12,648.38,827.50,584.12,461.00,792.12,521.75,513.78,450.50,344.25,
73,725.04,687.84,427.17,559.83,576.50,313.00,390.07,630.17,703.33,586.67,711.00,586.50,434.50,748.50,719.57,829.83,637.20,615.28,682.88,493.50,497.96,465.84,342.12,613.52,646.71,722.62,396.16,559.67,525.17,509.38,591.62,442.75,573.00,226.00,613.00,672.12,861.50,606.38,478.00,813.75,547.38,533.66,466.38,367.75,
