# Cumulative DD25 averaged for Kobuk River at Ambler
# Sites: NOME_AP, NENANA_MUN_AP, KOTZEBUE_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
26,24.00,37.50,7.25,7.25,35.25,2.50,3.00,16.75,1.50,0.00,17.25,1.75,0.25,2.75,0.00,10.25,17.75,0.00,25.17,9.50,13.00,1.38,13.17,3.83,3.38,10.50,2.25,0.00,4.75,1.50,0.00,6.62,0.12,4.75,9.88,15.00,8.62,0.00,4.12,97.50,31.25,1.00,5.12,8.83,20.25
27,26.50,37.50,7.25,7.25,35.25,2.50,3.00,21.50,1.50,0.00,22.00,1.75,0.25,4.75,4.75,12.75,20.00,0.00,25.17,9.50,13.00,1.38,13.17,3.83,3.38,10.50,2.25,0.00,4.75,1.50,0.00,6.62,0.12,4.75,9.88,17.62,13.25,0.00,4.12,105.00,31.25,1.00,6.00,8.83,22.00
28,29.25,39.50,7.25,7.25,36.50,2.50,3.00,27.00,1.50,0.00,22.00,1.75,0.25,9.00,6.00,13.00,22.75,0.00,25.17,9.50,13.00,1.38,13.17,3.83,3.38,10.50,2.25,0.00,4.75,1.50,0.00,7.88,1.00,4.75,9.88,18.88,17.50,0.00,4.12,113.00,31.25,2.62,6.00,8.83,24.00
29,33.00,41.50,7.25,7.25,36.50,2.50,3.00,30.00,1.50,0.00,22.00,1.75,0.25,12.25,6.00,17.25,22.75,0.00,25.17,9.50,13.00,1.62,13.17,3.83,3.38,10.50,2.25,0.12,4.75,1.50,0.00,8.38,1.00,4.75,9.88,20.50,22.50,0.00,4.50,119.17,31.25,3.75,8.75,9.33,26.00
30,37.00,41.50,7.25,7.25,36.50,2.50,3.00,32.00,1.50,0.00,22.00,1.75,0.25,19.75,7.00,18.00,25.00,0.00,25.17,9.50,13.00,1.62,13.17,3.83,3.38,10.50,2.88,1.00,8.75,1.50,1.00,9.38,1.75,4.75,9.88,20.62,27.12,0.00,6.25,126.00,31.25,3.75,9.75,9.33,28.62
31,43.25,43.00,7.25,7.25,39.50,2.50,3.00,34.00,1.50,0.00,22.00,1.75,0.25,27.50,9.50,19.00,25.50,0.00,25.17,9.50,13.00,1.62,13.17,4.00,3.38,10.50,2.88,3.00,15.62,1.50,1.75,9.38,1.75,5.75,9.88,21.38,30.88,0.00,7.38,132.67,31.50,3.75,9.75,9.33,28.88
32,50.75,43.00,7.25,7.25,39.50,2.50,3.00,39.50,1.50,0.00,23.50,1.75,0.25,29.25,19.00,19.00,25.50,0.00,25.50,9.67,13.33,1.62,13.17,4.67,3.38,10.50,2.88,4.00,20.38,1.50,2.62,9.38,1.75,5.75,10.12,22.62,35.00,1.83,7.38,137.83,33.00,3.75,9.75,9.33,28.88
33,58.75,43.00,7.25,7.25,39.50,2.50,3.00,41.25,1.50,0.00,28.50,1.75,0.25,29.25,23.25,20.50,25.50,0.25,30.67,9.67,13.33,5.75,13.17,4.67,3.38,10.50,2.88,4.12,25.88,1.50,3.25,9.88,1.75,5.88,10.12,23.25,40.00,1.83,7.38,139.00,35.50,3.75,9.75,9.33,28.88
34,64.25,43.00,8.25,9.25,39.50,2.50,3.00,41.25,1.50,0.00,34.75,1.75,0.50,29.25,25.50,21.25,25.50,2.50,31.50,9.83,13.33,7.25,13.17,4.83,3.88,10.50,3.50,4.88,30.12,1.50,3.43,10.62,1.75,6.00,10.12,23.50,48.38,2.00,7.38,139.50,40.62,3.88,9.75,9.33,31.25
35,66.75,43.00,17.25,9.25,39.50,2.50,3.00,41.25,1.50,0.00,35.50,1.75,3.50,29.25,27.75,21.25,25.50,6.75,32.33,9.83,13.33,7.75,13.17,4.83,6.75,10.50,4.50,7.62,31.75,1.50,4.56,11.62,5.12,6.00,10.62,24.62,51.50,2.83,7.38,140.67,42.12,3.88,9.75,9.33,33.00
