# Cumulative DD25 averaged for Kuskokwim River at Aniak
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, MCKINLEY_PARK
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
51,170.33,217.50,95.50,92.50,142.17,24.17,62.50,122.83,148.17,117.05,247.00,132.50,126.00,253.83,150.50,188.50,158.83,134.33,277.00,130.62,121.12,104.50,60.50,126.26,181.25,73.88,37.38,172.80,105.29,47.88,95.25,48.25,124.88,26.00,132.12,173.88,290.00,127.88,128.62,302.25,170.00,104.00,87.88,35.59,
52,180.50,226.67,97.00,102.83,147.33,24.17,65.67,128.83,153.33,123.72,259.83,144.83,132.83,265.50,162.17,202.83,173.50,142.52,289.75,140.62,127.75,116.75,61.75,138.51,195.25,87.25,44.01,189.80,120.79,53.38,104.12,53.88,136.88,27.62,147.25,178.88,307.88,137.38,136.38,308.62,180.75,115.62,97.25,42.34,
53,188.50,236.00,104.33,115.33,147.33,24.83,68.00,134.00,163.00,135.05,268.00,153.17,140.17,277.67,174.67,218.67,190.83,156.50,303.38,149.50,134.88,125.25,61.88,154.51,208.38,97.00,49.26,206.55,134.91,61.88,109.62,65.12,149.25,30.62,160.75,187.00,325.88,150.88,146.75,313.88,192.25,128.88,109.38,42.47,
54,195.67,245.67,112.17,129.50,147.33,25.67,69.50,137.50,175.00,144.39,276.00,165.00,148.17,290.00,186.17,235.00,200.33,173.67,318.38,154.38,140.00,133.00,64.12,170.89,220.50,111.12,57.63,223.42,144.16,70.75,114.62,79.88,160.25,36.75,174.75,197.38,347.12,166.62,159.38,316.88,203.88,143.62,119.50,45.76,
55,206.00,259.33,122.67,142.33,148.67,27.50,71.83,140.17,187.50,152.89,285.17,180.33,156.50,301.00,199.50,250.83,209.00,194.33,333.25,158.62,145.25,139.38,67.38,187.01,232.25,125.88,64.76,240.42,150.41,80.12,123.88,93.21,172.88,39.00,188.25,211.12,369.50,183.88,172.88,322.62,209.50,159.50,132.62,50.38,
56,222.17,269.50,130.33,155.17,157.33,30.17,72.67,149.17,203.17,160.39,295.17,197.00,165.67,311.67,216.17,263.83,219.33,213.50,343.25,161.38,149.88,149.75,76.12,206.89,245.12,144.25,68.26,255.42,153.91,92.75,135.50,105.71,186.50,39.50,201.88,224.38,387.50,200.75,183.62,330.38,214.25,177.25,146.50,58.54,
57,236.83,277.67,136.33,169.17,168.00,30.83,74.33,158.67,220.50,170.55,306.83,210.67,174.67,324.67,234.50,275.50,231.00,232.00,351.12,164.62,158.62,160.75,88.62,227.01,258.00,164.88,71.38,268.42,157.16,109.88,149.12,117.71,199.50,41.12,218.38,240.88,405.88,214.62,193.00,338.62,220.75,189.50,159.88,66.85,
58,252.67,289.33,143.50,181.17,182.83,32.33,80.33,170.17,234.50,187.89,317.83,223.33,179.83,339.67,250.33,285.83,239.83,249.67,356.75,173.50,167.50,171.25,101.38,245.39,268.75,185.25,76.26,282.17,163.54,127.75,165.75,129.58,213.38,41.62,234.62,257.75,423.12,228.62,202.38,349.62,227.50,197.75,172.12,76.59,
59,267.33,300.50,149.33,194.17,198.50,35.33,89.50,184.50,247.00,204.89,328.67,238.17,184.83,357.50,266.67,299.67,250.33,266.83,362.50,181.75,179.62,180.12,117.00,262.01,283.38,207.00,79.63,295.05,170.66,149.12,185.50,143.46,225.25,42.62,249.00,273.25,440.62,242.38,213.25,363.88,235.88,207.38,186.12,87.55,
60,279.83,313.67,155.67,207.17,212.17,40.17,100.50,200.00,259.00,220.89,342.00,254.83,188.83,374.33,281.33,317.00,259.67,285.00,369.38,190.25,192.00,187.50,133.75,279.51,305.38,228.50,83.13,309.92,177.79,170.88,201.50,157.83,236.88,44.25,266.88,287.50,455.62,256.12,225.50,382.00,241.00,215.25,199.25,100.48,
61,293.17,325.83,158.50,218.00,218.67,45.17,114.83,217.83,269.83,236.72,355.17,270.00,189.33,388.50,294.67,335.67,269.67,302.17,380.75,193.88,203.75,192.50,147.00,293.14,331.13,249.50,88.26,323.42,182.04,193.00,213.12,170.96,244.25,46.25,284.50,300.88,474.25,271.75,236.50,402.12,249.12,220.75,214.62,113.66,
62,307.83,335.33,160.00,232.17,223.00,52.33,128.50,233.33,284.00,254.55,367.00,285.67,189.33,403.17,311.50,360.00,278.00,320.17,391.00,197.00,215.38,195.00,152.50,310.89,352.01,270.25,99.13,340.05,193.79,215.88,223.50,184.33,246.75,50.00,307.00,315.75,491.38,287.12,245.00,420.00,261.88,232.00,230.25,125.66,
63,323.17,346.83,165.83,244.00,225.17,62.33,140.33,248.67,297.67,269.72,375.50,302.17,189.33,418.33,326.67,382.83,289.67,337.33,401.88,201.38,226.00,196.88,158.25,325.51,369.76,287.00,110.63,358.67,209.54,237.25,233.38,195.21,249.62,55.38,329.88,329.87,508.62,303.88,254.62,434.38,275.12,247.62,242.88,133.66,
64,339.00,363.67,172.33,253.17,227.33,70.83,147.17,261.83,312.67,285.05,385.17,318.17,189.33,435.00,340.83,400.33,304.67,354.50,413.38,206.50,238.12,199.75,163.25,338.28,391.38,302.25,124.66,377.67,226.04,255.50,244.25,207.46,255.25,58.75,349.75,347.00,524.25,317.50,265.38,446.38,290.62,264.88,255.12,141.53,
65,357.00,382.50,180.33,265.00,235.08,81.17,159.83,274.50,326.17,297.72,399.00,338.83,189.50,453.00,357.50,421.00,321.67,374.67,427.50,209.25,246.25,203.75,170.25,350.35,414.88,318.25,140.16,393.80,242.79,269.25,257.00,220.33,266.62,59.62,367.50,365.50,541.00,333.38,278.50,458.00,308.00,281.38,269.75,152.03,
66,377.67,403.00,193.00,278.33,242.25,93.00,174.00,289.67,341.50,311.89,415.00,360.17,192.83,469.00,374.00,443.33,340.17,393.83,442.25,216.62,256.12,208.00,181.12,363.31,439.76,339.75,154.04,408.67,258.41,281.38,270.88,229.08,280.00,63.00,381.25,383.12,560.88,351.88,290.38,473.38,327.88,299.38,284.50,163.03,
67,398.00,426.67,209.33,292.50,247.75,103.17,188.50,308.00,358.17,325.05,430.89,380.00,200.00,482.50,389.83,464.33,357.17,409.83,456.88,223.00,269.88,216.75,194.12,378.44,462.13,361.62,164.66,421.17,274.79,293.12,288.00,239.08,295.00,66.62,397.88,401.37,581.88,374.88,301.88,492.12,348.88,319.50,296.25,174.66,
68,417.33,453.83,226.00,308.83,258.75,111.67,198.50,323.33,380.17,333.55,450.05,395.50,205.67,492.00,404.67,486.17,373.33,427.83,472.50,232.25,284.00,225.25,207.75,395.19,478.26,384.62,176.41,433.80,289.91,306.00,305.12,250.21,308.50,72.75,413.62,419.37,600.38,396.88,316.75,512.75,371.62,337.00,308.12,188.91,
69,436.00,479.00,240.83,326.33,269.41,118.33,207.67,337.17,402.83,343.89,470.05,416.00,210.00,503.33,422.83,513.17,391.17,445.83,489.75,245.25,292.75,233.38,222.75,413.94,494.08,411.12,189.41,449.42,306.16,320.88,319.25,264.08,320.50,84.50,432.25,442.00,619.62,417.38,335.62,531.50,394.62,357.50,320.88,204.91,
