# Cumulative DD25 averaged for Kuskokwim River at Bethel
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
26,50.25,117.00,63.50,21.50,43.83,21.75,15.75,62.50,24.50,10.25,29.00,50.25,53.33,40.75,12.25,12.17,77.00,0.00,90.83,25.88,31.12,7.62,31.50,21.17,10.88,30.50,2.25,0.00,12.75,8.25,1.62,14.88,1.12,12.38,14.50,48.50,23.88,0.00,22.62,127.50,45.62,4.62,18.00,23.00,47.75
27,51.75,126.25,65.75,21.50,49.33,21.75,15.75,67.00,24.50,10.25,38.00,51.75,53.33,49.75,22.00,12.17,82.00,0.00,91.00,25.88,31.12,7.62,31.50,21.17,10.88,30.50,2.25,0.00,12.75,8.25,1.62,14.88,2.25,12.88,14.50,55.62,29.50,0.00,22.88,137.12,45.62,4.62,21.12,23.00,51.12
28,52.25,136.50,65.75,21.50,55.83,21.75,15.75,74.25,24.50,10.25,48.00,51.75,53.33,59.75,29.00,16.17,86.50,0.00,91.00,25.88,31.12,7.62,31.50,21.17,10.88,30.50,2.25,0.00,12.75,8.75,1.62,16.75,2.25,14.00,14.50,60.62,35.50,0.00,22.88,147.12,45.62,9.50,24.00,24.83,56.12
29,62.50,142.75,65.75,21.50,58.33,21.75,15.75,81.25,24.50,10.25,53.75,51.75,53.33,68.25,35.50,20.33,90.75,0.00,91.00,25.88,33.50,7.88,31.50,21.17,10.88,30.50,4.00,0.12,16.12,8.75,1.62,17.25,2.25,16.12,14.50,65.00,41.75,0.00,23.12,156.00,45.62,11.50,28.62,26.50,61.38
30,72.25,149.25,65.75,21.50,63.50,21.75,15.75,88.00,25.50,10.25,57.50,51.75,53.33,81.25,43.50,25.33,93.00,0.00,92.67,25.88,34.12,7.88,31.50,21.17,10.88,30.50,7.00,1.12,24.62,8.75,2.62,18.25,3.00,18.25,14.50,67.88,49.62,0.75,23.38,167.00,45.62,11.50,31.25,26.50,65.25
31,81.75,156.25,65.75,21.50,69.67,21.75,15.75,93.25,25.50,13.50,59.50,53.75,53.33,95.75,59.00,30.50,93.25,0.00,94.50,26.38,34.62,7.88,31.50,23.67,10.88,30.50,7.50,3.62,33.25,8.75,3.38,18.25,3.38,20.62,14.50,71.62,59.12,6.00,28.38,177.38,45.88,11.50,31.38,26.50,65.25
32,92.00,161.50,65.75,23.00,77.00,21.75,15.75,102.75,25.50,13.50,64.00,55.00,53.33,105.50,72.75,32.50,93.25,0.00,98.67,26.50,35.62,9.50,31.50,25.00,10.88,30.50,7.50,7.88,41.25,8.75,4.25,18.25,3.38,20.62,15.50,73.88,67.25,11.62,29.38,186.12,48.88,11.50,32.12,26.50,65.25
33,101.00,165.00,65.75,26.00,85.83,21.75,15.75,110.25,25.50,13.50,76.50,55.00,53.33,114.25,81.50,36.17,93.25,3.50,107.00,27.25,35.62,17.00,31.50,26.17,10.88,30.50,7.50,10.38,50.88,8.75,4.88,22.88,3.38,22.75,18.50,74.62,78.00,15.38,29.38,188.88,53.12,14.38,32.75,27.00,66.12
34,113.75,165.75,67.75,36.00,90.67,21.75,15.75,112.25,25.50,14.50,81.50,55.00,54.33,121.00,91.00,42.50,93.25,11.75,110.83,27.62,37.62,18.25,31.50,28.00,11.88,30.50,8.12,14.88,57.12,8.75,5.06,25.62,3.38,22.75,22.12,76.75,88.12,24.12,29.38,189.88,59.38,14.50,32.75,27.50,69.56
35,120.50,169.25,80.75,44.75,100.83,21.75,15.75,114.25,25.50,17.50,83.25,55.00,57.50,126.50,101.00,49.83,93.25,21.00,114.17,30.62,38.50,19.00,31.62,30.33,15.88,30.50,9.12,22.00,58.75,8.75,6.18,26.62,8.00,22.75,24.12,81.00,96.50,30.25,29.38,191.62,61.25,14.50,32.75,27.50,69.75
