# Cumulative DD25 averaged for Yukon River nr Emmonak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
26,57.25,95.25,42.75,28.75,78.75,14.00,18.75,46.75,2.75,9.00,36.25,32.25,18.00,30.75,9.25,18.75,66.25,0.00,68.67,21.67,40.00,8.75,42.83,13.50,12.12,25.25,2.25,0.00,9.62,8.12,1.62,13.12,1.25,12.75,11.50,36.50,20.25,0.00,17.50,117.38,43.50,4.25,16.00,24.33,31.75
27,61.25,99.25,45.00,28.75,82.75,14.00,18.75,52.75,2.75,9.00,45.75,33.75,18.00,38.50,17.75,21.25,73.00,0.00,68.83,21.67,40.00,8.75,42.83,13.50,12.12,25.25,2.25,0.00,9.62,8.12,1.62,13.12,2.25,13.25,11.50,42.00,24.88,0.00,17.75,125.50,43.50,4.25,18.38,24.33,33.50
28,64.50,107.25,45.00,28.75,86.75,14.00,18.75,60.75,2.75,9.00,49.75,33.75,18.00,48.00,20.50,25.25,79.50,0.00,68.83,21.67,40.00,8.75,42.83,13.50,12.12,25.25,2.25,0.00,9.62,8.62,1.62,14.38,3.12,13.25,11.50,45.38,29.12,0.00,17.75,133.88,43.50,7.62,20.00,26.17,37.25
29,72.25,112.50,45.00,28.75,89.50,14.00,18.75,66.00,2.75,9.00,50.50,33.75,18.00,55.75,20.50,32.50,82.75,0.00,68.83,21.67,40.00,9.00,42.83,13.50,12.12,25.25,4.00,0.25,11.38,8.62,1.62,14.88,3.12,13.25,11.50,47.00,34.12,0.00,18.38,141.75,43.50,8.75,26.00,27.33,39.88
30,81.00,115.75,45.00,28.75,94.00,14.00,18.75,71.25,2.75,9.00,50.50,33.75,18.00,67.25,23.25,35.25,87.00,0.00,70.50,21.67,40.00,9.00,42.83,13.50,12.12,25.25,4.62,2.12,17.50,8.62,2.62,15.88,3.88,13.25,11.50,47.12,39.88,0.00,20.38,150.25,43.50,8.75,29.62,27.33,42.50
31,88.50,120.75,45.00,28.75,101.25,14.00,18.75,76.50,2.75,9.00,50.50,35.75,18.00,80.25,32.50,37.50,87.75,0.00,70.50,21.67,40.00,9.00,42.83,16.17,12.12,25.25,4.62,5.38,24.25,8.62,3.38,15.88,3.88,14.25,11.50,47.88,47.38,0.50,23.25,158.75,43.75,8.75,29.75,27.33,42.75
32,96.75,124.25,45.00,30.25,105.50,14.00,18.75,87.75,2.75,9.00,55.75,36.75,18.00,87.00,42.50,37.50,87.75,0.00,72.17,21.83,40.33,10.62,42.83,18.17,12.12,25.25,4.62,9.00,29.62,8.62,4.25,15.88,3.88,14.25,12.75,49.12,54.00,2.33,23.88,165.50,45.25,8.75,30.50,27.33,42.75
33,108.00,126.25,45.00,33.25,111.25,14.00,18.75,95.00,2.75,9.00,64.75,36.75,18.00,92.50,48.25,39.00,87.75,3.25,77.17,22.83,40.33,16.50,42.83,19.17,12.12,25.25,4.62,11.25,37.38,8.62,4.88,18.00,3.88,15.62,15.75,49.88,62.25,2.67,23.88,168.62,49.38,10.62,31.12,27.83,43.62
34,119.25,127.00,48.00,40.25,114.50,14.00,18.75,97.00,2.75,10.00,69.50,36.75,19.75,96.50,56.50,40.00,87.75,10.00,77.33,23.17,41.83,18.00,42.83,21.17,12.62,25.25,5.25,13.62,41.62,8.62,5.06,18.75,3.88,15.75,18.25,52.00,72.88,3.83,23.88,169.62,54.62,10.75,31.12,27.83,47.75
35,126.25,130.50,58.25,44.50,118.75,14.00,18.75,99.00,2.75,12.00,69.50,36.75,25.25,99.50,64.75,42.50,87.75,15.50,78.17,23.17,43.00,18.75,43.00,23.50,15.62,25.25,6.25,18.38,43.25,8.62,6.18,19.75,7.25,15.75,18.75,55.12,79.12,5.50,23.88,171.38,56.12,10.75,31.12,27.83,50.75
36,128.25,136.25,65.75,45.75,121.75,14.00,18.75,102.50,2.75,16.75,73.50,36.75,31.50,102.25,69.75,46.25,87.75,23.25,80.33,23.17,43.00,22.38,44.33,23.50,25.75,26.25,7.38,28.25,44.50,10.38,7.81,20.38,9.62,15.75,19.25,60.62,86.12,11.00,24.12,173.88,56.12,11.25,31.12,28.17,53.38
37,132.00,138.50,69.00,45.75,121.75,14.00,18.75,108.25,2.75,23.25,85.75,36.75,37.75,104.50,69.75,47.50,87.75,30.75,82.83,23.17,43.00,25.75,45.67,23.50,38.12,29.38,8.25,37.62,44.50,11.38,8.56,22.38,12.38,15.75,20.50,67.62,95.62,15.83,24.12,177.75,56.12,11.25,31.12,28.17,54.50
38,135.75,144.00,74.00,45.75,121.75,14.00,18.75,109.75,2.75,31.50,96.50,36.75,43.25,105.50,69.75,47.75,87.75,41.25,85.00,23.50,43.00,28.88,46.67,23.50,51.00,30.75,11.00,49.62,44.50,11.38,8.56,26.25,17.50,15.75,20.50,73.38,104.62,16.67,24.25,185.12,56.12,11.25,31.12,28.17,55.88
39,141.00,150.00,77.25,45.75,121.75,14.00,18.75,109.75,2.75,35.25,103.50,36.75,45.25,105.50,69.75,51.25,91.25,54.50,91.67,24.83,44.33,31.00,46.67,24.00,63.38,33.12,16.12,62.62,44.50,12.75,8.56,26.25,22.00,15.75,20.50,80.88,115.25,17.17,27.38,193.75,57.25,11.25,31.38,28.17,56.55
40,143.25,159.25,77.25,47.75,121.75,14.00,21.50,109.75,2.75,35.50,110.25,36.75,45.25,105.50,69.75,51.25,97.25,70.75,97.83,27.83,45.83,33.50,46.67,26.67,73.50,35.62,19.00,71.88,44.50,15.12,12.43,26.25,26.88,15.75,20.50,84.50,129.88,19.33,32.50,203.12,61.25,11.25,34.50,28.17,57.42
41,143.25,167.75,77.25,47.75,121.75,14.00,27.00,109.75,7.00,38.25,114.75,36.75,45.25,109.25,69.75,51.25,100.25,84.75,103.67,27.83,51.83,39.12,46.67,30.17,83.25,36.00,20.12,80.38,44.50,18.12,18.31,26.25,29.50,15.75,20.88,88.00,142.38,25.00,39.62,216.25,64.75,13.38,37.88,28.17,58.27
42,143.75,170.50,77.25,47.75,121.75,14.00,36.75,109.75,17.00,43.50,119.75,36.75,45.25,120.75,70.50,51.25,104.25,97.00,112.33,28.17,58.67,43.75,47.00,39.17,95.00,36.00,20.12,88.12,44.50,20.25,24.43,26.25,33.50,15.75,24.62,90.12,154.75,34.50,49.00,227.62,71.50,19.12,47.50,28.53,59.57
43,145.50,171.50,77.25,47.75,121.75,14.00,43.00,109.75,26.75,51.75,126.00,39.25,45.25,132.50,70.50,55.25,109.00,102.50,119.17,28.17,67.83,46.75,49.83,47.33,102.50,36.38,20.12,92.50,46.75,22.88,28.93,26.25,39.75,15.75,31.75,92.38,163.12,41.67,58.62,236.75,78.12,25.50,55.88,29.13,61.41
44,146.75,171.50,77.25,49.25,121.75,14.00,48.25,109.75,35.75,53.75,132.00,47.25,45.75,144.25,70.50,62.00,120.75,102.50,128.33,28.17,76.50,50.50,52.67,55.67,109.50,37.12,20.12,97.12,47.25,23.88,31.18,26.25,46.00,15.75,40.88,95.25,172.00,48.50,63.75,244.88,88.00,30.50,64.00,29.13,63.93
45,146.75,171.50,77.25,55.50,121.75,14.00,54.25,109.75,47.50,59.25,136.25,54.25,50.00,153.75,70.50,72.50,128.25,102.50,139.33,29.00,84.67,55.50,52.83,61.00,119.12,37.62,20.79,103.62,47.62,25.88,34.93,26.25,53.75,15.75,51.25,98.38,179.00,58.00,68.12,251.00,99.12,37.00,72.25,29.13,66.39
46,146.75,172.75,77.25,56.75,121.75,14.00,57.75,109.75,59.25,64.50,141.75,61.00,61.25,162.00,70.50,84.50,128.75,102.50,150.83,32.67,90.50,62.50,53.83,64.17,127.12,38.50,21.63,107.75,47.62,28.75,39.81,27.12,63.62,15.75,63.25,101.75,185.50,64.67,74.50,255.25,113.00,41.88,77.75,29.46,69.19
47,146.75,176.50,77.25,61.25,121.75,14.00,58.25,109.75,68.00,70.50,146.50,67.50,69.00,167.25,71.00,95.25,128.75,104.00,161.17,40.17,93.83,69.00,54.50,68.33,135.75,39.88,21.63,113.38,49.00,31.00,47.81,27.75,70.88,15.75,73.62,107.75,195.88,71.00,81.38,258.25,126.50,49.50,84.12,32.29,72.63
48,146.75,185.00,77.25,67.00,121.75,14.00,62.50,109.75,73.00,74.75,152.75,76.00,74.25,176.50,75.50,106.25,128.75,107.75,168.17,53.17,94.67,71.62,56.33,72.00,145.00,40.00,21.63,120.38,53.12,33.50,62.43,29.88,80.25,15.88,86.50,118.12,209.50,76.00,91.25,262.25,141.25,62.12,91.62,33.29,77.17
