# Cumulative DD25 averaged for Yukon River at Marshall
# Sites: NOME_AP, BETHEL_AP, CHICKEN, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
26,48.33,97.17,47.17,19.17,66.17,16.17,12.50,52.83,17.33,6.83,30.83,34.67,30.17,29.00,8.17,14.50,60.33,0.00,80.38,20.75,35.50,8.62,37.38,18.75,14.25,30.75,2.25,0.00,11.50,8.00,1.62,17.50,1.12,16.62,5.38,33.50,19.38,0.00,22.75,101.75,40.00,3.75,16.88,22.25
27,51.00,103.33,48.67,19.17,71.67,16.17,12.50,58.00,17.33,6.83,39.83,35.67,30.17,36.33,17.00,16.17,65.17,0.00,80.50,20.75,35.50,8.62,37.38,18.75,14.25,30.75,2.25,0.00,11.50,8.00,1.62,17.50,2.25,17.12,5.38,38.00,22.88,0.00,23.00,109.50,40.00,3.75,19.12,22.25
28,53.17,111.50,48.67,19.17,76.83,16.17,12.50,65.83,17.33,6.83,46.50,35.67,30.17,45.83,22.50,19.50,70.00,0.00,80.50,20.75,35.50,8.62,37.38,18.75,14.25,30.75,2.25,0.00,11.50,8.50,1.62,18.12,3.12,18.25,5.38,41.75,26.88,0.00,23.00,117.75,40.00,9.00,22.00,23.62
29,62.50,117.00,48.67,19.17,79.33,16.17,12.50,72.50,17.33,6.83,50.33,35.67,30.17,53.67,26.83,26.50,72.83,0.00,80.50,20.75,35.62,8.88,37.38,18.75,14.25,30.75,4.00,0.25,14.88,8.50,1.62,18.62,3.12,20.38,5.38,44.50,31.50,0.00,23.62,125.50,40.00,9.88,28.00,25.25
30,71.67,121.33,48.67,19.17,82.83,16.17,12.50,78.33,18.00,6.83,52.83,35.67,30.17,66.17,32.83,29.83,75.83,0.00,81.75,20.75,35.62,8.88,37.38,18.75,14.25,30.75,6.62,2.12,22.00,8.50,2.00,19.62,3.88,22.50,5.38,47.25,37.62,0.75,25.62,132.38,40.00,9.88,31.62,25.25
31,80.67,127.00,48.67,19.17,89.67,16.17,12.50,83.17,18.00,9.00,54.17,37.00,30.17,79.83,44.83,34.83,76.33,0.00,83.12,21.25,35.62,8.88,37.38,20.75,14.25,30.75,7.12,5.88,28.00,8.50,2.00,19.62,4.25,23.88,5.38,50.25,47.25,3.88,29.50,139.25,40.00,9.88,31.75,25.25
32,90.00,130.50,48.67,20.17,95.17,16.17,12.50,92.83,18.00,9.00,58.17,37.83,30.17,87.50,57.67,35.67,76.33,0.00,86.25,21.38,36.62,10.50,37.38,22.25,14.25,30.75,7.12,11.12,33.12,8.50,2.00,19.62,4.25,23.88,6.62,51.50,55.75,7.00,30.50,147.12,41.50,9.88,32.50,25.25
33,99.83,132.83,48.67,22.17,102.00,16.17,12.50,99.00,18.00,9.00,69.17,37.83,30.17,93.33,65.33,40.33,76.33,2.50,94.38,22.12,36.62,15.88,37.38,23.12,14.25,30.75,7.12,13.75,39.75,8.50,2.62,23.75,4.25,26.12,9.62,52.00,63.38,9.12,30.50,150.75,45.00,12.75,33.12,25.62
34,111.67,133.33,50.67,30.17,104.83,16.17,12.50,100.33,18.00,9.67,75.00,37.83,31.33,97.83,73.17,44.67,76.33,9.50,97.25,22.38,38.62,16.62,37.38,24.62,15.25,30.75,7.12,17.50,42.00,8.50,2.75,25.75,4.25,26.25,13.25,54.00,72.12,13.75,30.50,151.38,51.38,12.75,33.12,26.00
35,117.83,135.67,62.50,36.00,110.33,16.17,12.50,101.67,18.00,11.67,76.17,37.83,36.50,101.50,81.33,50.33,76.33,17.50,99.75,24.25,39.50,16.88,37.50,26.38,17.38,30.75,8.12,21.88,42.88,8.50,2.75,25.75,5.50,26.25,14.75,58.50,79.25,17.00,30.50,152.25,51.75,12.75,33.12,26.00
36,119.17,139.50,72.33,39.83,114.33,16.17,12.50,104.67,18.00,14.83,83.83,37.83,42.67,104.67,87.17,55.83,76.33,27.50,104.38,24.25,39.50,20.25,39.00,26.38,28.75,31.12,9.25,31.50,44.12,10.25,2.75,26.38,6.00,26.25,14.75,64.62,86.88,24.25,30.88,153.50,51.75,13.25,33.12,26.25
37,124.00,142.00,78.33,40.33,114.33,16.17,12.50,109.50,18.00,22.33,97.00,39.17,48.33,107.83,87.17,60.00,76.33,37.83,107.62,24.25,39.50,24.25,40.00,26.38,40.12,32.62,10.12,41.62,44.12,12.62,2.88,29.38,8.00,26.25,16.00,71.38,97.00,29.88,30.88,158.12,51.75,13.25,33.12,26.25
