# Cumulative DD25 averaged for Koyukuk River at Allakaket
# Sites: BETTLES_AP, CHICKEN, NENANA_MUN_AP, KENAI_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36,125.50,188.75,74.00,181.25,127.33,29.75,46.75,126.75,97.50,53.00,110.50,51.25,82.17,110.50,138.50,61.17,76.75,43.25,132.83,46.88,50.25,48.38,11.38,42.67,40.00,62.00,35.25,20.38,89.88,22.88,68.68,53.12,23.62,21.00,38.75,101.50,137.38,40.25,26.38,185.75,44.50,9.00,59.38,23.33,
37,131.00,191.75,82.25,186.25,130.00,32.75,46.75,133.00,97.50,55.25,118.00,55.25,83.33,115.75,143.75,63.77,77.50,58.00,140.67,46.88,51.88,53.00,12.75,46.33,52.75,68.75,38.75,29.00,89.88,24.88,70.18,55.75,27.12,21.00,42.25,110.38,146.00,43.50,28.38,191.88,44.50,9.00,61.62,23.33,
38,139.50,195.75,86.75,191.75,132.33,33.25,46.75,138.50,97.50,62.50,126.00,59.00,86.00,122.25,148.75,67.60,79.75,69.75,149.00,46.88,53.00,58.25,12.75,50.50,65.12,73.00,41.00,39.12,89.88,25.12,70.68,60.88,31.12,21.00,42.25,118.00,152.88,45.50,31.00,201.00,45.62,9.00,62.62,23.33,
39,145.75,200.75,90.75,196.75,137.00,33.25,46.75,144.75,102.50,69.25,132.00,64.50,89.17,130.50,154.75,74.60,84.00,82.00,157.33,47.38,53.88,62.00,14.00,54.33,76.75,78.62,45.38,50.38,89.88,27.62,71.68,64.25,35.00,21.00,42.25,127.75,163.50,48.12,35.75,210.25,45.62,9.00,62.62,23.33,
40,152.25,205.50,92.50,200.25,139.33,33.25,46.75,151.75,106.50,77.75,139.00,69.75,89.67,136.00,163.00,80.94,88.25,95.25,166.67,49.00,55.38,69.88,14.00,58.00,87.12,84.50,51.00,59.00,89.88,32.12,74.68,66.75,38.38,21.00,42.25,135.62,178.62,52.12,42.00,220.38,46.88,9.00,62.88,23.33,
41,160.00,209.00,94.50,202.75,141.00,33.25,47.75,156.00,113.00,87.75,144.75,74.00,89.67,143.75,169.75,91.77,92.50,108.00,175.50,51.50,58.12,82.12,14.00,64.67,96.00,87.62,52.75,66.25,89.88,37.38,82.18,69.50,42.88,21.00,42.38,141.88,190.50,58.88,50.88,233.75,49.75,9.38,63.62,24.00,
42,165.75,212.25,94.75,208.50,145.99,33.25,50.25,158.00,123.00,95.75,152.00,77.25,89.67,153.00,174.25,102.44,96.75,115.00,184.83,54.62,62.62,90.50,14.00,71.00,106.00,90.25,54.62,76.12,89.88,41.88,91.68,73.00,49.75,21.00,44.12,145.62,202.50,66.88,60.62,246.25,57.75,14.62,69.12,26.50,
43,171.50,216.50,94.75,214.50,150.83,33.25,52.75,161.25,136.75,109.25,158.25,78.75,89.67,162.50,179.25,114.27,101.75,122.00,192.00,56.88,68.12,96.50,14.00,80.00,113.00,92.88,57.62,83.38,89.88,45.75,99.06,75.50,58.12,21.00,50.75,148.88,210.88,76.38,69.88,258.50,67.62,21.50,75.75,28.17,
44,177.00,219.25,94.75,221.25,155.99,33.25,57.25,167.00,148.25,124.00,166.00,89.75,91.33,174.50,184.75,125.27,107.00,127.50,204.33,62.75,76.38,102.25,15.00,88.00,118.12,95.50,59.12,90.50,92.62,50.25,103.68,78.75,67.12,21.00,59.62,152.50,217.75,84.88,75.88,270.50,76.75,29.38,78.62,30.17,
45,181.50,223.00,98.50,233.00,158.66,37.50,63.00,171.75,161.50,136.25,173.50,102.50,100.00,186.75,184.75,138.94,116.50,133.25,218.50,70.00,83.12,108.00,16.00,93.00,124.88,98.25,60.12,101.00,94.50,55.62,109.56,82.38,79.12,21.00,69.12,159.88,225.00,90.50,79.00,279.62,88.62,40.50,82.50,33.67,
