# Cumulative DD25 averaged for Kuskokwim River at Tuluksak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
30,71.67,121.33,48.67,19.17,82.83,16.17,12.50,78.33,18.00,6.83,52.83,35.67,30.17,66.17,32.83,29.83,75.83,0.00,105.50,26.00,43.33,9.00,49.83,25.00,14.25,32.12,4.88,2.12,25.62,9.38,2.25,20.88,3.25,22.50,14.88,67.88,39.75,1.00,26.12,163.75,54.12,12.50,34.12,33.67,69.62
31,80.67,127.00,48.67,19.17,89.67,16.17,12.50,83.17,18.00,9.00,54.17,37.00,30.17,79.83,44.83,34.83,76.33,0.00,107.33,26.67,43.33,9.00,49.83,27.67,14.25,32.12,5.38,5.88,35.62,9.38,3.00,20.88,3.62,24.88,14.88,71.62,45.75,5.17,31.12,173.00,54.38,12.50,34.25,33.67,69.88
32,90.00,130.50,48.67,20.17,95.17,16.17,12.50,92.83,18.00,9.00,58.17,37.83,30.17,87.50,57.67,35.67,76.33,0.00,111.50,26.67,44.33,10.62,49.83,29.67,14.25,32.12,5.38,11.12,41.75,9.38,3.88,20.88,3.62,24.88,16.12,73.62,50.50,7.50,32.12,180.25,57.38,12.50,35.00,33.67,69.88
33,99.83,132.83,48.67,22.17,102.00,16.17,12.50,99.00,18.00,9.00,69.17,37.83,30.17,93.33,65.33,40.33,76.33,2.50,122.33,27.67,44.33,19.12,49.83,30.83,14.25,32.12,5.38,13.75,50.75,9.38,3.88,25.50,3.62,27.12,19.12,74.00,59.38,10.33,32.12,183.88,62.50,15.38,35.62,34.17,70.75
34,111.67,133.33,50.67,30.17,104.83,16.17,12.50,100.33,18.00,9.67,75.00,37.83,31.33,97.83,73.17,44.67,76.33,9.50,126.17,28.00,47.00,20.88,49.83,32.83,14.75,32.12,6.00,18.25,56.75,9.38,3.93,28.25,3.62,27.25,22.75,76.00,70.50,16.50,32.12,184.88,70.62,15.50,35.62,34.67,76.50
35,117.83,135.67,62.50,36.00,110.33,16.17,12.50,101.67,18.00,11.67,76.17,37.83,36.50,101.50,81.33,50.33,76.33,17.50,128.67,30.50,48.17,21.62,50.00,35.17,18.88,32.12,6.00,25.38,57.50,9.38,5.06,29.25,8.25,27.25,24.75,80.38,77.00,20.17,32.12,186.62,72.50,15.50,35.62,34.67,80.50
36,119.17,139.50,72.33,39.83,114.33,16.17,12.50,104.67,18.00,14.83,83.83,37.83,42.67,104.67,87.17,55.83,76.33,27.50,132.67,30.50,48.17,26.62,52.00,35.17,32.75,33.50,6.00,38.75,57.50,11.12,6.68,29.25,10.12,27.25,25.25,88.12,84.38,28.00,32.75,189.25,72.50,16.00,35.62,34.67,83.12
37,124.00,142.00,78.33,40.33,114.33,16.17,12.50,109.50,18.00,22.33,97.00,39.17,48.33,107.83,87.17,60.00,76.33,37.83,134.50,30.50,48.17,31.88,53.33,35.17,47.75,36.12,6.00,52.62,57.50,13.50,7.31,32.25,10.88,27.25,25.25,97.75,94.75,35.50,32.75,195.62,72.50,16.00,35.62,34.67,85.75
38,129.50,147.00,85.17,40.33,114.33,16.17,12.50,111.17,18.00,32.17,107.00,41.17,54.67,110.00,87.17,61.83,76.33,49.33,136.83,30.83,48.17,36.50,54.33,35.17,62.00,38.62,9.62,66.25,57.50,14.75,7.31,38.88,13.62,27.25,25.25,104.00,104.62,38.50,34.38,204.00,72.50,16.00,35.62,34.67,86.62
39,135.00,153.67,89.50,40.33,114.33,16.17,12.50,111.17,18.00,37.00,115.00,41.50,58.17,112.00,87.17,67.50,78.67,62.17,146.17,32.17,49.50,39.75,54.33,35.67,77.12,41.38,17.00,81.25,57.50,17.38,7.31,39.62,18.25,27.25,25.25,113.62,116.00,41.83,39.12,212.75,73.62,16.00,35.88,34.67,87.76
