# HAINES_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1987, 1991, 1993, 1994, 1995, 1997, 1998
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1988,1989,1990,1992,1996,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
49,634.00,622.00,472.50,590.00,780.00,518.00,429.00,715.50,634.00,712.78,644.59,589.35,486.00,576.00,561.00,308.00,499.00,598.00,707.00,474.50,327.50,482.50,343.00,607.00,439.50,526.00,377.50,485.24,681.30,809.50,485.50,513.50,737.50,459.50,434.00,603.57,478.50,
50,650.00,639.00,488.00,606.50,804.50,535.50,441.50,739.50,661.50,732.28,664.59,610.35,502.50,592.00,579.50,325.50,517.00,616.00,730.00,490.00,345.50,500.50,358.00,625.50,452.50,548.50,389.00,507.74,700.30,832.00,505.00,527.50,755.00,482.00,455.50,621.07,501.50,
51,665.50,656.00,503.50,625.50,823.50,550.00,457.00,763.50,680.00,750.78,683.09,633.35,521.00,611.00,598.00,340.50,533.00,631.50,753.50,506.50,368.00,521.00,375.00,645.50,467.00,568.00,400.50,527.24,714.80,856.50,525.00,540.00,771.50,502.50,477.00,640.07,525.00,
52,681.00,677.50,518.50,647.00,841.00,569.50,471.50,790.00,701.50,769.28,702.09,656.35,535.00,624.50,616.50,354.50,556.00,646.00,773.00,522.50,390.50,544.50,391.50,664.50,482.00,587.00,410.00,547.74,729.80,884.00,547.50,557.00,787.50,522.00,498.00,657.07,544.50,
53,699.00,697.00,531.50,668.00,858.50,589.50,483.50,814.00,725.50,784.78,721.09,678.85,551.50,639.00,635.50,367.50,583.00,663.00,801.00,538.50,408.50,568.00,405.00,683.50,499.00,604.50,421.50,565.24,750.30,907.50,570.50,572.50,803.00,545.00,521.50,675.57,565.50,
54,716.50,718.00,543.50,695.50,872.00,609.00,499.50,835.50,744.00,803.78,745.59,701.35,564.00,655.50,652.50,380.50,612.50,680.50,832.00,555.00,427.00,585.00,423.50,704.00,517.50,624.00,438.00,583.24,771.80,928.00,590.50,591.00,815.00,566.00,546.00,698.57,583.50,
55,738.00,737.00,559.00,726.00,883.50,625.00,518.00,857.50,768.50,823.28,769.59,723.85,579.50,676.00,672.50,396.50,644.00,697.00,865.00,570.50,446.00,604.00,438.00,725.00,539.00,645.00,449.50,599.24,793.30,951.50,614.00,609.50,828.00,590.00,572.00,723.07,600.50,
56,759.00,756.00,575.50,755.50,897.50,641.00,534.00,876.00,798.00,843.78,789.59,743.70,594.50,695.00,691.00,410.00,677.00,714.00,897.00,588.50,462.50,624.00,453.50,749.50,556.00,666.00,457.50,617.74,816.80,973.00,638.50,629.00,850.00,608.50,592.00,742.57,615.00,
57,776.50,775.50,591.50,784.50,914.50,660.50,551.50,894.00,825.50,867.78,808.59,763.20,610.00,713.50,709.50,425.00,708.50,730.50,930.00,607.00,478.50,645.00,472.50,777.50,575.00,687.00,466.50,638.74,834.80,996.50,661.50,649.50,873.00,628.00,608.50,760.07,630.00,
58,795.50,796.00,609.00,807.50,935.50,676.50,571.50,914.50,853.00,892.28,830.59,779.20,628.50,734.00,726.50,441.50,737.00,750.00,960.50,620.50,492.00,661.00,496.00,801.00,595.50,708.50,472.50,661.74,849.80,1015.50,681.50,666.50,893.00,649.50,625.00,781.07,650.50,
