,hucmask,t2m,year,month,objid,huc6
281,1,283.14935,2002,6,1,190201
282,1,286.00668,2002,7,1,190201
283,1,283.3935,2002,8,1,190201
284,1,278.9739,2002,9,1,190201
285,1,273.24368,2002,10,1,190201
286,1,268.4094,2002,11,1,190201
287,1,260.13315,2002,12,1,190201
288,1,258.1561,2003,1,1,190201
289,1,265.26892,2003,2,1,190201
290,1,262.41077,2003,3,1,190201
291,1,271.404,2003,4,1,190201
292,1,277.63828,2003,5,1,190201
293,1,283.756,2003,6,1,190201
294,1,287.17374,2003,7,1,190201
295,1,283.74814,2003,8,1,190201
296,1,276.60995,2003,9,1,190201
297,1,272.06897,2003,10,1,190201
298,1,259.8868,2003,11,1,190201
299,1,256.39307,2003,12,1,190201
300,1,248.85698,2004,1,1,190201
301,1,261.7547,2004,2,1,190201
302,1,262.58218,2004,3,1,190201
303,1,272.61237,2004,4,1,190201
304,1,281.45248,2004,5,1,190201
305,1,287.58038,2004,6,1,190201
306,1,287.3367,2004,7,1,190201
307,1,287.13943,2004,8,1,190201
308,1,275.65326,2004,9,1,190201
309,1,270.7227,2004,10,1,190201
310,1,263.28668,2004,11,1,190201
311,1,258.4683,2004,12,1,190201
312,1,254.17427,2005,1,1,190201
313,1,257.54645,2005,2,1,190201
314,1,267.49957,2005,3,1,190201
315,1,273.57767,2005,4,1,190201
316,1,281.47162,2005,5,1,190201
317,1,284.90625,2005,6,1,190201
318,1,285.68225,2005,7,1,190201
319,1,284.9994,2005,8,1,190201
320,1,279.16638,2005,9,1,190201
321,1,270.30917,2005,10,1,190201
322,1,258.2161,2005,11,1,190201
323,1,260.46335,2005,12,1,190201
324,1,251.50609,2006,1,1,190201
325,1,258.08047,2006,2,1,190201
326,1,258.7051,2006,3,1,190201
327,1,270.68173,2006,4,1,190201
328,1,278.7278,2006,5,1,190201
329,1,283.0654,2006,6,1,190201
330,1,285.9458,2006,7,1,190201
331,1,282.28168,2006,8,1,190201
332,1,279.22745,2006,9,1,190201
333,1,271.44937,2006,10,1,190201
334,1,252.2527,2006,11,1,190201
335,1,257.65845,2006,12,1,190201
336,1,257.10782,2007,1,1,190201
337,1,254.23906,2007,2,1,190201
338,1,254.63809,2007,3,1,190201
339,1,272.42245,2007,4,1,190201
340,1,279.27597,2007,5,1,190201
341,1,285.35303,2007,6,1,190201
342,1,286.14478,2007,7,1,190201
343,1,285.0893,2007,8,1,190201
344,1,278.64853,2007,9,1,190201
345,1,269.0959,2007,10,1,190201
346,1,264.4257,2007,11,1,190201
347,1,256.80573,2007,12,1,190201
348,1,253.88623,2008,1,1,190201
349,1,254.84209,2008,2,1,190201
350,1,264.4799,2008,3,1,190201
351,1,270.45682,2008,4,1,190201
352,1,278.06927,2008,5,1,190201
353,1,282.62384,2008,6,1,190201
354,1,283.42972,2008,7,1,190201
355,1,282.1445,2008,8,1,190201
356,1,278.06247,2008,9,1,190201
357,1,266.60034,2008,10,1,190201
358,1,260.0439,2008,11,1,190201
359,1,253.2676,2008,12,1,190201
360,1,253.00554,2009,1,1,190201
361,1,255.86256,2009,2,1,190201
362,1,259.9609,2009,3,1,190201
363,1,270.88672,2009,4,1,190201
364,1,279.69357,2009,5,1,190201
365,1,283.78122,2009,6,1,190201
366,1,288.01276,2009,7,1,190201
367,1,283.09082,2009,8,1,190201
368,1,278.81818,2009,9,1,190201
369,1,272.2839,2009,10,1,190201
370,1,259.10428,2009,11,1,190201
371,1,259.02667,2009,12,1,190201
372,1,254.5787,2010,1,1,190201
373,1,261.37946,2010,2,1,190201
374,1,263.95187,2010,3,1,190201
375,1,271.6278,2010,4,1,190201
376,1,280.18094,2010,5,1,190201
377,1,282.54803,2010,6,1,190201
378,1,284.26404,2010,7,1,190201
379,1,284.39786,2010,8,1,190201
380,1,278.32687,2010,9,1,190201
381,1,270.14252,2010,10,1,190201
382,1,263.27875,2010,11,1,190201
383,1,250.36511,2010,12,1,190201
384,1,256.0907,2011,1,1,190201
385,1,254.96829,2011,2,1,190201
386,1,258.67838,2011,3,1,190201
387,1,271.55127,2011,4,1,190201
388,1,279.14157,2011,5,1,190201
389,1,283.64972,2011,6,1,190201
390,1,285.23935,2011,7,1,190201
391,1,282.6041,2011,8,1,190201
392,1,278.57526,2011,9,1,190201
393,1,270.5045,2011,10,1,190201
394,1,255.13147,2011,11,1,190201
395,1,261.56674,2011,12,1,190201
396,1,248.89427,2012,1,1,190201
397,1,261.7911,2012,2,1,190201
398,1,259.61023,2012,3,1,190201
399,1,273.4564,2012,4,1,190201
400,1,277.11835,2012,5,1,190201
401,1,283.08673,2012,6,1,190201
402,1,284.09665,2012,7,1,190201
403,1,283.2088,2012,8,1,190201
404,1,278.34506,2012,9,1,190201
405,1,267.49945,2012,10,1,190201
406,1,254.10155,2012,11,1,190201
407,1,250.40399,2012,12,1,190201
408,1,258.63245,2013,1,1,190201
409,1,260.69354,2013,2,1,190201
410,1,260.71484,2013,3,1,190201
411,1,265.60107,2013,4,1,190201
412,1,277.27505,2013,5,1,190201
413,1,287.68845,2013,6,1,190201
414,1,287.5921,2013,7,1,190201
415,1,285.09674,2013,8,1,190201
416,1,278.35547,2013,9,1,190201
417,1,274.42093,2013,10,1,190201
418,1,259.8539,2013,11,1,190201
419,1,254.8554,2013,12,1,190201
420,1,265.2925,2014,1,1,190201
421,1,253.434,2014,2,1,190201
422,1,263.22388,2014,3,1,190201
423,1,272.025,2014,4,1,190201
424,1,280.94342,2014,5,1,190201
425,1,282.50183,2014,6,1,190201
426,1,285.61896,2014,7,1,190201
427,1,284.0529,2014,8,1,190201
428,1,278.723,2014,9,1,190201
429,1,268.90604,2014,10,1,190201
430,1,263.81598,2014,11,1,190201
431,1,261.30008,2014,12,1,190201
432,1,257.21326,2015,1,1,190201
433,1,258.89777,2015,2,1,190201
434,1,264.2408,2015,3,1,190201
435,1,272.6004,2015,4,1,190201
