,hucmask,sd,year,month,objid,huc6
422,1,0.19105178,2014,3,1,190201
423,1,0.06397618,2014,4,1,190201
424,1,0.0011399774,2014,5,1,190201
425,1,0.0003261379,2014,6,1,190201
426,1,0.0,2014,7,1,190201
427,1,0.00022140204,2014,8,1,190201
428,1,0.0016635353,2014,9,1,190201
429,1,0.008697912,2014,10,1,190201
430,1,0.01007427,2014,11,1,190201
431,1,0.038073912,2014,12,1,190201
432,1,0.101382814,2015,1,1,190201
433,1,0.1301605,2015,2,1,190201
434,1,0.13366118,2015,3,1,190201
435,1,0.07935531,2015,4,1,190201
436,1,0.0005325897,2015,5,1,190201
437,1,1.4959597e-05,2015,6,1,190201
438,1,2.9919195e-06,2015,7,1,190201
439,1,0.00025730507,2015,8,1,190201
440,1,0.00394349,2015,9,1,190201
441,1,0.0026629018,2015,10,1,190201
442,1,0.0702894,2015,11,1,190201
443,1,0.09661653,2015,12,1,190201
444,1,0.11181015,2016,1,1,190201
445,1,0.11459876,2016,2,1,190201
446,1,0.12057987,2016,3,1,190201
447,1,0.014996192,2016,4,1,190201
448,1,0.0012895641,2016,5,1,190201
449,1,0.00014362148,2016,6,1,190201
450,1,0.0,2016,7,1,190201
451,1,0.0,2016,8,1,190201
452,1,0.00028723362,2016,9,1,190201
453,1,0.0021542101,2016,10,1,190201
454,1,0.008554337,2016,11,1,190201
455,1,0.03568927,2016,12,1,190201
456,1,0.06463738,2017,1,1,190201
457,1,0.09316367,2017,2,1,190201
458,1,0.09526707,2017,3,1,190201
459,1,0.019349612,2017,4,1,190201
460,1,0.0010562036,2017,5,1,190201
461,1,0.0002842417,2017,6,1,190201
462,1,0.0,2017,7,1,190201
463,1,4.487879e-05,2017,8,1,190201
464,1,0.00091257284,2017,9,1,190201
465,1,0.017835654,2017,10,1,190201
466,1,0.02323032,2017,11,1,190201
467,1,0.10678052,2017,12,1,190201
468,1,0.14920788,2018,1,1,190201
469,1,0.1748528,2018,2,1,190201
470,1,0.19482179,2018,3,1,190201
471,1,0.12961589,2018,4,1,190201
472,1,0.004987754,2018,5,1,190201
473,1,0.0003381056,2018,6,1,190201
474,1,0.0,2018,7,1,190201
475,1,0.00026628084,2018,8,1,190201
476,1,0.00027227402,2018,9,1,190201
477,1,0.00090657966,2018,10,1,190201
478,1,0.031856406,2018,11,1,190201
479,1,0.06213607,2018,12,1,190201
480,1,0.08824172,2019,1,1,190201
481,1,0.10690916,2019,2,1,190201
482,1,0.0636201,2019,3,1,190201
483,1,0.009188587,2019,4,1,190201
484,1,0.001029267,2019,5,1,190201
485,1,5.983839e-06,2019,6,1,190201
486,1,0.0,2019,7,1,190201
487,1,0.0,2019,8,1,190201
488,1,0.00051763013,2019,9,1,190201
489,1,0.0065017305,2019,10,1,190201
490,1,0.043106586,2019,11,1,190201
491,1,0.08400499,2019,12,1,190201
492,1,0.10086823,2020,1,1,190201
493,1,0.13239549,2020,2,1,190201
494,1,0.16179547,2020,3,1,190201
495,1,0.054123335,2020,4,1,190201
496,1,0.0010502104,2020,5,1,190201
497,1,0.00022440331,2020,6,1,190201
498,1,0.0,2020,7,1,190201
499,1,3.8894952e-05,2020,8,1,190201
500,1,0.00047572455,2020,9,1,190201
501,1,0.018113904,2020,10,1,190201
502,1,0.040428657,2020,11,1,190201
503,1,0.071890175,2020,12,1,190201
504,1,0.09128168,2021,1,1,190201
505,1,0.11594816,2021,2,1,190201
506,1,0.14756821,2021,3,1,190201
507,1,0.03328961,2021,4,1,190201
508,1,0.0032792839,2021,5,1,190201
509,1,0.000161573,2021,6,1,190201
510,1,0.0,2021,7,1,190201
511,1,1.7951517e-05,2021,8,1,190201
512,1,0.003021904,2021,9,1,190201
513,1,0.0060259686,2021,10,1,190201
514,1,0.017093668,2021,11,1,190201
515,1,0.06505628,2021,12,1,190201
516,1,0.112716734,2022,1,1,190201
517,1,0.19062695,2022,2,1,190201
518,1,0.24125554,2022,3,1,190201
519,1,0.17497845,2022,4,1,190201
520,1,0.006759064,2022,5,1,190201
521,1,5.983839e-06,2022,6,1,190201
522,1,0.0,2022,7,1,190201
523,1,1.1967678e-05,2022,8,1,190201
524,1,0.001119034,2022,9,1,190201
525,1,0.026790872,2022,10,1,190201
526,1,0.05600831,2022,11,1,190201
527,1,0.117378384,2022,12,1,190201
528,1,0.1485227,2023,1,1,190201
529,1,0.17400008,2023,2,1,190201
530,1,0.18650684,2023,3,1,190201
531,1,0.18567209,2023,4,1,190201
532,1,0.019283818,2023,5,1,190201
533,1,6.283031e-05,2023,6,1,190201
534,1,0.0,2023,7,1,190201
535,1,5.983839e-06,2023,8,1,190201
