Year,AO_DJ,AO_FM,EP-NP_DJ,EP-NP_FM,PNA_DJ,PNA_FM,SOI_DJ,SOI_FM,Nino1+2_DJ,Nino1+2_FM,Nino3_DJ,Nino3_FM,Nino3.4_DJ,Nino3.4_FM,Nino4_DJ,Nino4_FM,ONI_DJ,ONI_FM,ONI_DJ,ONI_FM,NPI_anom_FM,NAO_DJ,NAO_FM,EA_DJ,EA_FM,WP_DJ,WP_FM,EA-WR_DJ,EA-WR_FM,SCA_DJ,SCA_FM,POL_DJ,POL_FM,seaice_ber_anom_JF,seaice_ber_anom_JF
2002,0.029,1.103,-0.110,0.550,-0.220,-0.835,-0.350,0.700,-0.900,0.350,-0.555,-0.050,-0.280,-0.015,0.260,0.355,-0.230,0.060,-0.770,-1.390,3.739,-0.480,0.560,1.150,1.030,0.250,0.800,1.150,-0.085,0.130,-1.000,-0.075,-0.350,169408.158,14396.539
2003,-1.032,0.530,2.070,0.750,1.145,0.160,-1.050,-0.800,0.615,-0.095,0.890,0.315,0.985,0.500,0.705,0.645,1.030,0.505,1.510,1.120,-1.316,0.090,0.095,0.310,0.435,0.330,-0.420,-0.040,1.055,-0.725,0.595,0.955,1.050,-76730.332,753.922
2004,-0.710,-0.605,0.660,-0.890,0.220,0.560,-0.200,1.350,0.005,-0.405,0.595,0.215,0.350,0.175,0.430,0.240,0.360,0.270,-0.575,-0.180,-2.256,0.090,0.035,-0.820,0.765,-0.690,0.365,-0.055,0.750,-0.060,0.490,-0.105,-1.165,-76792.780,-27639.968
2005,0.793,-1.309,0.730,0.010,-0.330,0.225,-0.350,-2.350,0.170,-1.200,0.505,-0.080,0.700,0.405,0.875,0.640,0.665,0.515,-0.395,0.345,-3.156,0.380,-1.415,-1.495,-0.505,-1.485,0.060,-0.315,-0.125,0.290,0.025,-0.575,0.145,-91925.239,7889.127
2006,-1.137,-0.880,-1.070,0.385,0.485,-0.500,1.350,1.550,-0.645,-0.035,-1.015,-0.450,-0.915,-0.690,-0.380,-0.630,-0.845,-0.670,0.220,-0.180,7.271,1.060,-1.385,-0.015,-0.635,0.945,1.275,1.065,0.455,1.035,-0.270,-0.660,-0.180,123158.345,19282.128
2007,2.158,-0.062,-1.140,-0.170,0.910,-0.270,-0.900,0.100,0.685,-0.265,1.005,-0.160,0.920,-0.025,0.785,0.400,0.800,0.050,-0.555,-0.905,1.432,-0.010,0.065,0.695,0.945,1.090,-0.455,0.140,0.360,-0.950,0.535,-0.170,-0.610,-14467.829,-1008.906
2008,0.820,0.762,-1.250,-1.010,-0.610,-0.120,2.800,3.400,-1.070,0.305,-1.560,-0.995,-1.630,-1.440,-1.285,-1.465,-1.620,-1.405,-1.185,-1.360,-0.584,0.090,0.030,-0.895,0.315,0.965,-0.670,-1.050,-0.175,0.420,-0.985,-0.415,0.095,81905.412,14246.895
2009,0.724,-0.276,-0.180,-0.400,-0.790,-1.430,2.100,1.900,-0.310,-0.745,-0.535,-0.640,-0.875,-0.740,-0.880,-0.715,-0.790,-0.700,-1.560,-1.920,9.707,-1.200,-0.095,1.030,-1.030,-0.530,0.965,-1.075,-0.495,0.460,0.010,-0.420,-0.395,153678.904,19594.453
2010,-3.000,-2.349,-0.580,-1.070,0.500,1.080,-1.500,-1.750,0.440,0.095,1.200,0.715,1.630,1.075,1.150,0.815,1.530,1.030,-0.230,0.045,-2.664,-1.800,-2.010,-0.055,1.240,-0.395,1.030,-1.270,0.030,0.915,0.320,0.325,-1.520,83139.232,1332.552
2011,-2.157,1.499,-0.420,-0.075,-0.540,-1.015,4.300,4.350,-0.690,-0.520,-1.380,-0.750,-1.570,-1.020,-1.425,-0.930,-1.505,-1.060,-1.920,-1.370,3.563,0.360,0.295,-0.600,-0.180,-0.880,-0.115,-0.440,0.330,0.145,-0.340,0.165,0.535,1248.666,-3488.588
2012,1.000,0.500,-1.920,-1.460,0.095,0.255,2.950,1.000,-0.430,0.260,-0.745,-0.185,-0.965,-0.640,-1.015,-0.840,-0.950,-0.655,-2.125,-1.505,1.220,0.465,0.480,-0.540,-1.185,-1.080,0.915,-0.670,0.355,1.285,-0.065,-0.995,-0.615,213131.725,24585.520
2013,-1.179,-2.096,0.120,-0.090,-0.630,0.020,-0.550,1.050,-0.765,-0.700,-0.540,-0.340,-0.390,-0.385,-0.010,-0.280,-0.320,-0.385,-1.205,-1.450,3.931,0.340,-1.525,1.040,-0.050,-0.970,1.040,0.050,0.515,-0.325,0.215,-1.345,-0.780,137460.225,8315.205
2014,0.253,0.625,1.110,0.775,-0.285,-1.035,1.250,-0.700,-0.225,-0.460,-0.280,-0.555,-0.330,-0.450,-0.120,0.175,-0.345,-0.365,-0.805,-0.060,0.908,0.730,0.755,0.390,1.575,0.205,-0.900,-0.880,-1.020,0.675,0.315,-0.860,-0.910,-88029.032,-28850.419
2015,0.753,1.440,1.270,1.155,0.255,-0.015,-1.150,-0.400,0.125,-0.220,0.515,0.075,0.610,0.445,0.755,0.885,0.605,0.500,1.685,1.425,1.356,1.780,1.085,2.125,0.580,0.170,-0.480,0.520,-0.325,-0.050,0.010,0.275,1.385,-168498.343,-18456.571
2016,-0.003,0.128,-0.350,0.235,1.205,1.045,-2.250,-1.650,2.000,1.325,2.715,1.750,2.615,1.940,1.295,1.145,2.560,1.860,0.520,1.425,-6.404,-0.010,0.860,0.940,1.280,0.965,0.705,0.510,-1.065,-0.930,-0.385,-1.865,-1.280,-81212.448,1548.067
2017,1.364,0.853,0.390,-0.415,-0.470,-0.040,0.400,0.700,0.680,1.485,-0.275,0.385,-0.465,-0.025,-0.175,-0.060,-0.450,-0.055,0.280,0.045,-0.737,0.390,0.530,-0.825,0.805,0.440,-1.140,-0.500,0.060,-0.155,-0.175,-0.495,0.175,-158659.149,-16176.185
2018,-0.170,-0.414,0.660,0.265,0.220,-1.415,0.800,0.800,-1.270,-1.160,-1.200,-0.915,-0.980,-0.790,-0.480,-0.285,-0.945,-0.775,0.175,-0.405,9.295,0.825,-0.020,0.995,-1.000,0.270,0.620,-1.025,1.315,0.895,-0.190,0.030,-1.085,-278573.120,-25260.322
2019,-0.301,1.633,1.070,1.655,0.490,-0.890,0.800,-1.400,0.940,0.320,0.760,0.615,0.770,0.760,0.835,0.675,0.780,0.715,-0.275,-0.560,2.901,0.600,0.390,-0.430,0.410,0.895,1.485,0.435,-0.350,0.375,-0.665,-0.175,0.810,-148322.942,-609.871
2020,1.415,3.029,-0.600,-0.675,-0.535,-1.240,-0.300,-0.150,-0.205,-0.020,0.230,0.150,0.560,0.425,0.860,0.765,0.525,0.440,-0.705,-1.615,10.062,0.340,0.820,0.470,0.635,0.840,1.375,-0.225,0.255,0.890,-1.785,0.125,0.680,-25275.532,8140.134
2021,-2.110,0.459,-0.710,-1.045,0.435,-0.975,3.100,1.550,-0.740,-0.805,-0.720,-0.710,-1.075,-0.900,-1.025,-0.805,-1.120,-0.885,-0.800,-1.385,8.867,-0.810,0.035,-0.050,0.520,1.465,1.405,-0.690,1.905,0.315,-0.310,-1.050,-1.300,-81134.695,3680.390
2022,0.523,0.924,0.510,-0.275,-1.100,0.210,1.650,2.350,-1.400,-1.170,-1.290,-0.935,-1.000,-0.930,-0.555,-0.530,-0.975,-0.960,-2.555,-1.790,-0.960,0.260,0.930,-0.715,0.835,-0.730,0.095,-0.020,0.245,-0.010,-0.555,-0.775,-1.075,50555.825,16246.699
2023,-1.696,0.940,1.360,-0.040,-0.665,-1.520,2.900,1.300,-0.510,0.985,-0.690,0.100,-0.785,-0.285,-0.750,-0.400,-0.755,-0.290,-1.730,-2.050,8.836,1.325,-0.485,0.255,-0.160,1.600,1.575,-0.265,1.765,0.705,-1.390,-0.795,-0.015,-38033.119,1503.320
2024,-0.216,0.013,0.080,-0.020,0.415,-0.015,0.200,-0.850,1.450,0.825,1.940,1.220,1.925,1.340,1.520,1.125,1.870,1.500,-1.605,-1.440,2.679,-0.270,0.790,2.580,1.700,0.670,1.560,0.550,-0.210,-1.210,-0.550,-0.910,-1.840,-51987.057,-5312.068
