# DUTCH_HARBOR
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1986, 1987, 1988, 1989, 1990, 2001, 2008, 2009, 2018, 2019, 2021
#
d_since_march1,1985,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2002,2003,2004,2005,2006,2007,2010,2011,2012,2013,2014,2015,2016,2017,2020,2022,2023,2024
48,285.41,539.45,399.14,500.81,357.06,393.51,624.00,477.46,597.50,424.94,497.19,577.83,529.72,452.11,525.67,620.62,378.29,310.51,458.00,306.00,448.50,542.00,583.50,589.50,452.50,664.30,484.57,567.21,
49,300.91,552.45,410.64,510.81,370.06,404.51,634.50,490.46,604.50,437.94,508.69,589.38,543.72,468.11,533.17,630.12,386.29,319.01,471.00,313.50,465.00,553.00,592.00,605.50,465.50,681.80,497.07,575.71,
50,312.91,567.95,423.14,522.31,380.06,411.01,652.50,502.46,614.00,452.94,520.74,604.88,561.22,485.11,544.67,641.62,396.29,331.06,486.50,320.00,477.50,564.00,601.00,619.00,477.00,697.80,509.07,588.21,
51,325.91,582.95,436.14,538.81,389.06,416.01,669.00,508.96,627.50,467.44,524.24,617.38,576.22,500.11,559.17,654.12,406.29,342.06,502.00,329.00,492.50,580.00,610.00,634.50,488.50,715.80,523.07,604.71,
52,335.41,596.95,450.64,554.31,396.56,424.51,681.00,514.46,641.50,482.94,526.74,628.88,590.72,514.61,571.67,666.62,416.79,352.06,513.50,341.00,506.50,598.00,620.50,650.00,503.00,735.30,536.57,619.71,
53,341.91,607.45,464.14,568.81,402.06,441.01,691.50,524.46,657.00,497.44,534.24,641.88,607.72,531.11,583.17,674.62,428.79,363.06,522.50,356.00,520.50,616.00,635.00,667.50,518.00,749.30,550.57,635.21,
54,346.41,617.95,477.14,581.81,408.06,456.51,706.50,535.46,674.00,506.94,541.24,655.38,625.22,547.61,595.17,679.62,443.29,374.06,527.50,370.00,536.00,631.50,650.50,682.00,535.00,764.80,567.57,649.71,
55,358.93,630.95,489.14,591.81,414.06,469.51,722.00,545.46,691.00,518.94,553.76,669.88,642.72,559.11,610.17,685.62,459.29,387.06,535.50,378.00,551.50,646.50,663.00,700.00,551.50,781.30,586.07,664.21,
56,366.43,644.45,502.64,601.31,423.56,486.01,733.50,557.96,709.00,532.94,561.76,684.88,660.22,573.61,629.67,692.12,474.29,398.06,543.50,391.00,563.50,663.50,675.50,717.00,568.00,796.30,602.57,675.71,
57,378.43,655.95,514.14,613.81,432.56,499.51,742.50,572.46,727.50,546.94,574.76,701.38,677.72,588.11,650.17,698.12,488.29,404.06,558.00,405.50,576.00,677.50,692.50,736.00,585.50,809.80,619.57,687.21,
58,391.93,669.95,525.64,626.81,440.06,517.01,751.00,586.96,739.00,559.44,585.76,715.02,696.72,604.61,668.67,705.62,498.29,408.06,575.00,419.50,587.50,692.50,707.50,754.00,602.00,823.44,633.07,699.71,
59,403.43,682.95,535.14,643.81,448.56,533.01,765.50,602.46,752.00,576.94,602.76,734.52,712.22,620.11,687.67,714.12,512.79,411.56,589.00,431.50,599.50,709.50,724.50,773.00,619.50,840.44,647.07,715.71,
60,413.43,695.45,546.14,660.31,459.06,551.51,780.50,616.96,770.50,603.94,614.26,755.52,730.22,630.61,703.67,722.12,526.79,416.56,604.50,444.50,615.00,727.00,740.50,791.50,637.00,853.94,662.57,731.71,
61,427.93,709.45,556.14,675.31,471.56,568.51,798.50,628.96,786.50,622.94,627.76,773.02,751.72,646.11,718.67,732.62,541.29,425.56,621.50,454.50,624.50,745.00,756.00,807.50,654.50,866.44,675.07,744.71,
