"ID","ALT_ID","STATION NAME","STATE","LATITUDE","LONGITUDE","ELEV(FT)","DOMAINS"
"ACRA2","","ANTLER CREEK","AK","63.8096","-148.9647","1818","ak"
"ADKA2","","ADAK ISLAND","AK","51.8633","-176.6317","22","ak oc"
"AGLA2","","ANGEL CREEK","AK","65.02","-146.228","1100","ak"
"AHP","507557","PORT ALEXANDER","AK","56.2472","-134.6447","12","ak oc"
"AJKA2","","JUNEAU WFO","AK","58.4003","-134.5694","106","ak"
"ALHA2","","ALCAN HWY MI-1244","AK","62.8333","-141.4094","1900","ak"
"ALSA2","","PORT ALSWORTH","AK","60.1962","-154.32","321","ak"
"AMAA2","","EAST AMATULI LT","AK","58.915","-151.9516","109","ak oc"
"ANTA2","","ANCHORAGE","AK","61.2376","-149.8901","23","ak oc"
"ANXA2","","ANNEX CREEK POWERHOU","AK","58.3193","-134.0988","92","ak"
"ARCA2","","ARCTIC VALLEY","AK","61.2453","-149.5189","3597","ak"
"ASIA2","","ASIK","AK","67.4749","-162.2664","1329","ak"
"ATGA2","","ATIGUN PASS","AK","68.1298","-149.4781","4800","ak"
"AUGA2","","AUGUSTINE ISLAND","AK","59.3783","-153.3483","35","ak oc"
"AUKA2","","AUKE BAY","AK","58.3814","-134.645","42","ak"
"AWRA2","","HELMUT MTN.","AK","67.7461","-144.1708","2895","ak"
"BDVA2","","BROADVIEW","AK","60.4935","-149.7567","631","ak"
"BENA2","","BEN CREEK","AK","65.2964","-143.0723","1850","ak"
"BGLA2","","BERING GLACIER","AK","60.1186","-143.2833","75","ak oc"
"BGQA2","","BIG LAKE","AK","61.5183","-149.9084","175","ak"
"BIRA2","","BIRCH CREEK","AK","65.5846","-144.3635","850","ak"
"BKCA2","","BLACK RAPIDS","AK","63.5209","-145.8408","2430","ak"
"BKLA2","","BUCKLAND UPLANDS","AK","65.9062","-160.8697","400","ak"
"BKSA2","","BLAIR LAKES","AK","64.3858","-147.6952","790","ak"
"BLAA2","","YANTARNI BAY","AK","56.9144","-157.0333","96","ak"
"BLCA2","","BLACK CAPE","AK","58.4067","-152.8863","75","ak oc"
"BLIA2","","BLIGH REEF LIGHT","AK","60.84","-146.88","54","ak"
"BLLA2","","FWSRX1","AK","63.3875","-143.7156","1630","ak"
"BLSA2","","BENTALIT","AK","61.9358","-150.9858","150","ak"
"BLTA2","","BARLET COVE","AK","58.455","-135.8882","16","ak"
"BOXA2","","BOX RIVER","AK","65.2962","-158.9028","1150","ak"
"BQPA2","","BLAQUIERE POINT","AK","56.58","-132.54","66","ak oc"
"BTAA2","","BOLIO","AK","63.8717","-145.852","1647","ak"
"BTLA2","","BOOTH LAKE","AK","57.2678","-154.565","171","ak"
"C6840","","SOUTH FORK EAGLE RIV","AK","61.2272","-149.44","2165","ak"
