# All climatologies for cumulative degree days > 20, 1991-2020
# Cumulative degree days starting March 1 from ACIS
#
d_since_march1,GULKANA_AIRPORT,TANANA_AIRPORT,KETCHIKAN_AIRPORT,COLLEGE_OBSERVATORY,AUKE_BAY,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,SKAGWAY_AIRPORT,EAGLE,BIG_DELTA_AIRPORT,BARROW_AIRPORT,KOTZEBUE_AIRPORT,JUNEAU_AIRPORT,KODIAK_AIRPORT,ILIAMNA_AIRPORT,HAINES_AIRPORT,KING_SALMON_AIRPORT,CORDOVA_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,COLD_BAY_AIRPORT,TALKEETNA_AIRPORT,SAINT_PAUL_ISLAND_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,YAKUTAT_AIRPORT,ALYESKA,NENANA_MUN_AP,HOMER_AIRPORT,NORTHWAY_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,DUTCH_HARBOR,MCKINLEY_PARK
32,28.01,0.00,590.57,17.69,457.01,2.50,199.70,443.25,1.05,17.20,0.00,0.00,435.76,417.90,102.47,400.77,112.08,361.28,584.44,6.75,332.18,139.39,168.52,141.33,7.96,0.00,0.00,205.61,384.79,261.13,1.62,310.35,1.41,0.00,6.23,465.66,5.65
33,32.39,0.00,610.05,21.34,474.15,6.85,213.20,461.10,1.05,22.57,0.00,0.00,452.14,434.70,112.88,417.03,123.46,376.36,604.12,11.37,345.66,150.41,176.54,152.16,11.01,0.00,0.00,218.18,399.47,274.58,4.14,325.14,1.44,0.00,9.41,480.89,6.84
34,38.04,0.00,630.27,26.71,491.79,10.38,227.61,478.89,1.05,29.01,0.00,0.00,469.29,451.22,123.83,433.40,135.46,391.91,624.65,16.04,359.46,162.91,183.97,164.26,17.22,0.00,0.00,232.03,414.44,289.12,9.37,340.36,3.14,0.00,15.54,497.14,8.50
35,45.73,1.02,651.62,34.63,510.41,12.56,242.39,496.66,4.19,37.64,0.00,0.00,487.07,468.44,135.04,449.70,146.89,408.48,645.97,20.79,372.53,176.89,190.31,178.08,24.51,0.00,0.00,246.41,430.57,304.17,15.13,356.15,5.99,0.00,22.29,512.78,12.45
36,53.73,2.57,673.55,43.03,529.03,14.79,256.74,515.83,9.08,45.26,0.00,0.00,505.44,484.57,144.31,467.70,157.39,424.63,667.17,24.86,385.71,189.92,198.40,190.65,33.03,0.00,0.00,260.16,447.07,319.55,20.07,370.93,9.21,1.95,29.79,527.83,17.61
37,61.59,4.47,695.52,51.12,548.56,18.44,271.44,535.85,14.19,52.32,0.00,0.00,525.07,500.40,153.79,486.81,167.96,440.70,688.21,29.94,398.24,202.37,205.69,203.18,40.63,0.00,0.00,274.06,463.85,334.36,25.38,385.84,13.08,4.16,36.97,543.44,22.56
38,69.97,6.42,716.82,57.47,569.01,22.82,285.64,555.64,19.65,59.49,0.00,0.00,544.05,516.12,164.74,506.38,179.09,456.60,708.99,35.04,410.92,214.49,213.50,215.33,47.97,0.00,0.00,287.93,479.80,348.88,29.71,400.96,17.88,5.90,43.87,558.85,26.99
39,78.21,9.75,738.32,64.43,588.96,28.92,300.63,574.95,24.51,68.34,0.00,0.00,562.90,532.30,175.83,525.36,192.14,472.58,729.91,41.87,424.14,227.57,221.62,228.88,56.86,0.00,0.00,302.40,495.75,363.56,36.31,416.27,23.18,8.54,52.77,574.05,30.90
40,87.04,14.89,760.04,73.62,609.36,34.84,315.85,594.89,29.92,78.26,0.00,0.00,581.92,549.17,188.63,544.77,205.74,488.18,751.21,49.90,437.57,240.65,229.55,242.30,66.88,0.00,0.52,317.47,511.87,378.49,43.88,432.72,29.36,10.68,62.29,590.30,36.43
41,96.30,18.86,782.06,83.75,629.53,39.07,331.39,615.58,37.24,88.89,0.00,0.00,601.09,565.35,201.15,565.20,218.17,504.65,772.68,56.65,450.85,253.65,238.02,255.98,77.61,0.00,1.04,332.39,528.99,393.35,52.28,448.41,37.44,14.01,72.49,606.96,42.36
