# AUKE_BAY
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 2016
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022
25,359.59,494.50,340.50,398.00,498.50,376.00,408.18,331.00,461.00,272.88,419.78,328.00,437.50,398.00,416.00,258.50,345.50,282.00,409.00,363.50,436.00,377.69,219.00,299.50,415.00,473.00,269.50,254.66,414.50,269.00,430.00,258.50,349.50,272.00,306.50,419.00,173.82,330.00,445.86,314.00,339.50,429.50
26,377.09,517.50,359.00,415.19,520.00,391.50,428.18,349.00,478.50,290.07,438.78,344.50,454.00,411.50,435.50,272.00,364.50,296.00,425.50,378.50,454.50,394.88,236.50,317.50,435.50,494.50,289.50,267.66,429.50,284.50,449.00,277.50,365.50,287.00,321.00,442.00,192.32,340.00,470.86,331.00,355.50,446.50
27,397.09,538.50,374.50,434.69,540.50,407.50,448.68,366.50,496.00,299.57,460.28,361.00,472.50,426.50,453.00,290.50,383.00,314.00,441.50,395.00,470.50,409.38,254.00,338.00,457.00,512.00,309.00,282.16,446.00,301.50,470.00,300.00,385.00,302.00,332.50,460.50,209.57,352.50,492.86,340.00,369.50,464.50
28,414.09,560.00,387.50,455.69,562.00,423.00,467.18,386.50,512.00,315.07,482.28,378.50,489.00,443.00,471.00,309.50,399.00,329.00,458.58,412.50,486.00,428.38,272.50,357.50,475.00,528.50,327.50,296.16,461.00,315.00,492.00,322.00,403.00,318.00,346.00,481.50,228.57,368.00,514.86,345.00,381.00,484.00
29,431.59,583.00,401.50,474.69,584.50,439.00,481.18,407.00,530.00,334.07,500.28,397.50,507.50,464.00,496.00,329.00,413.00,349.50,477.08,429.50,506.50,444.38,288.50,378.00,489.50,545.00,347.50,307.16,475.00,330.50,513.00,340.50,422.50,335.50,362.00,501.50,247.57,385.00,535.86,347.50,393.50,502.00
30,449.59,605.00,416.00,494.19,608.50,457.50,494.68,426.00,548.00,354.57,520.28,414.00,531.50,488.00,517.00,350.50,423.50,365.00,496.58,448.50,526.50,462.38,302.50,392.50,504.50,564.00,365.50,322.66,489.50,346.50,534.50,359.00,441.50,353.00,381.00,525.00,266.57,400.50,556.36,350.00,411.00,518.50
31,470.59,623.50,428.00,515.69,626.50,473.00,506.18,445.00,564.00,376.07,539.78,429.50,552.50,507.50,538.50,372.50,429.00,382.50,514.58,467.50,545.50,478.38,313.00,402.00,519.50,579.00,384.00,339.36,505.50,361.50,554.50,377.00,458.50,371.00,398.50,548.50,286.07,414.00,581.86,355.00,425.50,538.00
32,496.09,643.50,439.00,540.19,648.50,486.50,516.68,467.00,585.00,400.57,558.78,443.00,571.50,529.00,560.00,391.50,436.50,398.50,532.58,483.50,566.50,492.88,324.00,410.50,540.00,596.00,407.00,349.36,523.00,374.50,577.50,396.50,478.00,388.50,415.00,570.50,304.57,429.00,605.36,364.00,441.00,557.00
33,516.59,662.00,448.50,561.69,674.00,502.00,538.18,490.50,603.00,422.57,578.28,461.00,591.00,547.50,582.00,413.00,448.00,416.50,550.58,500.50,587.50,509.88,334.00,421.00,560.00,613.50,425.50,357.86,541.50,385.00,598.00,417.00,496.50,407.00,433.00,589.50,322.07,440.50,630.36,376.00,456.00,576.00
34,538.59,680.00,458.00,586.19,698.00,520.50,559.18,512.50,620.50,443.57,597.78,481.00,607.50,570.00,605.50,434.00,469.50,432.50,571.08,518.50,607.00,530.38,344.50,432.50,581.50,632.50,445.50,368.86,560.50,400.00,616.00,434.50,514.50,421.50,451.50,608.00,341.57,451.50,652.86,382.50,474.00,592.00
