# ANCHORAGE_MERRILL_FIELD
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
24,233.50,136.50,277.00,253.00,59.00,173.98,181.50,302.00,102.00,10.50,284.50,90.50,178.00,136.00,16.00,125.50,156.00,256.50,313.85,4.50,168.50,333.50,110.50,26.00,249.50
25,247.50,150.00,283.00,268.00,71.50,186.48,182.00,317.50,113.50,10.50,293.50,105.00,188.50,151.50,18.00,125.50,165.00,275.00,329.85,7.50,177.00,349.00,124.00,30.50,263.00
26,261.50,164.00,283.00,287.00,79.50,197.98,184.50,327.00,124.50,10.50,302.50,117.00,203.00,162.00,28.00,125.50,171.00,296.50,346.35,10.50,186.50,369.50,131.00,36.00,274.50
27,274.00,178.50,284.00,305.50,85.50,206.98,187.50,338.00,134.00,10.50,309.00,124.00,218.50,173.50,44.00,126.00,177.50,315.50,363.35,20.50,200.50,387.00,136.00,38.50,290.50
28,288.50,188.00,298.50,318.00,90.50,216.98,187.50,346.50,145.50,10.50,317.50,134.50,236.50,192.00,60.50,135.50,183.00,331.50,383.35,29.00,214.50,407.00,136.00,52.00,309.00
29,298.00,198.00,317.50,328.00,90.50,224.98,187.50,351.50,153.50,11.50,333.50,141.00,254.50,213.00,73.50,148.00,189.50,353.00,407.35,35.00,227.50,425.00,137.00,64.00,325.50
30,306.00,211.00,327.50,338.50,90.50,231.48,187.50,368.00,167.00,14.50,352.00,146.50,270.00,228.50,90.00,162.50,197.00,370.00,429.85,48.00,235.50,443.00,139.50,74.00,342.50
31,319.50,222.55,338.00,344.50,90.50,235.98,187.50,378.50,185.00,20.50,369.00,148.50,287.00,240.00,107.50,176.50,206.00,388.50,458.85,64.00,250.00,461.50,148.00,78.00,360.00
32,333.00,232.05,357.00,360.00,90.50,241.48,192.50,386.00,198.00,30.00,391.00,156.50,307.00,257.00,119.50,188.50,216.50,408.00,482.35,77.00,266.00,478.00,158.00,79.00,376.00
33,352.00,240.05,374.50,379.50,93.00,249.48,204.50,396.00,211.00,43.00,410.50,164.50,322.00,276.50,128.00,205.00,227.50,426.00,503.35,88.50,276.50,494.50,170.50,93.00,390.50
34,371.00,246.55,391.00,395.50,99.00,257.98,216.50,408.00,229.50,58.00,430.00,177.00,339.50,297.50,139.50,217.00,243.50,440.50,521.35,107.00,283.50,510.00,188.50,112.00,406.50
35,388.50,262.05,405.00,407.50,106.00,267.48,232.00,426.00,246.50,76.00,441.00,183.00,355.00,316.00,160.00,222.50,259.50,457.50,544.35,125.50,296.00,527.00,203.50,119.00,422.00
36,405.00,272.55,417.00,420.00,115.50,277.98,253.00,446.50,261.50,94.00,446.50,192.50,367.00,330.50,178.50,225.50,280.50,480.50,566.85,143.50,307.00,545.00,211.00,120.50,440.00
37,422.00,278.05,431.00,439.00,124.50,292.48,272.00,465.50,277.50,115.00,451.50,205.50,381.70,350.00,190.50,228.50,294.50,504.00,591.35,159.00,324.50,564.00,216.50,122.00,456.00
38,439.00,281.55,446.50,457.00,132.50,308.98,289.50,483.50,293.50,134.50,457.00,219.50,393.70,373.00,202.00,228.50,300.50,522.50,615.85,173.50,343.50,587.50,226.50,122.00,467.50
39,457.50,289.55,459.50,474.00,144.00,324.48,309.00,503.50,312.00,155.50,464.00,232.00,408.69,393.00,212.50,228.50,305.50,542.50,638.35,190.00,367.00,610.50,236.50,122.00,476.00
40,478.00,302.55,473.50,494.50,153.00,340.98,327.00,523.00,328.00,176.50,467.50,248.50,421.19,413.00,226.00,228.50,310.50,563.00,663.85,205.50,389.00,632.00,245.50,122.00,487.00
41,494.50,318.55,486.50,517.00,155.50,366.48,344.00,542.50,340.50,193.50,475.00,264.50,440.19,432.00,242.50,228.50,320.00,581.00,685.85,224.00,412.50,653.00,257.00,123.50,501.00
42,511.00,333.05,508.00,535.50,159.00,388.98,360.00,559.50,355.50,212.00,480.50,279.50,461.19,452.50,258.50,228.50,334.50,599.00,711.85,241.50,434.50,673.00,272.00,139.00,517.00
43,527.50,345.05,530.00,556.50,162.00,410.48,379.50,576.00,373.50,227.50,487.00,295.00,480.69,470.00,277.00,228.50,355.00,614.00,736.85,259.50,459.50,691.50,291.00,159.00,533.00
44,547.00,361.55,550.50,574.50,169.00,429.98,399.50,595.00,390.50,245.00,502.00,313.50,494.69,490.50,295.50,232.50,373.50,628.00,762.35,277.50,483.50,711.00,311.50,177.50,548.50
45,566.00,378.05,573.00,594.00,178.00,446.48,419.00,615.00,402.50,265.00,515.00,331.00,508.19,512.00,317.50,242.50,393.00,649.00,786.35,295.50,503.00,730.50,333.50,197.00,565.00
46,588.50,399.05,595.50,613.00,188.50,464.48,436.00,631.50,411.50,286.50,523.50,349.50,522.69,535.50,339.00,249.00,416.00,670.00,812.35,314.00,523.50,752.50,355.50,216.00,584.50
47,612.50,424.05,617.00,632.00,205.50,485.48,453.00,649.50,431.00,308.00,534.50,370.50,540.19,558.50,362.00,254.00,437.00,693.00,835.85,334.00,542.00,769.00,377.00,237.50,603.00
48,631.50,449.55,637.50,654.50,225.50,505.98,472.50,659.50,448.00,329.50,550.50,392.00,561.69,581.50,385.50,262.50,462.00,719.50,858.35,351.00,562.00,784.50,402.00,265.50,619.50
49,654.00,473.55,661.00,677.00,244.00,526.48,493.50,676.50,466.00,352.50,567.00,410.00,579.19,602.00,409.00,274.50,485.50,746.50,883.85,368.50,583.50,800.00,428.50,293.00,636.00
50,678.00,497.05,685.00,700.50,263.50,550.98,513.50,703.00,482.50,370.50,586.50,430.00,596.19,623.50,432.00,289.00,510.00,763.50,910.85,388.50,606.50,815.00,452.50,317.50,652.50
51,697.50,517.55,708.00,723.50,279.00,572.48,533.50,728.50,501.00,392.00,608.00,449.50,616.69,648.00,455.00,303.00,537.50,784.00,935.35,410.00,629.00,835.00,475.00,341.00,670.50
52,718.50,535.05,728.00,750.50,291.00,593.98,556.00,756.00,521.00,415.50,629.28,468.00,632.19,672.00,476.50,321.50,562.00,805.00,966.35,433.00,650.00,847.00,499.00,365.50,693.00
53,738.50,557.55,747.50,773.00,303.00,618.98,577.00,773.00,541.50,442.00,652.78,489.50,649.69,694.00,496.50,339.00,584.00,824.50,995.35,461.50,675.00,861.50,524.00,386.89,718.50
54,761.50,579.55,767.50,797.50,317.00,644.98,600.50,795.15,561.00,466.00,675.78,511.50,667.69,718.00,517.00,357.50,606.00,845.50,1026.35,486.00,697.50,878.00,551.00,409.89,743.50
55,786.50,599.55,787.00,824.00,330.50,670.48,625.50,823.15,580.50,489.50,693.78,532.00,688.19,745.50,541.00,376.00,630.00,871.00,1053.35,509.50,724.00,898.50,573.50,433.89,768.50
56,810.00,615.55,809.50,851.50,352.00,697.98,647.50,853.15,599.50,513.00,706.28,558.00,715.19,774.00,566.50,390.00,652.00,898.50,1081.35,534.50,746.50,918.00,595.00,459.39,795.00
57,838.00,634.55,834.50,878.50,375.50,725.48,672.00,885.65,621.50,539.50,726.78,584.50,746.19,796.50,593.00,405.50,678.00,927.50,1105.85,560.50,766.50,939.50,615.50,486.89,819.00
58,858.00,656.05,857.50,906.00,399.50,753.48,697.00,917.15,643.50,560.00,743.78,608.00,775.19,819.00,619.50,421.50,707.00,956.50,1128.85,585.50,788.00,962.50,639.00,515.89,844.50
59,874.00,677.05,885.50,933.00,425.00,780.48,722.50,955.15,662.00,582.50,764.78,637.00,802.69,848.50,647.50,436.00,734.50,984.50,1155.85,609.50,813.00,990.00,663.50,537.89,869.00
60,892.00,697.55,910.00,961.00,450.50,808.98,752.50,988.15,682.50,605.50,786.78,665.50,825.19,873.00,676.50,453.50,763.50,1009.50,1181.85,635.50,841.00,1020.50,684.50,558.89,891.00
61,915.50,717.55,935.50,982.00,473.50,834.48,786.00,1019.15,703.00,630.00,807.78,693.00,847.19,896.00,696.00,472.00,793.00,1034.50,1208.85,658.50,865.50,1050.50,708.00,579.89,919.00
62,941.50,735.05,961.00,998.00,492.50,863.48,813.50,1046.15,726.00,655.00,834.78,726.50,869.69,919.00,710.50,491.00,827.00,1061.50,1235.85,683.00,888.00,1078.50,731.00,604.89,942.50
63,962.00,754.55,986.00,1010.50,513.00,890.98,841.00,1074.65,748.50,681.00,858.28,761.00,898.19,943.00,729.00,511.00,861.50,1088.50,1264.35,711.00,910.00,1105.50,761.00,630.89,967.50
64,985.50,777.55,1010.00,1026.00,534.00,919.98,873.00,1100.15,775.50,707.50,883.28,788.00,927.19,967.00,750.00,527.50,894.00,1115.00,1293.85,738.00,934.50,1133.00,788.50,657.89,994.50
65,1007.00,800.05,1035.50,1043.50,555.50,943.98,906.50,1124.65,802.00,732.50,911.28,814.50,955.19,994.50,772.50,548.50,921.50,1141.50,1316.85,761.00,960.00,1155.50,817.00,680.39,1021.50
66,1031.00,823.05,1062.50,1066.00,578.50,965.98,943.00,1156.15,828.00,757.50,938.78,839.50,982.69,1024.00,799.00,569.50,947.50,1167.00,1344.85,788.00,983.00,1185.00,847.50,706.39,1050.50
67,1056.50,847.05,1092.00,1089.50,602.00,990.98,977.00,1186.65,850.00,781.50,963.28,867.00,1009.19,1055.00,826.00,592.50,978.00,1198.00,1370.85,815.00,1007.50,1218.00,878.50,735.39,1081.00
68,1080.00,865.05,1116.50,1115.68,627.50,1021.98,1002.50,1217.15,869.50,805.50,988.28,895.00,1036.19,1084.00,853.50,618.00,1009.50,1224.50,1396.85,840.50,1035.00,1246.00,908.00,764.89,1110.50
69,1102.50,887.05,1144.00,1139.68,653.00,1047.98,1031.00,1249.65,894.00,829.00,1016.28,922.00,1064.19,1114.00,882.50,644.50,1042.00,1254.50,1425.35,869.50,1064.00,1272.50,945.00,794.89,1137.50
70,1123.50,912.05,1169.50,1164.68,674.00,1071.98,1057.00,1279.15,920.50,855.00,1043.78,950.50,1094.69,1141.50,908.00,672.00,1075.00,1284.00,1454.35,900.00,1095.50,1301.50,979.50,823.89,1163.50
71,1146.00,942.05,1194.00,1190.68,699.00,1095.48,1084.50,1313.15,947.00,881.50,1074.78,981.00,1123.19,1170.00,933.00,703.50,1110.50,1312.50,1488.85,932.50,1124.50,1329.00,1008.00,853.39,1186.00
72,1168.50,972.55,1222.00,1216.68,725.00,1119.48,1115.00,1350.15,977.50,905.50,1104.28,1016.00,1150.69,1200.00,956.00,732.50,1138.50,1346.00,1524.85,963.50,1153.00,1355.50,1038.50,881.89,1211.00
73,1194.00,1001.05,1249.00,1246.68,755.50,1142.98,1146.50,1382.65,1006.50,933.00,1130.28,1047.50,1177.69,1229.50,980.50,761.50,1170.50,1377.50,1562.85,987.50,1178.50,1380.00,1071.00,914.39,1236.00
74,1221.50,1034.05,1275.50,1279.68,784.50,1166.98,1173.00,1418.65,1035.00,959.50,1153.78,1079.50,1202.69,1259.50,1006.50,784.00,1207.00,1410.50,1602.85,1015.00,1206.00,1412.00,1102.00,947.39,1263.50
75,1249.50,1071.05,1303.00,1315.68,809.00,1196.48,1200.00,1445.65,1061.50,989.50,1180.78,1105.00,1228.19,1290.00,1034.00,808.50,1241.50,1446.50,1644.85,1046.50,1231.00,1443.50,1139.00,975.89,1289.50
76,1275.50,1106.55,1330.50,1343.68,836.00,1224.98,1233.00,1475.15,1087.50,1024.00,1208.78,1134.00,1256.69,1324.00,1060.00,829.00,1278.50,1478.00,1682.85,1081.00,1258.50,1473.50,1171.50,1004.89,1319.50
77,1304.00,1140.55,1362.00,1372.18,873.00,1252.98,1265.50,1507.65,1112.50,1055.00,1236.28,1165.00,1282.69,1356.50,1089.50,844.50,1318.00,1507.50,1717.85,1111.00,1289.00,1503.00,1206.50,1034.39,1349.50
78,1332.50,1175.05,1395.00,1405.68,910.50,1278.98,1297.00,1538.65,1139.00,1081.50,1263.28,1196.00,1313.69,1393.00,1118.50,858.00,1353.50,1537.00,1750.85,1138.50,1319.00,1531.50,1241.50,1065.39,1381.00
79,1360.00,1205.55,1421.50,1439.68,950.00,1304.48,1329.00,1573.15,1167.50,1111.50,1292.28,1225.00,1345.69,1424.50,1149.00,874.50,1386.00,1566.50,1786.35,1165.50,1349.50,1564.00,1276.50,1094.89,1417.50
80,1386.50,1235.55,1449.00,1471.68,991.00,1333.48,1363.00,1610.15,1193.50,1144.00,1325.28,1251.50,1378.19,1458.50,1179.50,896.50,1418.00,1596.00,1820.85,1196.00,1379.00,1596.00,1313.00,1122.89,1454.50
81,1413.50,1267.05,1475.00,1503.18,1034.50,1364.48,1398.50,1641.65,1224.50,1173.50,1354.28,1283.50,1412.69,1492.50,1214.00,919.50,1450.50,1628.00,1850.35,1223.00,1411.00,1628.00,1346.00,1152.89,1490.50
82,1441.50,1300.05,1504.00,1534.68,1073.50,1396.98,1434.00,1674.15,1258.50,1207.00,1382.28,1315.00,1439.19,1529.50,1247.50,947.50,1487.00,1663.50,1881.85,1254.50,1444.00,1661.00,1377.00,1182.89,1532.00
83,1469.50,1331.05,1531.50,1568.18,1110.50,1430.98,1466.00,1707.65,1299.00,1236.00,1415.78,1343.50,1465.69,1566.50,1284.00,978.50,1520.50,1694.00,1914.35,1282.50,1475.00,1693.50,1407.50,1214.39,1565.00
84,1497.50,1364.55,1558.00,1597.68,1145.00,1461.98,1497.00,1739.15,1340.00,1270.00,1442.28,1376.00,1496.19,1602.50,1317.50,1013.00,1554.00,1728.00,1949.35,1310.00,1505.00,1729.00,1439.50,1247.89,1594.50
85,1529.50,1393.05,1585.00,1628.18,1178.00,1496.98,1528.50,1769.65,1384.00,1307.50,1469.28,1411.50,1527.69,1639.50,1351.00,1050.00,1584.50,1763.50,1985.35,1337.00,1537.00,1760.50,1468.00,1286.39,1626.50
86,1561.00,1422.55,1616.00,1659.18,1208.50,1529.98,1560.50,1804.15,1428.00,1341.00,1494.78,1452.00,1561.19,1680.50,1381.00,1082.50,1615.50,1795.50,2024.35,1361.00,1569.00,1790.50,1498.00,1323.39,1663.00
87,1594.50,1450.05,1646.00,1694.68,1244.00,1564.98,1594.50,1836.65,1472.50,1373.50,1526.78,1485.50,1603.19,1720.00,1409.50,1124.50,1647.50,1828.00,2064.35,1386.50,1605.00,1825.00,1528.50,1354.89,1704.00
88,1629.50,1478.05,1677.00,1735.68,1279.50,1595.48,1628.00,1869.15,1515.50,1405.00,1558.28,1513.00,1643.19,1759.00,1442.00,1163.50,1683.00,1861.50,2105.85,1410.50,1639.50,1860.50,1565.50,1382.89,1744.50
89,1668.50,1504.55,1710.00,1775.68,1317.50,1633.48,1659.00,1903.65,1552.00,1433.50,1590.28,1540.50,1688.69,1796.50,1475.50,1208.00,1716.50,1898.50,2149.85,1436.50,1672.00,1897.00,1608.00,1408.89,1786.00
90,1703.50,1531.05,1739.50,1808.18,1355.00,1670.48,1696.00,1939.15,1583.50,1465.00,1623.78,1570.50,1732.69,1837.00,1505.50,1246.00,1750.00,1938.50,2190.35,1464.50,1702.50,1928.50,1644.50,1442.89,1827.50
91,1736.00,1564.05,1771.00,1841.68,1389.00,1704.48,1728.50,1972.15,1612.50,1496.50,1659.78,1604.50,1774.69,1874.00,1537.00,1278.50,1777.00,1980.50,2229.35,1498.50,1735.50,1965.00,1675.50,1480.39,1870.00
92,1765.00,1593.05,1805.00,1881.68,1418.50,1737.98,1760.00,2003.15,1645.00,1529.00,1694.28,1634.50,1813.19,1911.00,1570.00,1310.50,1804.50,2020.50,2270.85,1536.50,1770.00,1999.50,1709.00,1515.39,1912.00
93,1797.00,1620.05,1837.50,1924.68,1450.00,1772.48,1793.50,2035.15,1679.68,1560.50,1725.28,1670.00,1853.69,1950.50,1606.00,1343.00,1835.50,2055.50,2310.35,1572.50,1809.00,2033.50,1744.50,1546.39,1955.00
94,1833.00,1648.05,1869.00,1965.18,1486.00,1805.98,1831.00,2066.65,1717.68,1594.50,1756.28,1706.50,1889.69,1986.00,1638.00,1375.00,1870.50,2091.00,2348.35,1607.50,1843.50,2068.50,1780.50,1582.89,1999.50
95,1863.50,1681.55,1907.50,2002.68,1520.00,1844.48,1871.50,2103.15,1751.18,1634.00,1787.28,1746.50,1923.19,2022.00,1668.50,1409.50,1909.00,2123.00,2383.35,1641.50,1875.50,2108.00,1816.50,1617.89,2045.00
96,1898.50,1720.05,1946.50,2038.68,1549.50,1880.98,1914.50,2142.65,1780.68,1670.50,1818.78,1781.50,1955.69,2056.50,1703.00,1442.00,1946.50,2156.50,2420.35,1674.00,1910.00,2145.50,1855.50,1656.89,2092.50
97,1932.50,1756.05,1984.00,2072.18,1577.50,1913.98,1957.50,2181.65,1814.68,1706.50,1852.78,1816.00,1992.19,2094.50,1736.00,1477.00,1981.50,2190.50,2451.85,1707.00,1943.00,2185.50,1892.50,1696.89,2131.50
98,1967.50,1791.05,2022.00,2107.18,1612.00,1945.98,1996.00,2218.15,1850.68,1739.00,1888.28,1854.50,2030.19,2129.50,1771.00,1519.50,2020.00,2225.50,2486.85,1743.50,1977.50,2227.50,1928.50,1734.89,2170.00
99,2003.50,1827.55,2059.50,2140.68,1643.50,1978.48,2026.50,2251.65,1885.68,1769.00,1919.78,1892.00,2060.69,2166.00,1808.00,1561.50,2055.50,2261.00,2523.85,1782.00,2015.50,2268.00,1960.00,1770.39,2212.50
100,2033.00,1869.05,2095.00,2179.18,1674.50,2016.98,2060.50,2287.65,1920.68,1803.50,1952.78,1929.00,2094.19,2204.00,1845.00,1605.50,2090.00,2293.50,2563.85,1821.00,2053.50,2305.50,1993.00,1804.39,2252.00
101,2064.50,1910.05,2128.50,2219.68,1708.50,2056.48,2093.00,2326.15,1958.18,1840.00,1984.28,1972.50,2127.69,2242.50,1879.00,1651.50,2119.00,2328.00,2598.85,1854.00,2092.00,2345.00,2033.50,1840.89,2291.00
102,2095.00,1947.55,2164.50,2256.18,1742.00,2098.98,2126.50,2365.65,1991.68,1877.00,2013.28,2006.00,2160.69,2280.50,1915.50,1695.00,2149.50,2363.50,2634.35,1887.50,2128.50,2386.00,2070.50,1877.89,2329.50
103,2124.00,1987.05,2203.00,2291.68,1777.50,2139.48,2164.50,2405.15,2027.18,1909.00,2044.78,2041.50,2193.69,2319.00,1946.00,1741.00,2180.50,2400.00,2669.35,1919.00,2164.50,2426.50,2107.50,1918.39,2366.50
104,2155.50,2033.05,2238.00,2329.18,1811.00,2185.98,2204.50,2442.15,2065.68,1942.00,2077.78,2076.50,2230.69,2355.50,1977.50,1782.00,2213.50,2442.50,2709.85,1951.00,2201.00,2467.50,2146.00,1956.89,2404.00
105,2191.00,2074.05,2273.50,2368.18,1848.50,2222.98,2244.00,2481.65,2106.18,1975.50,2109.28,2113.00,2267.69,2388.00,2012.50,1822.50,2247.50,2488.00,2751.85,1984.00,2242.50,2508.50,2185.00,1995.89,2442.50
106,2230.00,2119.05,2308.50,2410.18,1892.00,2259.98,2280.50,2521.65,2143.68,2013.50,2142.78,2154.50,2298.69,2421.00,2047.50,1863.50,2284.00,2539.00,2794.85,2017.00,2279.00,2547.50,2224.50,2035.89,2483.00
107,2272.00,2164.05,2344.50,2452.68,1936.50,2299.98,2314.00,2565.65,2180.68,2055.00,2179.28,2193.50,2330.19,2454.00,2084.50,1908.50,2319.00,2592.50,2840.35,2054.50,2315.50,2587.00,2265.00,2071.39,2522.50
108,2311.50,2203.55,2380.00,2492.18,1971.00,2339.48,2356.00,2608.15,2221.68,2094.00,2217.28,2230.50,2365.69,2489.50,2125.00,1957.50,2356.50,2641.50,2884.85,2090.00,2355.50,2626.50,2305.00,2110.89,2559.00
109,2352.00,2243.55,2414.50,2528.68,2005.00,2378.98,2401.00,2645.65,2259.68,2131.50,2252.28,2268.00,2400.19,2526.50,2170.00,2011.00,2394.00,2691.00,2928.35,2124.50,2393.50,2664.50,2347.50,2150.89,2598.00
110,2388.50,2282.05,2449.00,2568.18,2041.50,2415.48,2446.00,2683.15,2296.18,2170.00,2288.78,2305.50,2433.69,2561.50,2211.50,2058.50,2431.50,2735.50,2967.85,2160.50,2431.50,2705.50,2380.00,2191.39,2636.50
111,2420.00,2311.55,2485.00,2611.18,2076.50,2452.48,2490.00,2719.65,2330.68,2215.00,2326.28,2341.50,2469.69,2598.00,2250.00,2100.00,2469.50,2776.50,3006.85,2193.00,2474.00,2748.50,2416.50,2227.39,2674.00
112,2452.00,2347.05,2521.00,2654.18,2110.50,2487.48,2533.50,2759.15,2365.18,2264.50,2362.78,2375.50,2509.19,2634.00,2292.00,2134.50,2504.00,2816.00,3047.85,2227.50,2514.50,2789.00,2453.50,2268.39,2718.00
113,2486.50,2385.05,2559.00,2694.18,2148.00,2525.48,2574.00,2795.65,2397.68,2303.00,2397.28,2409.00,2549.19,2669.50,2337.50,2175.00,2542.00,2858.50,3092.85,2261.50,2550.00,2829.50,2491.50,2308.39,2767.00
114,2523.00,2423.55,2598.00,2737.68,2183.00,2563.98,2612.50,2835.65,2433.18,2339.00,2431.28,2440.00,2587.19,2709.00,2381.50,2217.50,2580.50,2899.00,3135.35,2294.50,2586.50,2875.50,2529.50,2344.89,2814.00
115,2562.50,2462.55,2643.00,2781.18,2223.50,2601.48,2654.50,2875.65,2470.18,2372.00,2468.28,2470.50,2626.19,2749.00,2417.50,2262.00,2620.00,2942.50,3175.35,2331.00,2623.00,2922.00,2567.50,2383.89,2856.00
116,2604.00,2499.05,2686.00,2824.68,2261.50,2637.98,2698.50,2917.15,2509.68,2407.50,2507.78,2503.50,2665.19,2786.00,2453.00,2307.00,2654.50,2989.50,3218.35,2369.50,2661.00,2965.00,2604.00,2423.41,2894.50
117,2645.50,2537.05,2730.50,2873.18,2297.50,2670.98,2748.00,2957.65,2542.68,2445.00,2541.78,2540.00,2701.19,2827.50,2491.00,2356.50,2686.00,3029.00,3260.85,2404.50,2700.00,3007.50,2642.50,2457.91,2934.00
118,2689.00,2574.05,2771.00,2920.68,2335.00,2708.98,2789.50,3003.15,2579.68,2482.50,2578.28,2577.50,2734.69,2868.50,2527.50,2399.50,2720.50,3070.00,3301.35,2440.00,2739.00,3055.50,2682.00,2497.41,2972.50
119,2731.50,2615.05,2813.50,2967.18,2371.50,2747.48,2827.50,3047.15,2618.18,2519.00,2610.78,2618.00,2770.19,2904.50,2561.50,2438.00,2760.00,3110.00,3345.85,2479.00,2779.00,3104.50,2717.00,2534.41,3014.50
