# TALKEETNA_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
32,234.00,365.00,159.00,234.50,435.50,126.50,160.50,250.00,284.50,137.50,246.00,118.50,261.50,225.50,267.00,115.00,220.00,136.50,324.00,218.00,303.50,289.00,122.50,249.50,204.50,357.00,160.50,21.00,279.50,121.00,291.00,184.00,122.00,126.00,187.50,358.50,397.00,106.00,184.50,473.50,107.00,49.50,368.50
33,253.50,367.50,159.00,246.50,446.50,129.50,165.50,263.50,293.00,145.00,262.00,128.50,267.50,238.50,286.50,131.00,220.00,143.50,343.00,218.00,317.50,301.50,129.00,256.00,222.50,365.50,168.00,26.00,295.50,127.50,304.00,202.50,129.50,139.00,193.00,375.00,416.00,119.50,189.50,488.50,122.00,49.50,381.00
34,272.00,371.50,163.50,262.50,459.00,129.50,165.50,279.00,302.50,154.50,280.00,144.00,268.00,249.50,303.50,152.50,236.00,154.50,360.00,218.00,332.00,315.00,142.00,264.00,237.50,378.00,183.50,39.00,313.50,136.50,318.00,214.00,137.50,147.00,204.50,388.50,435.00,142.00,191.00,502.00,135.50,63.00,389.00
35,290.00,373.50,170.00,272.00,476.50,129.50,168.00,295.00,312.00,162.50,291.50,155.50,268.50,263.00,319.50,170.50,252.50,171.50,379.00,228.00,345.50,325.50,160.50,268.00,259.00,397.50,195.00,53.50,322.50,140.00,338.50,227.50,154.50,153.00,220.50,402.50,454.50,164.00,204.50,518.50,148.50,63.00,400.00
36,304.00,377.50,174.50,287.00,488.50,129.50,168.00,310.50,316.00,170.00,310.00,170.50,270.00,274.00,334.50,184.50,269.50,193.50,398.50,237.50,354.50,333.50,174.00,274.00,281.50,417.50,207.50,78.00,329.00,143.50,352.50,235.50,168.50,153.00,239.00,417.50,476.00,186.00,215.50,536.00,151.50,63.00,415.00
37,322.00,383.50,191.00,299.50,502.00,140.50,168.00,324.00,319.00,178.00,330.00,185.50,276.50,286.00,345.50,200.00,277.00,214.50,414.00,237.50,366.50,346.00,186.50,290.50,303.50,435.00,224.00,97.50,332.00,151.00,361.00,244.00,181.50,153.00,253.00,439.00,497.00,203.50,229.00,557.00,151.50,63.00,427.00
38,340.00,389.50,202.00,311.00,515.50,147.00,168.00,340.00,331.50,188.00,349.50,197.50,287.00,304.50,359.50,218.00,284.00,234.50,431.50,237.50,376.50,358.50,191.50,307.00,323.00,451.50,239.50,121.50,333.00,155.50,367.50,259.00,193.50,153.00,261.00,453.00,514.50,217.50,247.00,576.50,158.50,63.00,436.50
39,355.00,395.50,214.00,321.00,534.50,147.00,168.00,351.00,352.00,196.00,366.00,211.50,298.00,324.00,374.50,237.50,294.00,252.00,449.50,237.50,388.50,370.50,203.00,328.50,341.50,469.50,255.50,142.50,342.00,168.00,375.00,268.00,204.00,153.00,261.00,471.00,538.00,233.50,269.50,597.50,158.50,63.00,446.00
40,369.50,404.50,223.50,328.00,545.50,147.00,168.00,364.50,363.50,216.50,382.50,224.50,305.50,343.50,391.00,256.50,309.50,269.00,467.00,251.00,399.00,386.50,209.00,349.50,357.00,485.50,270.50,161.00,346.50,185.50,383.00,276.00,215.50,153.00,265.00,490.50,557.50,251.50,291.00,615.00,160.00,63.00,456.00
41,386.00,413.00,233.00,328.00,557.00,147.00,170.50,377.50,381.00,235.50,403.00,237.00,305.50,361.50,408.00,274.50,325.00,287.00,483.50,265.50,412.50,406.00,211.00,371.50,374.50,501.50,280.00,178.50,346.50,199.50,396.50,289.50,229.50,153.00,271.50,507.00,576.50,270.50,314.00,633.00,165.50,66.00,469.50
42,401.50,424.00,246.00,336.50,571.00,147.00,180.00,389.50,401.00,256.00,420.00,252.50,305.50,379.00,424.50,291.00,340.00,303.50,496.00,280.50,433.50,424.50,216.50,394.00,393.50,520.50,290.50,193.50,347.50,210.50,411.00,300.50,246.00,153.00,281.00,525.50,598.00,293.00,333.00,649.50,182.00,84.00,488.50
43,415.00,432.50,255.00,351.50,589.50,147.00,191.50,403.50,419.50,271.00,437.50,263.00,305.50,397.50,439.50,305.50,354.50,324.00,508.00,292.50,454.00,441.50,224.50,414.00,411.50,535.00,305.00,208.50,347.50,222.50,422.00,314.00,263.00,155.50,297.50,540.50,619.50,318.00,350.50,667.50,197.00,103.00,502.00
44,428.00,438.50,260.00,367.00,605.50,147.00,205.50,422.50,436.50,286.00,454.00,278.50,318.00,417.00,455.00,323.00,370.00,340.00,522.00,311.50,471.50,455.00,230.00,432.50,430.00,549.00,317.50,226.00,359.00,237.00,431.00,328.50,282.00,157.50,315.50,553.50,644.00,339.50,368.00,686.50,213.00,122.00,515.00
45,437.00,448.50,274.00,382.00,622.00,161.50,221.50,440.50,456.00,302.50,470.00,299.50,340.50,437.50,455.50,339.00,393.50,357.50,542.00,327.50,490.00,470.00,237.00,449.50,447.50,563.00,324.50,245.00,370.00,250.50,444.00,347.00,304.00,164.00,328.00,574.00,665.00,356.50,386.00,702.00,234.50,142.50,526.00
46,452.00,455.50,289.00,399.50,632.00,174.50,236.00,454.00,474.50,319.50,488.00,318.00,359.50,460.50,455.50,357.50,413.00,369.50,562.50,344.00,511.00,486.50,246.50,471.50,463.50,577.50,331.00,264.00,373.50,266.00,456.00,365.50,327.50,168.50,349.00,591.00,687.00,371.00,402.00,720.00,255.50,162.00,542.50
47,465.50,466.00,302.50,410.50,644.00,186.50,253.00,469.00,493.50,336.50,509.50,334.50,375.00,481.50,455.50,375.50,432.50,379.50,586.50,368.50,531.50,499.50,258.50,491.00,482.00,587.50,350.50,284.00,374.50,283.00,476.50,380.00,348.50,178.50,366.00,609.00,708.00,393.00,415.50,738.50,277.00,184.00,558.50
48,481.50,482.00,311.50,427.00,652.00,199.50,267.50,482.00,506.50,354.00,529.00,354.00,393.00,501.00,466.50,392.00,456.50,389.00,608.50,392.50,545.00,516.50,273.00,511.50,500.00,596.00,365.50,303.50,390.00,301.50,496.50,397.00,369.50,188.00,387.00,635.00,728.50,411.50,434.50,755.50,300.00,212.50,574.00
49,498.50,502.00,322.50,444.00,660.50,204.00,282.00,496.50,524.50,372.50,552.00,373.00,411.50,517.50,486.00,413.00,480.00,400.00,628.50,418.50,564.50,532.00,288.00,531.50,519.50,607.00,380.00,325.00,404.00,319.50,518.50,414.50,392.00,203.50,407.00,660.50,750.50,432.00,453.00,770.00,322.00,239.00,588.00
50,519.00,520.50,343.00,462.50,679.00,211.50,298.00,511.50,540.50,393.50,572.00,391.00,430.00,533.00,510.50,433.50,500.00,412.50,647.00,438.00,587.00,549.00,305.00,551.00,538.50,628.00,393.50,344.50,421.50,336.00,537.00,427.50,412.00,214.50,428.50,679.00,772.00,453.50,470.00,784.00,343.50,263.00,600.00
51,538.50,538.00,362.50,480.50,701.50,224.50,315.00,527.00,560.50,415.50,590.50,409.50,446.00,549.00,535.00,455.50,522.50,425.50,665.00,457.00,608.00,567.00,321.50,575.50,558.00,647.50,412.50,365.50,441.00,356.50,556.50,444.50,434.50,224.50,451.00,693.00,796.00,473.00,489.50,807.50,362.50,286.00,616.50
52,558.00,556.50,379.00,501.00,713.50,234.50,329.00,546.00,578.50,435.50,608.50,428.50,467.00,566.50,559.00,481.00,545.50,446.00,683.50,474.00,624.00,588.50,333.00,601.50,580.50,668.00,429.00,389.00,460.00,370.50,573.50,466.00,455.00,237.50,471.00,711.50,821.50,495.50,509.00,820.50,383.50,309.50,639.00
53,576.00,573.50,394.00,520.00,724.00,248.50,343.50,566.50,598.00,454.50,627.00,447.00,486.50,586.00,580.00,500.50,565.50,467.50,704.50,494.00,641.00,606.50,340.00,630.50,602.50,689.00,447.50,413.50,483.00,387.00,589.00,491.00,473.00,253.00,489.50,729.00,849.00,521.00,532.00,831.50,404.50,333.50,663.00
54,595.00,589.50,411.00,544.50,738.50,262.00,357.00,583.00,614.00,473.00,647.00,469.50,505.00,605.50,604.00,517.00,589.00,491.00,727.00,515.50,657.50,625.50,350.00,656.00,623.00,714.50,470.50,438.50,501.50,404.00,604.00,513.50,494.50,270.50,509.50,747.50,879.00,549.50,549.00,844.50,424.50,357.00,683.00
55,613.50,606.50,431.00,570.00,755.00,275.50,373.00,597.50,634.00,490.00,671.00,492.00,529.00,628.50,628.00,533.50,611.00,518.50,748.50,533.00,674.00,648.50,360.00,682.50,647.00,740.50,485.50,459.50,515.00,420.50,625.00,536.00,518.00,283.00,530.50,768.50,907.50,574.50,567.50,863.50,443.50,380.00,705.00
56,636.50,622.00,448.00,592.00,768.00,292.00,388.00,615.00,660.00,513.00,690.00,512.00,549.00,652.50,651.50,554.00,634.00,545.00,769.50,548.00,692.50,668.50,376.00,718.00,669.50,767.50,500.50,483.00,532.00,440.00,651.00,557.00,542.50,295.50,553.50,792.00,933.00,599.50,585.50,883.00,465.00,403.50,727.50
57,659.50,639.00,473.00,614.00,788.00,310.00,410.50,631.00,685.00,537.50,711.00,531.50,567.00,678.00,674.00,575.50,655.00,567.00,790.50,564.00,711.00,688.00,394.50,752.00,686.50,796.00,518.50,509.50,556.00,460.00,677.00,579.00,563.50,308.50,576.50,813.50,957.00,622.50,603.50,902.50,483.00,426.00,749.50
58,681.50,658.00,494.50,630.50,810.50,325.50,434.50,649.50,705.00,560.50,732.00,552.00,585.00,702.50,694.50,596.50,674.50,588.00,808.50,580.50,732.00,707.50,415.50,781.00,708.00,830.00,536.50,528.50,577.00,481.50,705.50,600.50,586.00,319.00,598.00,840.50,980.50,647.00,618.50,922.00,500.50,448.50,769.00
59,703.00,679.00,513.00,650.50,832.00,341.50,454.50,673.50,721.50,582.50,750.50,574.00,606.50,724.00,716.50,621.00,693.50,610.50,823.00,597.50,752.00,728.00,436.50,809.00,729.50,862.00,555.00,548.50,595.00,506.00,731.50,622.00,608.00,328.00,619.00,862.00,1005.00,668.50,633.00,942.50,518.50,469.50,788.50
60,726.00,701.00,528.50,674.00,854.50,360.00,477.00,699.00,741.00,605.00,771.00,597.00,623.50,744.50,737.00,648.00,715.50,634.00,840.50,614.00,771.00,746.00,458.00,838.00,760.50,893.50,573.00,575.00,613.00,530.50,753.00,644.00,630.00,341.00,643.00,883.50,1028.00,690.50,653.00,971.50,539.00,487.00,810.00
61,750.50,718.00,544.00,695.50,875.50,374.50,504.00,722.50,757.00,629.00,793.00,615.00,640.50,768.50,759.00,675.00,737.00,656.00,857.50,628.50,793.50,762.00,478.00,869.50,794.00,918.50,594.00,598.50,634.00,559.00,772.50,663.50,644.50,359.50,673.00,909.00,1053.50,715.00,673.50,998.50,562.00,503.00,836.50
62,774.00,740.00,560.00,715.50,894.50,391.00,526.50,745.50,775.00,653.50,814.50,633.00,652.00,792.50,782.50,704.00,757.50,679.00,878.50,639.00,815.50,775.00,495.50,900.00,819.00,944.00,616.00,621.00,660.00,588.50,793.50,681.00,655.00,375.00,710.50,934.00,1077.00,738.50,688.50,1021.50,583.00,522.50,860.50
63,794.50,760.50,578.00,735.00,914.00,410.00,547.00,767.00,797.00,676.50,834.50,655.50,663.00,814.00,802.50,731.50,779.00,703.50,896.00,658.00,839.50,784.50,517.50,928.00,847.50,967.50,638.50,643.50,684.00,618.00,818.00,699.50,668.50,390.00,742.50,959.00,1099.00,769.50,708.00,1045.50,611.00,545.50,882.50
64,816.00,785.00,595.00,757.50,933.00,429.00,567.00,790.50,815.50,697.00,856.50,678.50,675.50,837.00,820.50,756.50,809.00,729.00,915.50,678.00,856.50,798.50,535.50,954.50,879.00,992.50,661.00,669.50,705.50,645.00,844.00,719.50,686.50,409.50,771.50,984.50,1121.00,794.00,727.00,1068.50,636.50,574.00,906.50
65,841.50,807.50,613.00,779.50,953.00,447.50,588.50,813.50,838.00,717.50,879.50,702.50,689.50,860.00,845.50,779.00,838.50,756.50,938.00,695.50,878.00,810.50,551.50,977.00,908.50,1017.00,685.50,695.00,728.00,668.00,866.50,744.00,707.50,427.50,799.50,1010.50,1144.50,817.50,745.50,1088.50,661.00,598.00,929.50
