# ALYESKA
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1989, 2012
#
d_since_march1,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
33,221.36,411.21,508.48,261.00,235.52,342.50,447.00,319.64,259.00,345.00,392.50,351.82,176.50,337.00,231.11,405.30,276.44,449.50,399.50,187.00,273.50,258.00,431.00,243.00,55.50,381.00,203.50,377.00,258.00,258.50,324.50,467.00,576.50,102.00,313.00,571.50,209.50,119.50,475.50
34,222.36,429.71,521.48,275.54,242.02,359.00,457.50,334.14,276.50,350.00,407.00,370.32,194.00,343.00,245.61,421.80,284.44,469.00,415.50,194.00,280.50,273.50,443.00,256.00,69.50,400.50,214.00,394.50,276.00,271.50,338.00,484.50,596.50,119.50,324.00,590.50,222.50,132.00,491.00
35,229.36,445.21,537.98,275.54,250.52,375.00,466.50,349.14,294.00,355.50,422.50,388.82,215.00,357.00,264.11,437.80,292.94,484.00,429.50,201.50,289.50,288.00,456.00,274.50,86.00,418.00,220.50,410.00,293.50,281.50,354.00,502.50,618.50,137.00,333.00,607.00,240.50,147.00,508.00
36,242.86,456.21,551.48,279.04,250.52,390.00,475.50,362.14,311.00,362.50,440.50,408.82,230.50,372.50,282.61,455.30,309.94,498.50,440.00,211.50,298.50,306.50,473.50,290.50,104.00,428.50,229.00,423.00,304.50,291.00,372.50,519.00,640.00,156.00,346.00,627.50,256.50,151.00,525.50
37,260.86,472.21,566.48,286.04,250.52,405.00,484.00,378.14,325.81,373.00,457.00,425.32,247.50,384.00,304.11,472.80,319.44,513.50,449.50,225.00,308.00,325.50,491.00,305.00,124.00,434.00,246.00,437.00,317.50,301.00,391.00,537.50,659.50,175.00,356.00,646.50,261.50,151.00,542.00
38,279.86,481.21,579.98,299.54,250.52,420.50,492.00,395.64,343.31,383.50,473.00,442.82,265.50,395.50,324.61,485.30,320.44,530.00,466.50,237.50,321.00,343.50,510.00,322.50,143.50,440.00,257.00,443.00,332.00,307.00,403.50,558.00,680.00,194.00,372.50,668.00,266.50,154.00,557.00
39,294.36,486.71,594.48,306.54,250.52,436.00,503.00,413.14,357.31,394.00,489.50,460.32,287.50,408.50,343.61,502.30,324.94,546.50,482.50,249.50,336.50,362.00,526.50,340.00,163.00,449.00,267.50,450.50,348.00,307.00,407.00,577.50,701.00,212.50,394.50,689.00,275.00,155.50,568.50
40,305.86,496.71,610.98,307.54,250.52,454.50,516.50,432.64,374.81,406.00,507.50,476.32,304.00,421.00,364.11,517.80,337.44,562.50,499.00,260.50,355.50,381.00,546.00,357.50,182.50,451.50,280.00,460.00,365.50,308.00,410.00,594.50,723.50,230.50,415.00,708.50,282.50,155.50,577.00
41,317.86,506.21,622.98,307.54,259.52,474.00,532.00,451.14,391.81,417.00,523.00,494.32,321.00,438.00,386.61,533.30,350.94,575.50,516.50,266.50,375.50,397.00,565.00,373.00,200.50,456.00,294.00,473.00,383.00,308.00,415.00,612.00,745.50,247.50,436.00,727.00,294.00,155.50,588.00
42,326.36,518.21,634.48,307.54,269.52,492.00,546.50,468.64,406.31,417.00,538.00,512.32,341.00,455.50,410.11,546.80,368.44,593.00,533.50,270.00,401.00,414.00,584.50,386.00,218.00,459.50,308.00,489.50,399.50,308.00,427.00,630.50,767.00,265.50,455.00,745.00,309.00,163.50,601.50
