# COLD_BAY_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
44,670.50,727.00,611.50,638.00,595.00,389.50,412.50,620.00,277.50,536.50,603.00,644.00,468.50,645.50,436.50,392.00,720.50,468.00,717.00,346.00,555.00,517.00,611.50,524.00,444.00,566.50,566.50,282.59,377.00,382.50,224.00,468.00,226.00,464.00,673.00,630.00,666.50,363.00,685.00,771.50,613.50,612.00,464.50
45,688.00,739.50,616.00,655.00,601.50,393.50,428.50,629.00,293.50,549.50,623.50,661.00,485.50,659.50,444.00,410.00,736.50,478.00,732.50,353.50,571.00,536.50,627.50,542.50,464.00,583.50,575.50,293.09,385.50,394.00,233.00,470.00,240.00,481.50,695.50,640.50,685.00,380.00,704.50,791.00,635.50,624.50,484.50
46,703.50,758.50,623.00,670.00,611.50,401.50,442.00,638.00,307.50,563.00,643.50,676.00,503.50,676.00,462.00,424.50,753.50,487.50,751.00,369.00,590.50,552.50,644.50,561.00,480.50,598.50,588.00,306.59,392.50,405.00,248.50,481.00,253.00,498.00,716.50,651.50,701.50,398.50,727.00,804.50,656.50,641.00,502.00
47,720.00,778.00,629.00,688.50,618.50,408.00,454.00,650.00,322.50,575.00,660.00,692.00,520.00,689.50,481.00,441.50,765.50,497.00,766.00,384.50,605.00,568.00,660.00,576.50,500.00,614.50,598.00,323.09,403.50,414.00,259.50,499.00,266.50,516.50,736.00,666.00,719.00,419.50,746.50,819.50,680.00,660.00,515.00
48,732.50,797.00,633.50,704.50,629.50,417.00,465.50,662.50,341.00,589.00,674.50,713.00,536.50,702.50,496.50,455.00,782.00,515.00,778.50,395.00,621.00,583.50,671.50,589.50,516.50,627.50,606.00,331.59,418.50,422.00,270.50,518.50,278.50,538.00,751.50,683.00,740.00,433.00,765.50,835.00,703.00,679.00,531.50
49,739.50,816.00,636.50,718.00,640.50,432.50,479.00,673.50,359.50,601.00,687.50,732.50,549.50,720.00,510.00,465.50,802.50,533.00,790.50,408.50,630.50,603.00,691.50,601.50,530.50,635.50,615.00,341.59,437.00,428.50,282.50,538.50,289.00,556.50,768.00,694.50,758.50,448.00,784.50,850.00,725.50,704.00,552.00
50,749.50,835.50,649.50,733.50,643.00,446.00,487.50,687.50,375.50,618.00,706.00,749.50,560.00,740.00,523.50,474.00,821.00,543.00,804.50,424.00,637.50,625.00,708.00,621.00,547.50,644.50,630.50,356.09,455.00,439.50,300.50,559.00,297.00,569.00,783.00,708.50,778.50,462.50,804.50,864.00,747.50,728.00,572.00
51,759.50,858.00,667.50,749.50,643.00,454.00,496.00,703.00,391.50,635.00,721.00,763.00,573.50,759.50,533.50,483.50,844.00,553.00,819.00,439.50,645.00,647.00,724.50,639.50,566.50,665.00,645.50,372.59,473.00,454.50,316.00,575.00,305.50,584.00,796.50,716.50,800.50,482.50,819.50,875.00,771.50,751.50,590.50
52,770.50,878.50,687.00,768.50,649.00,465.50,506.00,714.50,411.50,652.50,738.00,779.00,586.50,774.00,543.00,503.00,865.00,564.50,838.50,453.50,654.00,669.00,742.00,659.00,583.50,683.00,658.50,392.09,494.50,472.00,328.50,596.00,320.50,602.00,820.00,729.00,823.00,504.50,837.50,885.50,795.00,774.00,606.50
53,783.00,894.00,706.50,790.50,656.00,474.00,513.50,725.00,430.50,669.00,750.50,794.00,605.50,790.00,553.00,521.50,886.50,577.50,857.50,463.00,661.50,684.00,761.00,676.50,602.00,698.50,670.00,410.09,515.00,490.00,343.00,609.00,337.50,626.50,840.00,750.50,844.50,526.00,859.00,894.00,813.00,797.50,623.00
