# BETHEL_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
60,521.00,665.50,277.50,358.50,401.00,72.00,244.00,367.50,318.50,350.50,525.50,474.00,331.50,605.00,380.50,422.00,566.50,448.00,610.50,316.50,423.00,375.00,400.00,462.50,545.00,333.50,113.53,486.50,257.50,272.00,254.00,259.50,248.00,153.50,462.50,520.50,761.50,475.50,546.00,720.00,518.00,354.00,557.00
61,533.50,679.00,277.50,374.50,406.00,72.00,262.50,392.00,335.50,368.50,542.00,495.50,337.00,623.50,397.50,439.00,581.50,469.00,624.50,323.00,432.50,378.50,413.50,484.00,577.00,360.50,123.53,506.50,260.50,298.00,260.00,277.00,257.00,159.00,486.00,538.00,788.00,499.00,557.50,745.50,534.50,367.50,582.50
62,548.50,694.50,277.50,388.00,406.00,83.00,281.00,410.00,356.00,386.50,551.00,519.00,337.00,636.50,415.00,464.50,595.00,492.00,633.50,329.50,442.50,378.50,425.50,514.00,606.50,389.00,141.03,527.50,267.50,324.00,265.50,295.50,266.50,166.00,513.00,557.50,809.00,519.50,573.00,764.00,557.00,390.00,604.00
63,566.00,709.50,287.00,401.00,406.00,98.00,294.50,428.00,374.00,403.00,558.00,539.50,337.00,657.00,428.00,486.00,614.00,511.50,646.00,332.50,450.00,378.50,441.50,539.50,633.50,406.00,158.03,550.00,284.00,344.50,274.00,311.50,266.50,167.00,537.00,577.50,831.50,536.00,592.00,782.50,578.00,413.00,618.50
64,589.00,725.50,300.00,415.50,409.00,108.50,309.50,443.50,391.00,418.50,566.50,559.50,337.00,679.50,444.50,503.00,637.50,532.50,663.00,336.00,462.50,378.50,458.50,558.00,659.00,419.00,174.53,567.00,304.50,362.50,290.50,328.50,266.50,167.00,554.00,600.50,853.00,548.00,611.00,801.00,600.50,432.00,631.00
65,612.50,745.50,314.00,432.00,420.50,120.50,326.50,457.00,410.00,435.50,582.00,585.50,340.00,702.00,467.50,525.50,659.50,557.00,681.00,336.00,476.00,388.50,477.00,574.50,689.00,439.50,193.03,582.00,324.50,376.00,309.00,348.00,281.50,170.00,570.00,625.50,878.50,567.00,625.00,823.50,625.00,450.50,650.00
66,638.50,772.00,331.00,450.50,433.00,135.00,347.00,471.00,429.00,455.50,602.50,614.50,349.00,722.00,488.50,551.50,681.50,580.50,698.00,336.50,490.00,392.50,492.50,590.00,718.50,466.50,205.53,599.00,345.50,389.00,329.00,360.50,301.00,178.50,585.50,652.50,907.00,595.00,640.50,847.50,652.50,473.50,667.00
67,662.00,802.00,351.50,470.00,443.00,147.50,367.50,489.50,450.50,466.50,622.50,641.00,356.50,732.50,508.50,577.50,699.50,600.50,713.50,337.50,502.50,399.50,508.50,610.00,744.00,491.50,214.03,614.50,369.50,405.50,354.00,374.50,315.50,184.50,600.50,676.00,932.00,625.50,657.00,873.00,682.50,498.50,679.00
68,689.00,832.50,372.00,492.00,458.50,158.50,377.50,506.00,477.00,472.00,643.50,663.00,358.50,739.00,527.50,602.50,720.50,621.00,738.00,344.00,518.00,408.50,525.50,629.50,763.00,516.00,227.03,630.00,394.00,420.00,372.50,393.00,324.00,195.50,614.00,692.00,957.50,650.00,678.50,896.50,712.50,520.50,694.50
69,713.00,859.50,391.50,514.00,472.50,170.00,391.50,522.00,500.00,486.00,669.50,686.50,367.50,753.50,547.50,630.00,743.50,643.00,757.00,357.50,528.50,418.50,541.50,647.00,780.50,545.50,241.03,650.50,416.50,432.50,388.00,413.00,342.00,212.50,638.50,717.00,980.50,677.00,701.00,921.00,742.00,542.50,711.50
