# EAGLE
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1982, 2009, 2022
#
d_since_march1,1980,1981,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,20.00,138.00,0.00,47.00,23.50,2.00,59.00,45.50,0.00,79.00,34.00,162.50,40.50,68.50,29.00,32.50,0.00,112.00,60.00,34.50,0.00,20.00,24.50,0.00,79.50,17.00,0.00,52.50,37.50,16.00,2.00,5.00,12.00,89.50,68.50,0.00,34.50,240.50,45.00,3.50
29,31.00,148.50,0.00,54.50,23.50,2.00,68.00,45.50,0.00,95.00,39.50,167.00,48.00,80.00,37.50,32.50,0.00,124.00,60.00,34.50,7.00,20.00,24.50,0.00,80.00,17.00,0.00,52.50,53.50,26.50,2.00,12.00,12.00,99.00,87.50,0.00,36.50,251.50,45.00,3.50
30,42.50,157.00,0.00,63.50,23.50,2.00,77.00,46.50,0.00,109.50,40.50,167.00,57.00,93.50,46.50,32.50,0.00,124.00,60.00,45.50,7.00,20.00,24.50,0.00,85.50,17.00,0.00,52.50,66.50,42.50,9.00,19.00,12.00,107.50,104.50,5.50,38.00,262.50,45.00,11.00
31,63.00,162.50,0.00,77.50,23.50,2.00,84.50,46.50,0.00,118.50,40.50,170.00,66.50,110.00,54.00,32.50,0.00,124.00,61.00,54.00,7.00,20.00,24.50,0.00,85.50,17.00,0.00,65.00,80.50,44.00,9.00,27.00,12.00,113.50,125.00,21.50,44.50,277.50,45.00,21.00
32,85.50,173.50,0.00,89.00,23.50,2.00,86.50,46.50,0.00,124.50,40.50,181.00,78.00,128.50,59.00,32.50,0.00,130.00,63.00,61.00,7.00,20.00,24.50,0.00,85.50,19.50,0.00,83.00,93.50,44.00,9.00,27.00,12.00,117.00,133.50,41.00,48.00,292.50,45.00,21.00
33,102.00,177.00,0.00,101.00,23.50,2.00,88.50,46.50,0.00,129.50,40.50,181.00,83.00,146.50,63.00,32.50,0.00,138.50,74.00,69.50,7.00,20.00,24.50,0.00,85.50,19.50,0.00,97.50,101.00,44.00,9.00,27.00,12.00,124.50,139.50,54.00,48.00,296.50,45.00,21.00
34,115.50,182.50,2.00,115.50,23.50,2.00,88.50,46.50,0.00,139.00,45.00,181.00,92.50,168.50,73.00,32.50,0.00,151.00,74.00,69.50,16.00,20.00,24.50,4.00,85.50,26.50,0.00,110.00,107.50,49.50,9.00,27.00,12.00,133.50,150.50,65.50,48.00,296.50,45.00,26.50
35,115.50,185.00,17.50,131.00,23.50,5.14,91.64,46.50,0.00,153.50,52.50,181.00,100.00,185.50,83.00,36.00,10.00,164.00,76.00,69.50,24.00,20.00,24.50,13.50,87.50,40.00,7.50,124.00,117.50,56.50,9.00,27.00,12.00,143.50,162.00,79.00,48.00,296.50,49.00,27.00
36,115.50,188.50,27.00,147.00,23.50,5.14,91.64,46.50,3.50,164.50,59.00,181.00,108.50,193.00,94.00,40.89,20.00,177.00,81.00,69.50,31.50,20.00,24.50,24.00,92.00,46.50,22.00,139.00,126.00,72.50,19.00,27.00,16.00,147.50,167.50,88.50,48.00,296.50,60.00,27.00
37,115.50,188.50,36.50,152.50,23.50,5.14,94.14,46.50,3.50,172.00,64.00,183.00,123.00,198.11,103.50,61.39,33.50,192.00,87.50,69.50,36.61,20.00,24.50,35.50,108.50,52.00,43.00,144.00,137.50,72.50,35.00,27.00,24.00,155.50,179.00,88.50,48.00,304.50,60.00,27.00
