# NENANA_MUN_AP
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1993, 1994, 1996, 1997, 1998, 2003
#
d_since_march1,1984,1992,1995,1999,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
34,34.00,70.00,33.00,45.00,20.50,16.50,11.50,0.00,14.50,4.50,3.00,77.50,3.50,9.23,16.00,0.00,4.00,38.00,91.00,82.00,42.00,10.50,235.50,85.50,11.00,15.50
35,48.00,70.00,38.00,49.50,20.50,18.50,11.50,9.00,14.50,4.50,14.00,80.50,3.50,13.73,20.00,13.50,4.00,40.00,92.00,87.00,54.00,10.50,239.00,91.50,11.00,15.50
36,53.00,78.00,38.00,49.50,20.50,25.00,11.50,22.50,18.50,4.50,29.00,80.50,3.50,20.23,20.00,21.00,4.00,42.00,100.00,94.50,61.00,11.50,244.50,91.50,11.00,15.50
37,53.00,78.00,38.31,49.50,20.50,31.00,12.00,41.00,27.00,4.50,44.00,80.50,3.50,22.73,20.00,24.00,4.00,42.00,116.00,103.50,62.50,11.50,252.50,91.50,11.00,15.50
38,53.00,83.50,38.31,49.50,20.50,36.50,12.00,60.00,31.00,4.50,57.50,80.50,3.50,22.73,26.50,26.00,4.00,42.00,127.00,111.50,62.50,11.50,261.50,91.50,11.00,15.50
39,53.00,88.50,44.31,49.50,20.50,41.50,12.00,76.50,38.00,9.50,75.50,80.50,9.00,22.73,26.50,34.00,4.00,42.00,140.50,122.00,63.00,14.50,273.00,91.50,11.00,15.50
40,53.00,88.50,51.31,49.50,20.50,51.00,12.00,89.50,42.50,17.50,85.50,80.50,15.50,27.73,26.50,41.00,4.00,42.00,152.50,142.00,68.00,18.00,287.50,96.50,11.00,15.50
41,53.00,88.50,62.31,52.00,22.00,69.00,12.00,101.00,44.00,20.50,92.50,80.50,27.50,39.73,26.50,47.50,4.00,42.00,161.00,156.00,78.50,29.50,306.00,104.00,11.00,15.50
42,56.48,88.50,75.31,55.50,26.50,77.00,12.00,119.50,44.00,20.50,105.00,80.50,36.00,52.23,26.50,55.00,4.00,42.00,169.50,164.50,87.00,38.00,320.50,117.50,20.50,27.00
43,57.48,88.50,85.81,57.00,36.00,82.50,12.00,127.00,45.00,20.50,115.00,80.50,43.50,61.23,26.50,65.00,4.00,51.50,178.00,172.00,104.00,47.50,337.00,130.00,31.50,35.50
44,60.48,88.50,95.81,69.00,49.00,88.50,16.00,135.50,46.00,20.50,126.00,82.50,47.50,64.73,26.50,77.00,4.00,64.50,185.50,178.00,118.50,50.50,351.50,144.00,40.50,40.00
45,60.48,97.50,108.81,81.00,56.00,93.50,18.50,147.50,48.00,20.50,142.00,82.50,55.50,73.23,26.50,92.50,4.00,74.50,198.00,183.00,123.50,50.50,365.00,159.50,55.00,45.50
46,63.98,107.00,124.31,96.00,63.50,106.50,18.50,158.00,51.50,20.50,152.50,82.50,60.50,82.23,29.50,113.00,4.00,88.50,209.50,189.00,131.00,61.00,376.00,175.50,65.50,46.50
47,63.98,114.50,137.31,115.50,65.50,119.00,29.00,170.00,51.50,20.50,167.00,82.50,63.50,98.73,32.00,130.00,4.00,102.50,225.00,201.50,135.50,68.00,380.50,192.50,78.00,51.50
48,63.98,122.50,154.81,135.50,65.50,120.00,40.50,180.00,51.50,20.50,186.50,89.50,71.50,118.73,40.50,147.00,4.00,117.00,245.50,216.00,138.50,80.00,384.00,212.50,98.00,60.00
49,63.98,134.00,169.31,145.46,72.50,120.00,42.50,192.00,51.50,25.00,202.50,100.50,78.00,140.73,49.50,165.00,4.00,130.00,271.00,235.00,146.50,84.50,391.00,231.50,116.50,68.50
50,76.48,149.00,185.81,167.96,89.50,127.00,51.50,206.50,53.00,32.50,221.50,119.00,84.50,157.23,54.00,180.00,5.50,148.00,287.50,254.00,156.50,84.50,399.00,250.50,128.50,75.50
51,86.98,161.50,198.81,184.46,106.50,142.00,56.00,221.00,62.00,43.50,238.00,135.50,94.50,174.23,57.00,192.00,8.00,163.00,299.00,270.50,165.00,84.50,414.00,264.50,138.50,82.00
52,98.48,172.50,218.31,198.96,122.50,155.00,56.00,237.50,82.50,58.00,258.50,152.50,103.00,189.23,72.50,208.00,15.00,181.50,311.50,286.00,176.00,88.00,433.00,278.50,153.50,97.00
53,98.48,185.50,237.81,212.46,134.00,166.50,69.67,253.50,99.00,73.00,277.50,168.50,116.50,202.73,87.50,226.00,24.00,199.00,325.50,306.50,189.00,99.00,441.50,292.50,167.17,112.00
54,99.48,196.00,259.31,217.46,143.50,172.00,71.67,269.50,115.50,88.50,297.00,181.50,129.50,211.73,100.50,243.50,34.00,216.50,344.00,330.00,205.00,115.50,453.00,304.00,188.67,125.50
55,100.48,208.57,277.31,218.96,152.50,182.00,78.67,287.50,136.50,99.50,317.00,184.00,142.00,225.23,113.50,261.50,34.00,234.50,359.00,352.50,220.00,131.50,464.00,314.00,209.67,143.50
56,106.98,218.07,300.81,225.46,162.50,193.00,94.67,304.50,156.50,108.00,332.50,184.50,166.50,248.23,130.50,277.50,34.00,253.50,376.50,375.50,231.00,146.00,475.50,328.50,228.67,159.00
57,117.48,225.07,314.31,232.46,174.50,197.50,108.17,319.50,179.50,117.00,345.00,193.00,190.00,272.23,145.50,293.00,34.00,272.50,397.00,400.50,241.50,159.50,489.00,340.50,244.17,177.50
58,133.98,228.07,326.81,242.96,190.00,202.00,119.67,332.50,204.00,128.00,358.00,202.50,213.00,300.23,161.00,309.50,34.00,289.00,411.50,422.50,256.00,171.00,506.00,352.00,261.67,193.00
59,154.48,231.07,347.81,255.46,204.00,207.00,141.67,355.50,233.00,133.50,371.50,214.50,239.50,325.73,177.00,326.50,37.00,306.00,425.00,442.00,272.50,188.50,527.50,363.00,274.67,209.00
60,177.48,238.07,375.81,268.96,219.00,214.00,165.17,378.50,260.50,141.50,384.50,220.00,267.00,345.23,196.00,339.50,44.00,327.50,437.50,462.00,290.50,204.50,552.50,375.00,283.67,226.00
61,198.48,240.07,401.81,277.96,239.00,221.00,178.17,403.00,287.00,155.50,402.50,229.00,295.00,363.23,213.00,341.00,44.00,351.50,451.50,488.00,311.50,217.50,577.50,390.00,297.17,241.50
62,206.48,240.07,429.81,285.96,257.00,221.00,187.17,424.50,307.50,171.50,423.50,250.00,324.00,382.23,227.50,342.00,44.00,379.00,468.50,507.50,332.00,228.50,597.00,404.50,313.67,259.50
63,206.48,240.07,461.31,293.96,273.00,221.00,196.17,447.50,330.50,189.50,447.00,270.00,346.50,404.23,243.50,350.00,44.00,412.00,490.50,532.50,354.50,242.00,610.00,427.00,334.67,277.00
64,215.98,240.07,482.31,300.96,281.00,221.50,201.17,472.50,354.50,212.00,472.50,290.00,366.00,422.23,259.00,362.50,49.50,439.00,511.00,554.00,375.50,260.00,626.00,453.00,359.17,297.00
65,230.48,240.07,501.31,310.46,289.50,233.50,217.17,497.50,370.94,230.50,488.50,308.00,381.50,432.73,276.00,378.50,54.00,451.00,533.50,574.00,398.50,279.00,640.00,475.00,381.67,316.00
66,242.48,246.57,522.31,325.96,306.00,247.00,230.67,520.00,388.79,247.00,506.00,325.50,394.00,451.73,291.00,397.00,58.00,468.00,556.50,598.50,426.00,294.50,654.00,499.00,402.17,333.50
67,260.48,262.57,546.31,339.96,326.00,261.00,243.67,537.50,417.79,263.50,523.50,346.00,412.00,471.23,300.50,416.00,66.00,484.50,583.00,620.00,450.00,310.50,676.50,525.50,425.17,351.50
68,276.98,277.07,575.81,356.46,340.50,275.50,265.17,554.00,446.29,282.50,540.00,365.00,432.00,490.73,311.50,431.50,77.00,504.00,611.00,643.00,477.00,336.00,700.00,560.50,447.17,366.50
69,291.98,286.57,605.31,372.96,350.50,290.00,282.67,570.00,475.29,300.00,557.50,385.00,448.50,509.73,326.00,450.50,91.50,523.00,639.50,666.50,500.50,365.00,724.50,596.00,473.17,378.50
70,295.98,296.07,637.31,393.96,364.50,303.00,296.67,590.00,506.29,319.50,577.00,408.50,464.50,532.23,337.50,469.50,110.50,548.00,666.50,689.50,523.50,400.00,753.00,632.00,497.17,390.50
71,307.48,303.07,675.81,415.96,380.00,313.50,311.67,610.50,538.29,339.50,594.50,433.00,482.00,557.23,348.50,492.50,131.00,574.00,689.00,719.50,546.50,426.00,780.50,668.00,523.67,405.00
72,317.48,313.57,717.31,440.96,396.50,327.50,329.67,635.50,569.79,361.00,609.00,457.50,498.50,579.73,365.50,515.00,148.00,602.00,716.50,756.00,572.00,450.00,806.50,697.50,551.17,420.50
73,335.48,324.57,753.81,470.46,411.00,345.00,348.67,661.00,605.79,383.00,624.00,481.00,519.50,599.73,383.50,533.00,149.50,622.00,748.00,792.50,598.00,473.50,831.50,725.50,575.67,436.50
74,349.48,340.07,786.81,496.96,423.00,366.00,374.17,693.50,641.29,408.00,646.50,502.50,539.00,620.73,410.50,548.50,158.00,643.50,781.00,831.50,624.00,498.00,856.50,751.00,601.17,454.00
75,371.98,352.07,804.31,527.46,444.00,388.50,404.17,728.50,665.79,435.50,673.50,528.50,556.00,644.73,432.00,567.00,169.00,668.50,814.00,862.00,652.00,518.50,887.00,777.50,627.17,472.50
76,407.48,359.57,822.81,553.46,471.00,406.00,432.17,758.50,693.29,465.00,703.00,554.50,576.50,668.73,453.00,587.00,183.50,699.50,846.50,888.00,683.00,537.00,920.00,798.50,652.17,491.00
77,432.48,370.07,843.81,576.46,498.00,426.00,458.17,791.00,715.29,489.00,729.50,578.00,599.00,693.73,480.50,611.00,192.50,726.50,879.00,904.00,713.00,560.00,951.50,816.50,676.67,510.50
78,457.98,384.07,864.81,597.96,521.00,447.50,484.67,817.50,744.79,510.00,753.50,600.00,629.00,724.73,512.00,635.00,195.50,742.50,910.50,927.50,739.50,588.00,977.00,838.50,703.17,535.00
79,488.48,410.40,894.81,624.96,544.50,470.50,514.17,841.50,775.29,534.50,781.50,622.50,662.50,761.23,540.00,660.50,204.00,759.00,945.00,955.00,762.00,614.33,1006.50,867.00,731.17,564.50
80,521.48,430.90,921.31,651.46,562.50,494.50,558.17,867.00,807.79,561.00,809.00,649.00,694.00,789.23,571.00,685.50,219.50,779.00,978.00,984.50,784.50,641.85,1038.50,895.00,757.17,599.00
81,548.48,453.40,936.31,675.46,581.00,514.50,603.17,891.00,835.29,589.00,837.00,679.00,730.50,817.23,601.00,714.00,240.00,799.00,1012.00,1015.50,808.50,674.35,1067.50,926.00,783.17,632.00
82,570.98,478.40,952.81,698.46,601.00,535.50,644.67,920.00,862.79,611.00,865.50,707.50,762.50,847.73,632.50,749.50,262.00,822.50,1050.50,1045.00,835.50,705.35,1103.50,953.00,804.17,665.00
83,596.48,504.40,980.81,724.46,619.50,555.50,681.67,952.50,888.79,636.50,898.50,738.50,795.50,882.73,666.00,781.50,291.50,843.50,1093.50,1069.00,861.50,734.35,1134.50,980.50,826.17,694.50
84,617.48,532.40,1013.31,753.46,638.50,577.00,718.67,986.50,917.29,668.50,934.00,763.50,830.00,917.73,699.50,811.50,320.50,868.00,1128.50,1094.00,888.50,756.85,1169.00,1017.00,853.67,722.00
85,638.48,561.40,1045.31,784.96,655.00,599.50,756.67,1017.00,952.79,701.00,970.00,790.00,865.50,953.23,735.00,837.50,352.00,892.50,1163.00,1118.50,908.50,781.85,1205.50,1047.00,883.67,753.50
86,662.48,591.40,1072.31,808.46,670.50,623.00,792.17,1046.50,985.79,739.50,1012.00,811.50,901.50,990.73,772.00,862.50,384.50,922.00,1199.00,1143.50,928.50,807.85,1241.50,1074.00,912.17,790.50
87,678.48,620.16,1098.31,827.46,690.00,649.00,821.67,1074.50,1018.79,767.50,1042.50,830.50,928.50,1026.73,811.00,893.50,422.00,949.50,1236.50,1171.00,949.00,835.35,1276.00,1100.00,938.67,824.00
88,690.48,649.06,1124.31,847.96,708.50,678.50,843.17,1106.50,1056.29,797.50,1065.50,848.00,953.50,1064.73,851.50,921.50,460.00,979.50,1270.00,1201.00,974.00,862.85,1308.00,1129.50,957.17,857.50
89,704.48,679.66,1159.81,868.96,734.50,704.00,866.67,1141.50,1092.29,827.00,1094.00,866.50,977.00,1104.73,895.00,949.50,499.50,1009.00,1304.00,1237.00,1000.00,891.35,1341.00,1167.00,980.17,894.00
90,724.48,710.66,1183.31,895.96,766.15,730.50,896.67,1176.00,1126.29,854.50,1127.50,887.00,1000.50,1145.23,936.00,979.50,539.50,1042.00,1336.50,1274.00,1022.00,920.85,1378.50,1205.00,1012.67,929.00
91,749.48,744.16,1206.81,918.96,793.65,760.00,927.67,1211.50,1156.79,879.00,1159.00,912.50,1026.00,1182.73,974.50,1009.00,581.00,1071.50,1367.50,1308.50,1050.50,948.35,1411.00,1246.50,1048.17,967.50
92,775.48,776.16,1230.81,943.46,819.65,789.00,960.17,1244.00,1185.29,908.00,1189.50,945.00,1060.00,1220.73,1012.50,1039.50,618.00,1098.00,1390.50,1341.50,1079.00,977.35,1439.00,1282.50,1081.67,1005.50
93,803.98,806.66,1257.31,968.46,848.15,823.50,987.67,1276.50,1213.79,933.50,1223.50,974.50,1095.00,1257.73,1043.00,1069.50,653.50,1124.00,1419.50,1367.00,1110.50,1008.85,1469.50,1317.00,1112.17,1043.50
94,830.98,840.16,1287.31,990.96,877.65,857.00,1015.67,1307.50,1241.79,949.00,1257.50,1006.50,1132.00,1294.23,1082.00,1101.50,686.50,1154.50,1439.50,1391.00,1141.50,1043.85,1502.00,1348.00,1142.67,1078.50
95,857.98,869.66,1315.31,1014.46,908.65,887.50,1044.17,1340.50,1272.29,958.50,1293.00,1035.50,1170.50,1327.23,1113.50,1138.50,718.50,1186.00,1467.00,1418.50,1174.00,1077.85,1533.00,1381.50,1177.67,1115.50
96,888.48,901.16,1345.31,1040.46,948.15,917.00,1079.17,1380.50,1304.79,979.50,1330.00,1064.00,1207.50,1356.23,1139.00,1173.50,747.50,1216.00,1499.00,1444.50,1211.00,1113.85,1564.50,1420.00,1209.17,1154.50
97,918.48,929.16,1368.81,1072.46,984.65,950.50,1116.67,1426.00,1337.79,1002.50,1362.00,1090.50,1234.50,1385.23,1170.00,1206.00,779.50,1247.00,1529.00,1472.00,1247.00,1149.35,1597.50,1457.00,1246.17,1190.50
98,950.48,959.16,1400.31,1110.96,1026.15,981.00,1148.67,1468.00,1371.29,1030.50,1388.50,1124.50,1261.50,1419.73,1210.50,1241.50,812.50,1279.50,1555.50,1502.00,1288.00,1185.35,1631.00,1491.00,1280.67,1224.00
99,981.98,986.66,1435.81,1147.96,1060.15,1007.50,1179.17,1501.00,1403.29,1065.50,1419.00,1156.50,1294.50,1452.73,1244.00,1284.00,846.50,1313.50,1585.00,1532.00,1330.50,1219.35,1664.50,1527.00,1311.17,1254.00
100,1014.48,1016.66,1465.31,1183.46,1093.65,1037.00,1210.67,1536.50,1441.79,1102.00,1453.50,1185.50,1327.00,1485.73,1271.50,1317.50,877.00,1346.00,1614.00,1561.50,1374.00,1253.35,1697.50,1566.00,1342.67,1279.50
101,1049.98,1050.16,1499.81,1220.96,1132.65,1071.00,1238.17,1572.50,1484.29,1141.50,1488.00,1216.00,1359.00,1519.23,1302.00,1355.00,907.00,1374.50,1644.50,1594.00,1412.00,1280.85,1731.50,1603.00,1373.67,1299.50
102,1084.48,1089.16,1534.81,1259.46,1170.65,1101.00,1263.67,1606.50,1525.79,1175.00,1519.50,1246.00,1393.50,1547.23,1337.50,1394.00,938.50,1396.50,1669.50,1628.00,1442.00,1302.85,1767.50,1640.50,1406.67,1325.00
103,1116.98,1121.85,1570.31,1301.46,1208.65,1134.50,1295.17,1639.00,1565.79,1210.00,1551.00,1278.50,1429.50,1574.23,1371.50,1421.50,974.50,1421.50,1696.00,1660.50,1472.00,1324.35,1804.50,1677.50,1441.17,1353.50
104,1155.98,1159.85,1605.31,1344.46,1246.15,1168.00,1329.17,1678.50,1606.79,1247.00,1584.50,1311.00,1464.50,1607.23,1405.50,1448.00,1012.00,1451.00,1726.50,1692.00,1499.50,1350.35,1844.50,1716.00,1477.67,1386.50
105,1194.48,1197.35,1640.31,1382.46,1282.15,1195.00,1360.17,1721.00,1650.79,1285.00,1617.00,1343.50,1502.50,1639.73,1437.00,1480.50,1050.50,1486.50,1764.50,1721.00,1528.00,1382.35,1883.50,1754.50,1519.67,1421.00
106,1235.48,1235.85,1673.31,1421.96,1310.65,1224.50,1393.17,1760.00,1691.29,1325.00,1651.50,1379.50,1540.00,1672.73,1467.00,1514.00,1092.50,1522.50,1805.50,1752.50,1558.00,1407.35,1922.00,1792.00,1561.17,1456.50
107,1273.98,1264.85,1706.81,1462.46,1337.65,1255.50,1433.67,1798.50,1732.79,1362.50,1685.00,1412.00,1579.00,1705.23,1497.50,1549.50,1140.50,1558.00,1848.50,1791.00,1592.50,1437.85,1962.50,1832.00,1604.67,1488.50
