# HOMER_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
26,202.50,303.00,168.00,288.50,351.50,157.50,146.50,204.00,222.50,110.00,187.00,132.00,188.50,204.50,136.00,56.00,221.50,95.50,252.00,94.00,221.00,214.50,110.00,142.50,149.00,270.50,98.00,2.00,200.00,99.50,118.50,83.82,17.00,140.00,201.00,330.50,296.00,15.50,172.00,368.50,131.00,57.00,260.00,106.00
27,213.50,314.00,171.50,303.50,365.50,159.50,146.50,221.00,231.50,112.50,198.00,142.00,188.50,220.00,150.50,68.50,234.00,105.00,263.50,99.00,221.00,226.50,114.00,151.00,149.00,276.00,106.00,2.00,202.50,100.50,128.00,91.32,30.50,149.50,209.00,350.00,313.50,21.50,180.50,383.50,136.00,62.00,274.50,113.00
28,222.00,326.00,175.00,321.00,379.00,166.50,146.50,234.00,241.50,113.00,212.50,146.00,188.50,232.50,166.50,80.00,245.00,113.00,275.50,101.00,229.50,232.00,116.50,156.50,149.00,277.50,116.00,2.00,209.00,111.00,136.00,101.82,41.50,163.50,217.00,370.00,331.50,27.00,187.50,399.00,137.00,74.50,287.00,121.50
29,236.00,337.50,180.50,332.50,388.50,167.00,146.50,244.50,253.50,113.00,226.50,150.00,189.50,245.50,182.50,95.00,254.50,117.50,282.50,101.00,236.00,232.50,116.50,163.00,149.00,277.50,124.50,3.00,222.50,112.00,143.50,111.82,48.50,175.00,226.00,389.00,352.50,34.00,197.00,415.50,137.00,84.50,300.00,131.50
30,250.50,348.00,181.00,344.50,402.00,167.00,146.50,254.50,263.50,126.50,236.50,156.50,202.50,261.50,195.00,109.00,261.00,124.50,291.50,109.00,240.00,236.50,116.50,170.00,149.00,280.50,136.00,7.00,238.50,112.00,152.00,119.82,57.50,186.50,234.50,405.00,360.40,50.50,205.50,430.00,138.50,89.50,315.50,141.50
31,264.50,358.50,181.00,358.00,413.50,167.00,146.50,266.50,273.00,140.00,244.50,163.00,216.00,278.00,214.50,121.50,266.00,130.50,300.00,116.50,241.00,240.50,117.50,172.50,149.00,285.50,147.50,12.00,252.00,112.00,164.50,126.82,64.00,196.50,242.50,422.50,380.90,66.50,217.50,442.50,150.50,91.50,327.50,153.50
32,278.00,368.50,181.00,370.00,425.00,167.00,153.50,276.50,283.50,149.50,253.00,174.50,226.00,290.00,230.50,133.50,268.00,139.00,309.50,119.00,251.00,252.00,120.50,179.50,150.00,288.00,156.00,18.00,265.50,119.50,175.00,136.32,73.50,205.50,254.50,438.50,399.40,75.50,229.50,456.00,161.50,93.00,337.00,160.50
33,295.50,378.00,181.00,384.50,438.00,167.00,158.00,292.50,291.50,157.00,265.50,190.50,230.50,303.50,245.00,143.00,271.00,148.00,320.00,123.50,260.50,266.00,125.50,184.50,158.00,289.00,169.50,27.50,280.50,128.00,183.50,150.32,76.50,216.00,266.50,456.00,412.40,88.00,235.00,470.50,173.50,104.50,348.50,167.00
34,310.50,384.50,183.00,399.00,450.50,167.00,164.00,305.50,301.50,164.00,276.00,205.00,235.00,315.50,259.50,162.00,281.50,160.00,330.00,127.00,264.50,274.00,130.00,190.50,167.00,290.00,186.00,36.50,293.50,135.50,193.50,161.32,82.00,225.50,283.50,469.00,425.90,105.50,240.50,483.50,189.00,117.00,358.00,178.50
35,324.50,392.00,193.50,411.50,462.50,167.00,164.00,317.00,311.00,173.50,285.00,217.00,239.50,329.00,269.50,177.50,295.50,175.50,343.00,137.50,270.50,280.00,134.00,197.50,179.50,304.00,197.00,51.50,299.00,139.00,199.50,170.32,93.50,231.50,300.50,483.50,442.90,125.50,251.00,498.00,200.00,123.50,370.00,188.50
