# NOME_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
40,112.50,84.00,37.50,21.00,76.50,5.00,6.00,80.00,3.00,18.00,93.00,3.50,24.00,51.50,42.00,41.00,45.00,52.00,66.50,25.50,25.50,11.50,36.00,14.50,70.00,17.00,11.00,53.50,17.00,2.50,2.00,18.00,13.50,18.00,2.50,15.00,55.50,14.50,23.00,92.00,55.50,4.00,23.00,21.50,29.00
41,112.50,89.00,37.50,21.00,76.50,5.00,7.50,80.00,3.00,23.50,93.50,3.50,24.00,51.50,42.00,41.00,45.00,66.50,71.00,25.50,31.50,11.50,36.00,14.50,79.00,17.00,11.00,61.00,17.00,2.50,7.00,18.00,13.50,18.00,2.50,15.00,64.50,16.00,27.00,98.00,56.50,4.00,28.00,21.50,29.00
42,112.50,89.00,37.50,21.00,76.50,5.00,14.50,80.00,11.00,29.50,95.50,3.50,24.00,60.00,42.00,41.00,45.00,75.50,77.00,25.50,40.00,11.50,37.00,23.50,92.00,17.00,11.00,62.00,17.00,2.50,10.00,18.00,13.50,18.00,3.50,15.00,78.00,22.50,27.00,103.50,61.50,9.00,38.00,21.50,29.00
43,112.50,89.00,37.50,21.00,76.50,5.00,20.50,80.00,21.50,36.50,97.50,3.50,24.00,71.00,42.00,41.00,45.00,75.50,83.50,25.50,52.50,11.50,39.50,30.00,101.00,17.00,11.00,62.00,17.00,2.50,10.00,18.00,13.50,18.00,10.50,15.00,86.00,28.50,32.00,103.50,62.50,16.50,49.00,21.50,29.00
44,112.50,89.00,37.50,22.00,76.50,5.00,23.50,80.00,29.00,36.50,97.50,11.50,24.00,83.00,42.00,43.00,53.50,75.50,93.50,25.50,64.00,11.50,39.50,36.00,108.00,17.00,11.00,62.00,17.00,2.50,10.00,18.00,13.50,18.00,17.00,15.00,94.50,34.50,32.50,103.50,69.50,20.00,61.00,21.50,29.00
45,112.50,89.00,37.50,28.50,76.50,5.00,27.00,80.00,38.00,40.50,97.50,17.00,27.00,95.50,42.00,51.00,56.00,75.50,101.00,25.50,73.00,11.50,39.50,43.50,118.00,17.00,11.00,62.00,17.00,2.50,10.00,18.00,13.50,18.00,24.50,15.00,97.00,43.50,38.00,103.50,79.50,20.00,72.50,21.50,29.00
46,112.50,89.50,37.50,30.00,76.50,5.00,27.00,80.00,47.50,45.50,97.50,24.50,38.00,104.00,42.00,63.00,56.00,75.50,108.00,25.50,80.00,15.00,39.50,43.50,126.00,17.00,11.00,62.00,17.00,2.50,11.50,18.00,13.50,18.00,33.50,15.00,97.50,50.50,43.50,103.50,88.50,20.00,80.00,21.50,29.00
47,112.50,89.50,37.50,35.00,76.50,5.00,27.00,80.00,56.50,51.50,97.50,28.00,43.50,108.00,42.00,74.50,56.00,75.50,112.50,29.50,82.50,19.00,39.50,43.50,134.50,17.00,11.00,62.00,17.00,2.50,18.50,18.00,13.50,18.00,39.00,15.00,103.00,57.00,52.50,103.50,98.50,24.50,86.00,21.50,29.00
48,112.50,92.50,37.50,40.00,76.50,5.00,27.00,80.00,60.00,55.00,97.50,33.00,43.50,115.50,42.00,83.50,56.00,75.50,112.50,37.50,82.50,21.50,39.50,43.50,144.50,17.00,11.00,62.00,24.00,2.50,31.00,18.00,13.50,18.50,50.00,15.00,116.50,60.50,63.00,103.50,108.00,34.00,96.00,21.50,29.00
49,112.50,101.50,37.50,47.50,76.50,5.00,27.00,80.00,61.50,57.00,97.50,43.00,43.50,125.50,42.00,84.50,56.00,75.50,112.50,42.00,82.50,24.50,39.50,43.50,151.00,17.00,11.00,62.00,30.00,2.50,40.00,18.00,13.50,18.50,64.50,25.50,132.50,67.50,71.00,103.50,120.50,43.50,104.00,21.50,29.00
