# MCGRATH_AP
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
26,30.50,101.00,56.00,0.00,41.00,20.50,0.00,65.00,46.50,2.50,20.00,39.50,54.50,25.50,6.00,6.00,48.50,0.00,115.50,18.00,22.00,1.00,21.00,34.50,8.50,36.50,0.00,0.00,17.00,3.00,0.00,23.50,0.00,15.50,13.50,48.00,21.50,0.00,27.00,106.50,51.00,1.50,15.50,16.00,85.00
27,30.50,111.50,56.00,0.00,49.50,20.50,0.00,68.50,46.50,2.50,28.00,39.50,54.50,32.00,15.50,6.00,49.50,0.00,115.50,18.00,22.00,1.00,21.00,34.50,8.50,36.50,0.00,0.00,17.00,3.00,0.00,23.50,0.50,15.50,13.50,54.50,25.50,0.00,27.00,114.50,51.00,1.50,18.50,16.00,91.50
28,30.50,120.00,56.00,0.00,57.00,20.50,0.00,76.00,46.50,2.50,40.00,39.50,54.50,41.50,26.50,8.00,51.00,0.00,115.50,18.00,22.00,1.00,21.00,34.50,8.50,36.50,0.00,0.00,17.00,3.00,0.00,26.00,0.50,20.00,13.50,61.00,32.50,0.00,27.00,124.00,51.00,11.50,23.50,16.00,97.00
29,43.00,126.00,56.00,0.00,59.00,20.50,0.00,85.50,46.50,2.50,50.00,39.50,54.50,49.50,39.50,14.50,53.00,0.00,115.50,18.00,22.50,1.00,21.00,34.50,8.50,36.50,0.00,0.00,23.50,3.00,0.00,26.00,0.50,28.50,13.50,72.00,37.50,0.00,27.00,132.50,51.00,15.00,23.50,19.00,108.50
30,53.00,132.50,56.00,0.00,60.50,20.50,0.00,92.50,48.50,2.50,57.50,39.50,54.50,64.00,52.00,19.00,53.50,0.00,115.50,18.00,22.50,1.00,21.00,34.50,8.50,36.50,10.00,0.00,37.50,3.00,0.00,26.00,0.50,37.00,13.50,83.00,46.00,3.00,27.00,142.50,51.00,15.00,23.50,19.00,113.50
31,65.00,139.50,56.00,0.00,66.50,20.50,0.00,96.50,48.50,9.00,61.50,39.50,54.50,79.00,69.50,29.50,53.50,0.00,121.00,20.00,22.50,1.00,21.00,34.50,8.50,36.50,12.00,2.00,50.50,3.00,0.00,26.00,2.00,42.50,13.50,95.00,54.50,14.00,35.50,150.50,51.00,15.00,23.50,19.00,113.50
32,76.50,143.00,56.00,0.00,74.50,20.50,0.00,103.00,48.50,9.00,63.00,40.00,54.50,88.50,88.00,32.00,53.50,0.00,128.50,20.00,25.50,1.00,21.00,34.50,8.50,36.50,12.00,8.50,61.00,3.00,0.00,26.00,2.00,42.50,13.50,99.00,62.00,21.00,37.00,160.50,57.00,15.00,23.50,19.00,113.50
33,83.50,146.00,56.00,0.00,83.50,20.50,0.00,107.00,48.50,9.00,78.00,40.00,54.50,95.00,99.50,43.00,53.50,1.00,146.00,20.00,25.50,11.50,21.00,35.00,8.50,36.50,12.00,10.00,71.00,3.00,0.00,36.00,2.00,46.00,13.50,99.00,72.00,28.50,37.00,162.50,61.00,19.00,23.50,19.00,113.50
34,96.50,146.00,56.00,10.00,85.50,20.50,0.00,107.00,48.50,9.00,86.00,40.00,54.50,100.50,106.50,54.00,53.50,8.50,157.00,20.00,29.00,12.50,21.00,35.00,10.50,36.50,12.00,18.50,79.00,3.00,0.00,44.00,2.00,46.00,18.00,99.00,79.00,43.50,37.00,162.50,72.50,19.00,23.50,20.50,120.00
35,101.00,146.00,71.00,19.00,93.50,20.50,0.00,107.00,48.50,11.00,89.50,40.00,59.00,105.50,114.50,66.00,53.50,21.50,164.50,27.50,29.00,12.50,21.00,35.00,16.00,36.50,12.00,28.00,79.00,3.00,0.00,44.00,7.00,46.00,24.00,105.50,87.50,51.50,37.00,162.50,74.00,19.00,23.50,20.50,124.00
