# JUNEAU_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,73.00,135.00,56.00,87.00,163.50,90.00,85.00,14.00,138.50,9.00,109.50,54.50,104.00,122.00,125.50,25.00,66.50,42.50,41.50,58.00,87.50,127.50,38.00,54.50,104.50,165.00,45.50,46.50,128.50,14.50,112.50,6.00,86.00,81.50,51.50,112.50,130.00,6.00,49.00,57.00,79.50,101.00,106.50,17.50
11,79.50,152.50,64.50,100.50,177.50,103.50,97.00,22.50,152.50,10.50,121.50,61.00,117.50,132.50,143.00,25.00,77.00,43.00,50.50,71.50,97.00,140.00,38.00,54.50,114.50,182.00,45.50,54.00,138.00,23.00,120.00,6.00,93.50,86.50,65.50,122.00,143.00,6.00,59.50,69.50,79.50,104.00,119.00,17.50
12,81.00,166.00,72.00,112.50,189.50,114.50,111.50,31.50,165.50,16.50,136.00,71.00,134.50,144.50,158.50,35.00,91.50,45.50,63.50,82.00,110.00,152.00,38.00,54.50,122.50,199.50,45.50,56.00,146.00,31.50,131.50,6.00,98.00,86.50,77.00,135.00,156.50,6.50,73.00,84.00,79.50,104.50,128.00,17.50
13,81.50,180.50,78.50,122.50,198.00,125.00,123.50,40.50,175.50,26.00,150.00,81.50,148.00,153.50,172.00,40.00,99.00,45.50,81.50,92.50,123.50,167.00,38.00,54.50,129.00,213.50,45.50,60.00,153.00,36.50,145.00,9.00,106.00,86.50,89.00,140.00,167.00,8.50,86.50,97.00,84.50,104.50,133.00,17.50
14,81.50,199.00,87.00,135.50,208.00,138.00,138.00,51.50,186.50,35.00,162.00,91.00,158.50,155.00,183.50,46.00,108.00,48.50,97.00,100.00,138.00,181.00,38.00,63.00,140.50,224.00,45.50,63.50,155.00,38.50,156.50,16.50,117.50,86.50,101.00,148.50,180.50,15.00,101.00,110.00,92.50,111.00,143.00,21.50
15,92.50,214.50,94.00,149.50,220.00,149.00,150.00,64.00,196.00,43.50,176.50,103.00,168.50,155.50,195.00,58.50,122.00,49.00,112.00,107.50,153.00,193.00,38.00,68.50,150.50,233.00,45.50,66.50,164.00,39.50,169.00,23.50,127.00,86.50,111.00,157.50,193.50,23.00,114.00,126.50,98.00,121.50,158.00,34.50
16,103.50,226.00,99.50,161.50,231.50,159.50,160.50,75.50,210.00,49.50,189.50,112.50,179.50,157.50,205.00,74.00,135.00,55.00,126.50,112.00,166.00,206.00,38.00,79.00,157.50,242.00,45.50,67.50,175.50,43.50,182.00,32.50,137.00,86.50,119.50,167.50,209.00,27.00,125.00,149.00,105.50,133.00,172.00,51.00
17,114.50,237.50,108.00,176.00,244.00,173.50,173.50,87.50,225.00,62.50,201.00,123.00,196.50,161.50,210.50,85.50,146.50,65.00,142.00,116.00,179.00,211.00,38.00,91.00,164.00,250.00,45.50,70.00,188.00,45.50,194.00,38.50,143.00,86.50,128.50,182.00,223.50,27.00,134.00,173.50,111.50,141.50,188.50,65.50
18,127.00,249.50,121.00,188.00,259.50,187.50,185.50,99.50,240.50,74.50,208.00,131.50,211.50,173.00,216.50,90.00,157.50,79.50,155.00,123.50,191.50,211.00,41.50,102.50,168.50,254.00,47.50,70.00,197.50,53.00,203.00,44.00,148.50,86.50,136.00,195.50,240.50,31.00,145.00,194.00,124.50,147.00,204.50,77.00
19,140.00,265.50,133.00,196.00,273.50,200.00,200.00,111.50,253.00,88.50,209.00,139.00,229.50,184.50,226.50,95.50,162.50,92.00,166.50,136.00,204.50,211.00,45.50,115.00,173.50,256.00,59.00,70.00,207.50,59.50,214.00,48.00,153.00,86.50,144.50,209.50,258.00,39.00,154.50,210.50,135.00,149.50,218.00,90.00
20,154.00,279.50,145.50,201.50,286.50,211.00,213.00,123.50,266.00,101.50,213.50,148.00,242.50,200.50,233.50,103.00,166.00,103.00,183.50,148.50,218.00,211.00,57.00,127.50,182.50,263.00,71.00,79.50,217.50,64.00,223.50,53.00,156.00,86.50,151.00,224.00,276.00,47.00,162.50,229.00,144.00,157.00,230.50,101.50
21,169.50,292.50,158.50,207.50,299.00,221.50,223.50,139.00,280.00,113.00,225.00,155.00,253.50,218.00,237.00,108.50,173.50,117.50,199.00,165.00,230.50,211.00,67.00,139.50,191.00,278.00,84.50,91.00,230.00,71.00,233.50,61.00,158.50,86.50,156.00,236.50,294.00,58.00,173.00,247.50,159.50,164.50,246.50,115.50
22,182.00,311.50,170.00,212.50,314.50,235.00,234.00,157.50,293.00,124.00,238.00,160.00,264.50,233.00,242.50,108.50,181.50,130.50,210.50,180.50,244.00,211.00,79.50,150.00,199.50,288.00,99.50,102.00,240.50,81.00,246.00,69.50,164.50,90.50,160.00,249.00,312.00,65.50,181.00,267.00,166.00,173.50,260.00,130.00
23,192.50,330.00,180.00,216.50,331.50,246.00,242.50,173.50,305.00,135.50,246.50,166.00,276.00,245.00,254.00,108.50,190.50,143.50,221.50,192.50,257.50,217.00,89.00,160.00,213.00,297.00,112.50,111.00,252.50,90.00,259.50,80.50,172.00,101.50,168.50,261.00,329.00,73.50,186.00,284.00,172.50,181.50,275.50,141.00
24,204.50,346.00,192.00,223.00,350.50,254.50,254.00,190.50,316.00,149.00,260.00,174.50,290.50,256.00,270.50,108.50,200.50,149.00,236.00,206.50,273.50,231.50,98.00,170.00,228.00,306.50,122.00,120.00,262.50,96.00,271.00,93.50,181.00,115.00,180.50,274.00,348.50,84.00,189.50,298.50,178.00,188.00,289.50,150.00
25,218.50,363.00,201.50,234.00,367.00,262.50,269.50,206.00,328.50,161.00,275.50,187.50,304.00,266.50,289.00,113.50,211.00,156.00,247.00,219.50,287.50,244.50,110.50,181.00,242.00,324.00,135.50,126.50,272.00,106.50,281.00,106.50,191.00,127.00,190.00,291.50,365.00,95.50,190.00,317.00,192.00,200.50,302.50,160.00
26,231.50,380.00,210.50,245.00,384.50,273.50,283.00,220.50,340.50,164.00,291.00,200.50,315.00,275.50,302.50,122.00,223.00,167.00,258.50,226.50,299.50,255.00,123.50,192.00,255.50,339.00,149.00,134.50,280.00,117.00,296.00,120.00,203.50,135.50,196.00,307.50,382.50,107.50,197.50,333.50,199.00,211.00,314.50,168.50
27,245.00,396.50,219.50,259.00,400.50,285.00,298.00,234.00,351.50,168.50,305.50,212.50,326.00,286.50,314.00,137.50,234.00,179.50,270.50,235.00,309.50,265.50,136.00,208.00,271.00,349.00,159.50,145.50,289.50,126.50,312.50,137.00,217.50,144.00,201.50,322.50,399.00,121.50,209.00,350.50,201.50,216.50,325.00,177.00
28,258.00,411.00,225.50,273.00,417.00,295.50,309.00,253.00,363.00,181.00,322.50,225.00,336.00,299.00,329.00,151.50,242.00,191.00,284.50,244.50,321.50,277.00,146.00,223.00,282.00,360.50,171.50,153.50,297.00,133.00,330.00,151.00,230.00,154.50,209.50,340.50,419.00,135.00,222.50,365.50,201.50,219.50,338.50,187.50
29,268.50,429.00,232.50,287.50,435.00,307.00,314.00,269.00,377.00,194.50,336.00,239.50,350.00,318.50,346.00,168.50,249.00,202.50,298.50,254.50,336.50,288.00,156.50,237.50,291.00,373.00,182.00,158.50,303.50,143.50,344.50,165.00,242.00,166.00,220.00,359.00,439.00,149.00,229.50,381.00,202.00,231.50,351.00,197.50
30,283.00,444.50,238.50,303.00,452.50,321.50,319.50,283.00,389.50,209.00,353.00,251.50,369.50,334.50,362.00,185.00,252.50,212.50,312.50,269.00,350.50,299.00,161.50,243.50,300.00,386.00,192.00,164.50,313.50,152.00,359.50,178.00,251.50,179.00,233.00,375.00,461.50,164.00,235.50,399.50,202.00,242.50,364.00,211.00
31,299.00,454.50,243.00,320.00,466.00,332.50,325.50,297.50,402.00,224.50,366.50,263.00,384.50,346.50,379.00,200.00,252.50,223.50,323.50,281.00,364.00,308.00,165.00,244.50,310.00,395.00,203.50,168.50,325.50,160.00,375.50,190.00,260.50,193.50,243.00,391.50,481.50,179.00,241.00,417.50,203.50,254.00,377.00,222.50
32,319.50,467.50,247.00,338.00,484.50,342.00,333.00,316.50,417.50,242.50,381.00,273.50,396.00,361.00,396.50,215.50,252.50,235.00,335.50,292.00,380.50,314.00,169.00,246.00,325.00,407.00,219.50,169.50,338.50,166.00,392.00,202.00,273.50,206.50,256.50,406.50,500.00,192.50,249.00,436.00,207.00,264.00,393.00,234.00
33,334.50,481.50,249.50,353.50,504.00,353.00,350.50,337.50,430.00,258.50,395.50,288.00,409.00,373.50,414.50,233.50,259.00,247.00,348.50,301.50,395.00,324.50,171.50,247.50,342.50,418.50,232.50,169.50,353.00,170.00,404.50,215.50,287.00,216.00,268.50,421.50,519.50,208.00,254.00,454.50,208.00,274.00,406.00,243.50
34,351.50,495.00,253.00,371.00,520.00,368.50,365.00,354.00,442.50,272.50,409.00,304.00,421.00,388.50,432.00,248.00,277.00,257.00,365.00,312.50,408.50,339.50,176.50,251.50,358.00,430.50,244.50,172.00,368.00,180.00,416.00,226.50,300.00,222.50,278.50,437.50,536.50,227.00,259.50,469.50,213.00,286.50,420.50,252.00
35,369.00,509.00,258.00,386.00,534.00,381.00,379.00,367.50,455.00,286.00,422.50,319.00,428.50,402.00,448.00,261.50,296.50,269.00,383.50,318.50,421.50,350.00,184.00,259.50,373.00,448.00,261.00,181.50,383.00,192.50,427.00,237.00,313.00,228.50,290.50,453.00,556.50,246.00,268.00,484.00,220.00,299.50,433.00,265.00
36,383.50,521.00,267.50,398.50,548.50,394.50,390.50,382.00,469.50,300.00,435.50,332.00,436.00,416.50,464.50,277.00,310.50,282.00,398.50,330.50,434.50,362.50,191.50,269.50,387.50,463.00,273.50,198.00,393.00,205.50,439.50,249.50,325.00,237.00,306.00,468.00,575.00,260.50,282.00,503.50,233.00,310.00,450.50,279.00
37,396.00,534.00,282.00,411.00,563.50,409.50,404.00,399.00,481.00,311.00,449.50,345.50,447.00,435.00,481.00,293.50,322.00,298.50,415.00,342.00,445.50,374.50,197.00,287.00,405.50,476.00,292.00,215.00,401.50,216.50,450.50,263.50,338.50,254.00,322.50,487.00,596.00,275.50,298.50,523.50,244.50,314.50,466.50,292.50
38,414.50,545.00,295.50,423.50,582.00,426.50,410.00,415.50,495.50,322.00,466.50,357.00,456.50,451.00,498.00,311.50,333.50,315.00,430.00,352.00,457.50,382.50,202.00,305.50,421.50,488.50,309.50,232.00,411.50,229.50,461.00,275.00,352.00,270.50,338.00,505.00,615.00,290.50,315.00,540.00,257.00,320.00,481.50,308.50
39,433.00,555.50,312.50,435.00,603.00,438.00,413.50,433.50,509.50,335.50,482.50,369.50,466.00,468.50,512.50,325.50,347.00,330.50,443.00,365.00,467.50,395.50,208.00,320.00,435.00,505.00,326.00,246.50,423.00,242.00,472.00,287.00,366.50,283.50,349.00,525.00,633.00,309.50,333.50,556.50,267.50,328.00,493.00,323.50
40,452.00,562.50,326.50,445.00,625.50,448.50,416.00,450.50,522.00,351.50,498.50,382.00,475.00,483.00,531.00,339.50,361.50,348.50,456.50,379.50,477.50,409.00,219.00,337.50,452.50,521.50,342.00,260.50,435.50,254.00,483.50,298.00,382.00,293.50,360.50,538.50,649.50,327.50,352.50,571.50,277.00,330.50,502.50,333.00
41,469.00,571.00,339.50,456.50,647.50,455.00,422.50,467.50,532.50,367.50,512.50,394.00,487.50,496.00,546.50,355.50,377.00,364.50,469.50,392.00,489.50,424.50,231.00,354.50,471.50,536.50,356.00,272.00,446.00,267.00,496.00,308.50,401.50,301.50,372.00,551.50,669.50,344.00,374.50,586.50,288.00,334.00,508.00,346.00
42,489.50,578.50,355.00,470.00,670.00,471.50,427.50,482.00,545.50,381.50,532.00,409.00,502.00,514.00,558.00,371.00,388.50,383.00,482.00,405.50,506.00,439.00,239.00,371.50,492.00,553.50,366.00,283.50,461.50,280.50,508.50,324.00,424.00,314.00,382.50,563.00,690.00,363.50,396.50,604.00,302.50,344.00,516.50,357.50
43,504.50,586.00,367.50,487.50,684.50,484.00,432.50,500.50,557.50,396.00,554.50,425.50,520.00,530.00,572.50,387.00,401.00,400.50,499.00,420.00,517.00,455.00,251.00,388.50,509.50,570.50,380.00,297.00,474.50,293.50,523.00,341.00,443.50,325.00,396.00,575.50,708.50,385.00,415.50,621.50,319.50,357.00,524.00,370.50
44,515.50,596.00,376.50,507.00,703.00,493.50,443.50,516.50,575.00,408.00,576.00,442.00,537.00,550.00,584.50,401.00,415.50,418.50,513.50,434.50,530.00,469.00,265.50,405.50,524.50,585.00,392.00,310.00,485.50,306.50,541.00,354.50,460.50,337.50,411.50,589.50,722.00,403.50,431.00,639.50,339.00,374.50,532.50,388.00
45,528.00,601.00,388.50,524.50,723.50,508.50,455.50,532.00,590.00,422.00,597.50,458.00,558.00,572.00,597.00,415.00,437.50,436.00,531.50,449.00,546.50,482.50,276.00,420.00,539.00,598.50,401.50,323.50,499.00,321.50,557.50,369.00,482.00,348.50,430.50,605.00,742.50,419.50,446.50,657.50,354.50,390.50,542.50,405.00
46,540.00,609.50,400.50,542.00,739.50,519.00,469.00,544.00,608.50,435.50,615.50,473.50,577.50,594.50,609.00,431.00,458.50,453.50,551.50,465.00,561.00,498.00,287.00,431.50,552.00,615.00,413.00,339.50,510.00,337.50,576.00,383.00,504.00,359.00,450.00,621.50,763.00,437.00,458.00,676.00,373.00,410.50,556.50,422.50
47,557.00,621.00,410.00,557.50,756.00,531.00,481.00,554.50,627.50,451.00,634.50,491.50,596.50,614.50,621.00,448.50,473.50,468.50,572.50,486.50,576.00,512.50,298.00,445.00,565.00,633.50,426.50,355.50,512.50,354.00,597.50,398.00,522.50,375.00,469.00,638.50,783.00,453.50,470.50,695.50,393.00,436.00,570.00,439.00
48,575.50,635.00,422.50,570.00,774.00,543.50,495.50,569.50,644.50,467.50,657.00,513.50,616.00,634.00,634.50,465.50,489.50,481.50,595.50,508.00,590.00,533.00,312.50,460.00,579.50,647.00,437.50,370.00,515.50,370.50,621.50,411.00,542.00,388.00,481.50,654.00,803.00,470.00,483.50,713.50,413.50,462.00,581.50,455.00
49,592.00,652.00,435.50,584.00,795.50,558.00,510.00,583.50,662.50,486.50,677.50,534.00,635.00,655.50,652.50,483.50,509.50,495.50,611.50,531.00,606.00,551.50,328.50,477.50,594.00,666.00,448.50,386.00,522.00,387.50,642.50,424.00,564.00,398.00,498.00,671.50,821.50,485.00,500.00,730.50,435.00,484.00,596.00,473.50
50,609.50,672.00,450.50,602.00,818.50,573.00,523.00,598.50,681.00,508.00,694.50,551.00,654.50,677.00,678.50,500.00,530.00,510.50,627.50,548.50,623.50,571.00,344.00,496.00,610.50,687.50,461.50,403.50,534.00,402.00,661.50,438.50,585.00,406.50,520.00,689.00,841.00,503.50,514.50,748.00,452.50,505.50,612.50,493.50
51,624.50,688.50,465.50,621.50,837.50,589.00,536.50,613.50,701.50,525.00,713.00,569.00,673.50,702.00,701.00,522.50,552.50,529.00,648.00,566.00,641.00,590.50,357.00,512.50,627.00,711.50,479.00,423.50,549.00,414.00,678.00,451.50,601.00,418.00,539.50,705.00,861.50,521.50,527.00,765.50,471.00,523.00,629.00,513.50
52,638.50,708.50,479.00,641.00,855.50,606.00,548.50,628.50,722.50,543.50,731.00,587.00,694.00,726.50,724.50,544.00,576.00,548.50,667.00,579.00,653.50,611.00,372.50,533.50,640.50,732.00,494.50,445.50,567.50,428.50,695.00,466.00,618.00,429.50,557.00,720.00,890.00,542.00,543.00,784.00,489.00,539.50,644.50,531.00
53,656.50,729.00,491.00,662.50,867.50,624.00,558.00,645.00,742.50,563.50,749.00,607.00,713.00,750.50,749.00,562.50,595.50,569.00,686.00,595.50,665.00,630.00,387.00,557.50,652.50,756.50,511.00,463.50,588.50,442.50,711.50,482.00,632.00,442.50,575.50,738.00,914.00,563.00,559.50,796.50,508.50,558.50,662.50,552.00
54,675.50,745.50,506.50,687.50,880.00,637.00,574.50,660.50,763.50,584.50,766.00,629.50,733.50,773.50,776.50,582.50,615.00,590.50,708.00,608.50,682.50,647.00,400.00,584.00,668.00,782.00,525.50,482.00,605.50,460.00,729.00,498.00,648.00,458.00,594.50,758.00,932.00,584.50,576.50,810.00,526.00,579.50,679.50,566.50
55,698.00,765.00,521.00,712.00,894.50,652.00,589.50,675.50,781.50,609.50,785.00,648.00,755.00,797.50,799.50,603.50,636.00,614.00,729.00,623.50,701.00,666.50,414.50,613.00,684.50,808.50,540.00,501.00,621.00,477.00,750.00,518.00,668.00,471.00,612.50,779.50,953.00,608.50,594.50,823.00,547.00,600.50,694.50,579.50
56,721.50,782.00,534.50,737.00,911.00,667.50,608.00,691.50,803.00,634.00,804.50,667.00,776.00,824.50,822.00,626.50,652.50,633.50,748.00,637.00,718.50,684.50,426.50,642.50,702.50,834.00,554.00,518.00,643.00,493.00,775.50,536.00,687.50,480.00,630.50,804.50,976.50,628.50,613.50,843.00,567.50,621.50,714.00,595.00
57,740.00,799.50,553.00,762.50,931.00,681.00,629.50,711.00,825.50,660.00,824.50,686.50,796.00,849.50,844.00,657.00,670.00,651.00,767.00,650.00,734.00,702.00,441.50,671.00,719.50,863.50,571.00,530.50,664.50,511.00,803.50,552.00,702.00,490.50,649.50,823.00,998.50,649.00,631.00,862.50,587.50,639.50,730.00,610.00
58,760.00,822.50,569.50,786.50,950.50,694.50,648.00,729.50,850.00,685.00,846.00,706.00,816.00,874.50,866.50,681.50,690.00,670.00,787.00,666.00,754.50,720.00,459.50,695.00,737.50,897.00,585.50,542.50,677.50,532.50,826.50,569.00,721.50,497.50,671.00,845.50,1018.50,664.50,650.00,881.50,607.50,655.50,747.50,631.00
59,778.00,845.50,584.50,809.50,975.00,705.50,668.00,752.50,869.50,710.50,865.50,728.00,834.00,895.50,890.00,709.50,708.50,687.50,809.50,682.50,772.50,737.00,478.50,720.00,756.50,927.00,598.50,558.00,695.00,555.00,846.50,585.00,737.50,504.50,691.50,863.50,1037.00,684.50,667.00,901.50,626.50,674.00,765.00,655.00
60,798.00,866.50,600.50,830.50,995.00,720.50,689.00,779.00,889.50,740.00,884.50,750.00,850.50,916.50,912.00,737.00,726.00,706.00,835.00,703.50,791.50,757.00,499.50,745.50,779.00,954.50,610.50,573.50,712.50,577.00,866.00,600.50,754.00,512.00,713.00,881.00,1057.00,702.50,683.50,922.50,644.50,693.00,784.00,679.50
61,816.50,888.00,615.50,857.50,1014.00,740.50,711.50,802.50,909.50,770.00,905.00,769.50,868.00,937.50,936.00,764.00,745.00,725.00,861.50,717.50,811.00,776.00,515.00,767.00,803.50,979.00,625.00,591.50,727.00,601.50,884.50,617.00,771.00,526.00,739.50,901.50,1077.50,720.00,701.50,948.00,665.00,713.00,807.00,701.50
62,833.50,915.50,632.50,875.50,1031.00,762.00,736.50,824.00,930.50,797.00,926.00,790.50,887.50,957.50,959.00,790.50,766.50,746.00,882.00,729.50,832.50,790.00,527.50,784.00,829.50,1004.50,640.00,614.50,750.00,630.50,899.00,638.00,788.50,544.00,774.50,922.00,1100.50,741.00,718.50,970.00,689.50,731.50,826.00,722.00
63,852.50,943.00,649.00,893.00,1050.00,785.50,759.50,844.50,950.50,820.50,947.00,815.50,906.50,978.00,981.00,817.50,789.00,770.00,906.00,741.50,851.50,805.50,538.00,800.00,857.00,1029.00,656.50,630.50,765.50,652.50,914.50,655.50,806.00,564.00,801.00,943.00,1123.50,760.00,733.50,991.50,714.50,751.00,844.00,739.00
64,874.50,967.00,666.00,911.50,1068.50,807.50,781.00,861.50,970.50,843.00,964.50,842.00,925.00,998.00,1000.50,843.00,809.50,795.00,929.50,755.00,872.50,820.00,549.00,814.00,881.50,1054.00,676.00,649.50,781.00,671.50,936.50,671.50,822.00,586.50,824.50,967.00,1142.50,779.50,753.50,1010.00,736.50,770.50,862.50,755.50
65,899.50,989.50,683.00,931.00,1089.00,822.50,803.00,881.50,993.00,867.50,983.50,864.00,942.00,1020.50,1017.50,864.50,829.50,818.50,950.50,773.00,894.50,832.50,560.50,829.50,904.50,1077.00,693.50,668.00,799.50,694.50,958.00,690.50,839.00,607.50,847.00,989.00,1161.00,799.00,776.00,1029.50,755.50,792.50,879.00,771.00
66,923.50,1019.50,701.50,954.50,1112.00,842.00,823.50,902.50,1018.50,891.00,1010.00,888.00,960.00,1041.50,1038.50,886.50,846.50,841.50,971.00,795.00,916.50,852.00,575.00,847.50,928.50,1104.00,712.00,683.50,818.00,716.00,979.50,711.50,856.00,625.50,870.00,1010.00,1183.00,820.50,800.50,1048.50,775.50,818.00,894.00,794.50
67,948.50,1052.00,720.50,980.50,1137.50,861.00,843.50,922.00,1046.50,912.00,1032.00,913.00,974.50,1062.50,1058.00,911.50,864.50,863.00,989.00,814.50,940.00,869.00,587.50,866.00,954.50,1133.00,729.00,701.50,835.50,736.50,1001.50,732.50,877.00,642.00,894.50,1030.50,1204.00,840.50,828.50,1069.00,800.00,840.50,912.50,816.00
68,974.50,1084.50,740.00,1008.00,1162.50,878.50,861.50,942.00,1072.50,937.00,1053.00,937.00,991.50,1079.00,1078.50,944.00,882.00,885.50,1009.50,833.50,961.00,885.50,603.50,890.00,978.00,1161.50,745.00,717.50,854.50,758.50,1023.00,752.00,891.50,664.00,920.00,1060.00,1229.00,860.00,855.50,1092.00,826.50,863.50,937.00,837.00
69,1000.00,1108.00,758.50,1032.00,1188.50,893.00,878.00,961.00,1102.00,958.50,1074.50,958.00,1009.50,1097.50,1099.00,976.00,903.00,907.50,1030.50,849.00,984.50,900.50,617.00,915.50,1001.00,1192.00,762.00,736.00,876.50,777.00,1043.50,770.00,906.50,688.50,950.50,1083.00,1252.50,880.50,884.50,1117.50,859.00,884.50,959.50,860.00
70,1024.00,1134.00,776.50,1057.00,1214.00,905.00,893.50,982.50,1135.00,979.50,1096.00,973.50,1030.50,1117.00,1123.00,1008.00,922.00,932.00,1054.50,872.50,1011.00,918.50,633.00,938.00,1026.00,1223.50,779.00,755.00,901.50,797.00,1064.50,786.00,922.00,713.00,979.50,1107.50,1276.00,903.00,915.50,1142.00,892.00,906.50,976.50,886.50
71,1049.50,1159.50,796.00,1083.00,1238.50,920.00,912.50,1006.50,1162.50,1000.00,1117.00,992.00,1055.00,1137.50,1147.00,1038.00,946.00,953.00,1074.50,891.00,1036.00,937.00,651.00,960.50,1051.00,1254.00,797.50,774.00,926.00,819.00,1087.00,804.00,939.50,735.50,1006.50,1134.50,1306.00,930.50,941.50,1166.50,921.50,929.00,997.50,915.50
72,1078.50,1185.50,815.00,1113.00,1261.50,934.50,926.00,1026.00,1190.00,1020.00,1144.50,1010.00,1076.50,1160.00,1167.50,1070.00,976.50,973.50,1094.00,913.00,1060.00,958.50,670.50,978.50,1077.00,1283.50,816.50,793.50,944.50,840.00,1107.50,821.00,957.00,759.50,1036.00,1163.00,1337.00,956.00,969.50,1187.50,949.50,952.00,1019.50,940.50
73,1104.00,1213.00,832.00,1139.50,1288.00,949.50,945.50,1049.50,1215.50,1041.00,1167.00,1033.00,1096.00,1190.50,1188.00,1099.00,1004.00,1003.50,1113.00,937.50,1085.50,976.50,691.50,994.50,1105.50,1312.00,835.00,812.50,962.50,860.00,1127.00,842.50,974.00,782.50,1066.00,1194.50,1371.00,978.00,994.50,1213.00,980.00,972.00,1038.50,968.00
74,1126.50,1239.00,851.50,1167.00,1317.50,962.50,967.50,1072.00,1237.00,1064.50,1190.00,1058.50,1120.00,1223.00,1209.50,1123.00,1029.50,1030.50,1134.00,965.00,1105.50,997.00,711.00,1009.00,1134.00,1341.00,855.00,836.00,980.50,878.50,1151.00,862.00,991.00,804.00,1095.50,1225.00,1405.00,997.50,1015.50,1238.00,1008.50,992.00,1060.50,997.00
